run_id,method_id,control_group,pool_scope,denominator_cases,control_events,control_valid_cases,control_failure_cases,control_expected_behavior,control_observed_behavior,notes
controls_v0_manual_spark_backfill_perf4_01,controls,native_source,all,4,4,4,0,must_match,success=4,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,native_source,performance,4,4,4,0,must_match,success=4,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,native_source,consistency,0,0,0,0,must_match,none=0,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,native_source,portability,0,0,0,0,must_match,none=0,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,native_source,longtail,0,0,0,0,must_match,none=0,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,human_positive,all,4,4,4,0,must_match,success=4,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,human_positive,performance,4,4,4,0,must_match,success=4,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,human_positive,consistency,0,0,0,0,must_match,none=0,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,human_positive,portability,0,0,0,0,must_match,none=0,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,human_positive,longtail,0,0,0,0,must_match,none=0,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,hard_negative,all,4,4,4,0,must_fail,success=4,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,hard_negative,performance,4,4,4,0,must_fail,success=4,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,hard_negative,consistency,0,0,0,0,must_fail,none=0,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,hard_negative,portability,0,0,0,0,must_fail,none=0,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
controls_v0_manual_spark_backfill_perf4_01,controls,hard_negative,longtail,0,0,0,0,must_fail,none=0,Derived from run_event_long; spark PERF4 backfill subset; fresh manual spark validation entrypoints backfilled for legacy artifact-only cases
