artifact_path,artifact_type,supports_tables,supports_claims,denominator_id,method_or_route,status,notes
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,frozen_table_csv,Table 8; Appendix A,fixed common-core denominator composition,common_core_v0_40,all,filled_from_existing_artifact,pool split and total case count
reports/evaluation/common_core_v0/common_core_v0_40_same_engine_120_rerun_manifest_v1.csv,manifest_csv,Table 8; Appendix A,same-engine Track A denominator is 120,common_core_v0_40_same_engine_120,all Track A routes,filled_from_existing_artifact,40 cases x 3 engines
inventory/case_registry.csv,registry_csv,Table 8; Appendix A,source-family split and case-level source facts,common_core_v0_40,all,computable_from_existing_artifact,"use only registry facts, not prose"
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,tag_matrix_csv,Table 9; Table 10; Appendix B; Appendix C,common-core case-level taxonomy coverage,common_core_v0_40,all common-core cases,filled_from_existing_artifact,main retained case-level tag matrix
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_all_registry_cases_v1.csv,tag_matrix_csv,Table 9; Appendix B,all-registry tag coverage context,all_registry_cases,all registry cases,filled_from_existing_artifact,contains one untagged PERF_0001 row
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_comparison_matrix_v1.csv,comparison_csv,Table 9; Table 10,top tags overall and by pool are aggregable,mixed_tag_scopes,common-core and attribution subsets,requires_new_aggregation,comparison surface rather than direct paper table
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,frozen_table_csv,Table 13,planned generated executed exact timed route evidence,common_core_v0_40_same_engine_120,Direct LLM; SQLGlot routes; Calcite HEP,filled_from_existing_artifact,main Track A ledger
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,frozen_table_csv,Table 13; Table 16,correctness-gated timing summaries,exact_timed_subsets_only,main Track A routes plus appendix rows,filled_from_existing_artifact,speedup valid only on exact timed subsets
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table7_failure_accounting_matrix_v3.csv,frozen_table_csv,Table 11; Table 15; Appendix C,route-level failure bucket readiness,route_specific_failure_frontiers,Direct LLM; SQLGlot routes; Calcite; bounded prior routes,filled_from_existing_artifact,summary-level failure buckets
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/case_level_failure_export_v1.csv,row_level_failure_csv,Table 11; Appendix C; Table 10B,case-level failure exemplar and taxonomy-aware slicing can be aggregated,198_failure_rows_exported,multi-route,computable_from_existing_artifact,joinable to case tags
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/method_candidate_rejection_accounting_v1.csv,frozen_table_csv,Table 15,non-exact and rejected candidate accounting,route_specific_candidate_frontiers,Direct LLM; SQLGlot routes; Calcite; bounded LLM-R2,filled_from_existing_artifact,"candidate rejection accounting, not hard-negative rejection"
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_summary_v1.csv,frozen_table_csv,Table 14; Appendix D,package-level hard-negative closure summary,package_hard_negative_120,hard-negative controls,filled_from_existing_artifact,expected/tested/rejected/false_accept/blocked
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_rejection_mode_audit_v1.csv,audit_csv,Table 14; Appendix D,semantic vs execution-failure rejection modes and per-pool readiness,package_hard_negative_111_tested,hard-negative controls,filled_from_existing_artifact,all tested rows are executable mismatches
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv,event_long_csv,Appendix D,per-case per-engine hard-negative ledger can be rendered,package_hard_negative_120,hard-negative controls,computable_from_existing_artifact,row-level event ledger already retained
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table8_port_cross_engine_translation_v1.csv,frozen_table_csv,Table 18; Appendix G,bounded PORT6 closure and transfer-speed NA,port_bounded_6,SQLGlot Transpile; LLM Translate; bounded closure packet,filled_from_existing_artifact,Track C only
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table9_verifier_support_v1.csv,frozen_table_csv,Table 19; Appendix H,verifier support evidence only,selected_verifier_support_pairs,SQLSolver; VeriEQL,filled_from_existing_artifact,not rewrite-generation baselines
reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv,result_card_csv,Table 13; Appendix E,Direct LLM route card,common_core_v0_40_same_engine_120,direct_llm_same_engine_rewrite,filled_from_existing_artifact,leaderboard_comparable stays no
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/direct_llm_execute_repair_1shot_result_card_v1.csv,result_card_csv,Table 13; Appendix E,repair route card,common_core_v0_40_same_engine_120,direct_llm_execute_repair_1shot,filled_from_existing_artifact,feedback-aware route
reports/evaluation/common_core_v0/sqlglot_transpile_same_dialect_noop_result_card_v1.csv,result_card_csv,Table 13; Appendix E,SQLGlot no-op route card,common_core_v0_40_same_engine_120,sqlglot_transpile_same_dialect_noop,filled_from_existing_artifact,route-separated row
reports/evaluation/common_core_v0/sqlglot_optimize_same_dialect_result_card_v1.csv,result_card_csv,Table 13; Appendix E,older SQLGlot optimize card exists but backfill-adjusted table rows remain canonical,common_core_v0_40_same_engine_120,sqlglot_optimize_same_dialect,requires_manual_review,use with backfill-adjusted caution
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/calcite_hep_93_exact_timing_result_card_v1.csv,result_card_csv,Table 13; Appendix E,Calcite HEP exact93 timing card,calcite_hep_exact93,calcite_hep_fail_closed_120,filled_from_existing_artifact,supports exact93 timing only
reports/evaluation/common_core_v0/r_bot_formal_result_card_v1.csv,result_card_csv,Table 13; Appendix E,R-Bot bounded prior-method card,mixed_bounded,r_bot_same_engine_rewrite,filled_from_existing_artifact,bounded and not leaderboard comparable
reports/evaluation/common_core_v0/llm_r2_pg9_bounded_evidence_reconciliation_v1.csv,bounded_evidence_csv,Table 13; Table 15; Appendix E,LLM-R2 original bounded route evidence,common_core_v0_llm_r2_pg_supported_9,llm_r2_original_route_bounded_pg9,filled_from_existing_artifact,no timing retained
reports/evaluation/common_core_v0/llm_r2_recovered_extraction_pg6_bounded_evidence_review_v1.csv,bounded_evidence_csv,Table 13; Table 15; Appendix E,LLM-R2 recovered bounded route evidence,common_core_v0_llm_r2_recovered_pg6,llm_r2_recovered_extraction_route_v1,filled_from_existing_artifact,no timing retained
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table11_bounded_pilot_evidence_reuse_v3.csv,appendix_summary_csv,Table 13; Appendix E; Appendix G; Table 19,bounded appendix packets inventory,mixed_bounded_appendix_denominators,multiple appendix rows,filled_from_existing_artifact,scope labels must be preserved
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table5_observability_coverage_matrix_v6.csv,frozen_table_csv,Table 17; Appendix F,PG-only attribution frontier and tag-aware observability coverage,route_level_pg_attribution_frontier,Direct LLM; repair; SQLGlot routes; Calcite HEP,filled_from_existing_artifact,"PG-only, not full 120 attribution"
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table10_plan_attribution_case_study_v6.csv,frozen_table_csv,Table 17; Appendix F,selected PG plan-delta diagnostics,selected_pg_attribution_113_frontier_representative_diagnostics,selected diagnostics only,filled_from_existing_artifact,not denominator-wide causal attribution
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/pg_plan_attribution_113_summary_v1.csv,frontier_summary_csv,Table 17; Appendix F,113-row PG frontier parse and confidence summary,pg_attribution_ready_113,PG-ready frontier,filled_from_existing_artifact,packet-level frontier facts
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/paper_claim_matrix_v7.csv,claim_matrix_csv,Table 20,claim-to-evidence mapping,claim_matrix_synthesis,paper-level,filled_from_existing_artifact,do not create new claims
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/paper_remaining_experiment_gaps_v8.csv,gap_matrix_csv,Table 20,open-vs-resolved evidence gaps,paper_gap_synthesis,paper-level,filled_from_existing_artifact,use to mark requires_new_experiment vs aggregation-only
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/paper_results_table_index_v5.csv,index_csv,Table 20; Appendix I,paper-facing table-to-freeze-file map,paper_index_synthesis,paper-level,filled_from_existing_artifact,helps locate canonical retained tables
