case_id,engine,pool,previous_generation_status_class,row_status,failure_category,blocker_reason,generated_sql_exists,prompt_exists,raw_response_exists,selected_rules_exists,retrieval_trace_exists,token_cost_exists,provider_metadata_exists,row_metadata_exists,generated_sql_empty,markdown_contaminated,non_sql_output,ddl_or_dml,multi_statement
PERF_0006,pg,performance,previously_generated_pg7,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
PERF_0007,pg,performance,previously_blocked_pg31,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
PERF_0008,pg,performance,previously_generated_pg7,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
PERF_0013,pg,performance,previously_generated_pg7,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
PERF_0017,pg,performance,previously_generated_pg7,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
PERF_0019,pg,performance,previously_failed_pg2,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PERF_0024,pg,performance,previously_generated_pg7,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
PERF_0033,pg,performance,previously_failed_pg2,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PERF_0034,pg,performance,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PERF_0035,pg,performance,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PERF_0052,pg,performance,previously_generated_pg7,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
PERF_0054,pg,performance,previously_generated_pg7,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
PERF_0056,pg,performance,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PERF_0062,pg,performance,previously_blocked_pg31,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
PERF_0077,pg,performance,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PERF_0082,pg,performance,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
CONS_0005,pg,consistency,previously_blocked_pg31,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
CONS_0007,pg,consistency,previously_blocked_pg31,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
CONS_0009,pg,consistency,previously_blocked_pg31,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
CONS_0010,pg,consistency,previously_blocked_pg31,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
CONS_0011,pg,consistency,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
CONS_0012,pg,consistency,previously_blocked_pg31,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
CONS_0024,pg,consistency,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
CONS_0036,pg,consistency,previously_blocked_pg31,generated,,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
CONS_0037,pg,consistency,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PORT_0003,pg,portability,previously_blocked_pg31,failed,output_sql_missing,method finished without extractable output_sql,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PORT_0004,pg,portability,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PORT_0005,pg,portability,previously_blocked_pg31,failed,output_sql_missing,method finished without extractable output_sql,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PORT_0008,pg,portability,previously_blocked_pg31,failed,output_sql_missing,method finished without extractable output_sql,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PORT_0012,pg,portability,previously_blocked_pg31,failed,output_sql_missing,method finished without extractable output_sql,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PORT_0013,pg,portability,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PORT_0022,pg,portability,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PORT_0024,pg,portability,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
PORT_0025,pg,portability,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
LONGTAIL_0011,pg,longtail,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
LONGTAIL_0012,pg,longtail,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
LONGTAIL_0013,pg,longtail,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
LONGTAIL_0022,pg,longtail,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
LONGTAIL_0023,pg,longtail,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
LONGTAIL_0024,pg,longtail,previously_blocked_pg31,failed,subprocess_nonzero_exit,subprocess exited with code 1,no,yes,yes,yes,yes,yes,yes,yes,,,,,
