case_id,pool,engine,route_id,source_sql_path,schema_path,calcite_wrapper_available,expected_generated_sql_path,generation_status,exclusion_reason,caveat
PERF_0006,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0006/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0007,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0007/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0008,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0008/source.sql,cases/PERF/PERF_0008/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0008/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0013,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0013/source.sql,cases/PERF/PERF_0013/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0013/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0017,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0017/source.sql,cases/PERF/PERF_0017/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0017/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0019,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0019/source.sql,cases/PERF/PERF_0019/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0019/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0024,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0024/source.sql,cases/PERF/PERF_0024/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0024/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0033,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0033/source.sql,cases/PERF/PERF_0033/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0033/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0034,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0034/source.sql,cases/PERF/PERF_0034/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0034/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0035,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0035/source.sql,cases/PERF/PERF_0035/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0035/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0052,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0052/source.sql,cases/PERF/PERF_0052/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0052/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0054,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0054/source.sql,cases/PERF/PERF_0054/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0054/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0056,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0056/source.sql,cases/PERF/PERF_0056/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0056/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0062,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0062/source.sql,cases/PERF/PERF_0062/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0062/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
PERF_0077,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0077/source.sql,cases/PERF/PERF_0077/schema/ddl_pg.sql,yes_repo_local_wrapper_scaffold,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0077/pg/calcite_hep_pg_rewrite.sql,ready_to_attempt_current_denominator,,historical_calcite_evidence_strongest_on_perf_pg; this row is part of the primary PG40 rerun denominator
