case_id,pool,case_path,has_manifest,has_source_sql,num_positive_rewrites,num_hard_negatives,positive_files,negative_files,has_schema_data,has_checker,has_pg_validation,has_mysql_validation,has_spark_validation,has_pg_plan_artifacts,has_mysql_plan_artifacts,has_spark_plan_artifacts,has_spark_witness_data,has_run_spark_validation,has_spark_plan_collection,has_provenance_block,has_source_fields_in_manifest,has_provenance_files,provenance_style,has_taxonomy_tags,has_taxonomy_trial_file,taxonomy_file_paths,has_reporting_metadata,readme_status_conflict,manifest_status_conflict,contract_gaps,colleague_issue_1_status,colleague_issue_2_status,colleague_issue_3_status,colleague_issue_4_status,recommended_fix
CONS_0005,consistency,cases/CONS/CONS_0005,yes,yes,1,1,cases/CONS/CONS_0005/rewrite_pos_01.sql,cases/CONS/CONS_0005/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,no,,yes,not_detected,not_detected,no_top_level_provenance_block,confirmed_implicit_source_fields_no_top_level_provenance_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,promote source_* manifest fields into explicit provenance block
CONS_0007,consistency,cases/CONS/CONS_0007,yes,yes,1,1,cases/CONS/CONS_0007/rewrite_pos_01.sql,cases/CONS/CONS_0007/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,no,,yes,not_detected,not_detected,no_top_level_provenance_block,confirmed_implicit_source_fields_no_top_level_provenance_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,promote source_* manifest fields into explicit provenance block
CONS_0009,consistency,cases/CONS/CONS_0009,yes,yes,1,1,cases/CONS/CONS_0009/rewrite_pos_01.sql,cases/CONS/CONS_0009/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,no,,yes,not_detected,not_detected,no_top_level_provenance_block,confirmed_implicit_source_fields_no_top_level_provenance_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,promote source_* manifest fields into explicit provenance block
CONS_0010,consistency,cases/CONS/CONS_0010,yes,yes,1,1,cases/CONS/CONS_0010/rewrite_pos_01.sql,cases/CONS/CONS_0010/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,no,,yes,not_detected,not_detected,no_top_level_provenance_block,confirmed_implicit_source_fields_no_top_level_provenance_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,promote source_* manifest fields into explicit provenance block
CONS_0011,consistency,cases/CONS/CONS_0011,yes,yes,1,1,cases/CONS/CONS_0011/rewrite_pos_01.sql,cases/CONS/CONS_0011/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,no,,yes,not_detected,not_detected,no_top_level_provenance_block,confirmed_implicit_source_fields_no_top_level_provenance_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,promote source_* manifest fields into explicit provenance block
CONS_0012,consistency,cases/CONS/CONS_0012,yes,yes,1,1,cases/CONS/CONS_0012/rewrite_pos_01.sql,cases/CONS/CONS_0012/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,no,,yes,not_detected,not_detected,no_top_level_provenance_block,confirmed_implicit_source_fields_no_top_level_provenance_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,promote source_* manifest fields into explicit provenance block
CONS_0024,consistency,cases/CONS/CONS_0024,yes,yes,1,1,cases/CONS/CONS_0024/rewrite_pos_01.sql,cases/CONS/CONS_0024/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,yes,cases/CONS/CONS_0024/taxonomy_trial_v0.3.yaml,yes,not_detected,not_detected,no_top_level_provenance_block;standalone_taxonomy_trial_file_needs_release_disposition,confirmed_implicit_source_fields_no_top_level_provenance_block,confirmed_both_manifest_tags_and_standalone_trial_taxonomy_files,not_applicable_non_port,not_applicable,"promote source_* manifest fields into explicit provenance block; treat standalone taxonomy files as trial/intermediate; migrate missing tags into manifest tags, then archive or remove in release cleanup"
CONS_0036,consistency,cases/CONS/CONS_0036,yes,yes,1,1,cases/CONS/CONS_0036/rewrite_pos_01.sql,cases/CONS/CONS_0036/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,no,,yes,not_detected,not_detected,no_top_level_provenance_block,confirmed_implicit_source_fields_no_top_level_provenance_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,promote source_* manifest fields into explicit provenance block
CONS_0037,consistency,cases/CONS/CONS_0037,yes,yes,1,1,cases/CONS/CONS_0037/rewrite_pos_01.sql,cases/CONS/CONS_0037/rewrite_neg_01.sql,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,no,,yes,not_detected,not_detected,no_top_level_provenance_block,confirmed_implicit_source_fields_no_top_level_provenance_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,promote source_* manifest fields into explicit provenance block
LONGTAIL_0011,longtail,cases/LONGTAIL/LONGTAIL_0011,yes,yes,1,1,cases/LONGTAIL/LONGTAIL_0011/rewrite_pos_01.sql,cases/LONGTAIL/LONGTAIL_0011/rewrite_neg_01.sql,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,implicit_source_fields_only,yes,no,,yes,not_detected,not_detected,missing_checker;no_top_level_provenance_block,confirmed_implicit_source_fields_no_top_level_provenance_block,not_confirmed_manifest_tags_only,not_applicable_non_port,not_applicable,promote source_* manifest fields into explicit provenance block
