case_id,pool,source_family,engine,route_id,generation_status,execution_row_status,record_row_status,exit_code,status,failure_class,top_error,stdout_log,stderr_log,caveat
CONS_0005,consistency,Calcite,mysql,sqlglot_optimize_same_dialect,success,ready_to_execute,executed,1,executed_failed,method_generated_sql_execution_failure,Bad generated reference shape table1.table2.i,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0005__mysql__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0005__mysql__sqlglot_optimize_same_dialect.stderr.log,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0005,consistency,Calcite,mysql,sqlglot_transpile_same_dialect_noop,success,ready_to_execute,executed,0,executed_success,none,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0005__mysql__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0005__mysql__sqlglot_transpile_same_dialect_noop.stderr.log,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0005,consistency,Calcite,pg,sqlglot_optimize_same_dialect,success,ready_to_execute,executed,1,executed_failed,method_generated_sql_execution_failure,Bad generated reference shape table1.table2.i,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0005__pg__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0005__pg__sqlglot_optimize_same_dialect.stderr.log,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0005,consistency,Calcite,pg,sqlglot_transpile_same_dialect_noop,success,ready_to_execute,executed,0,executed_success,none,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0005__pg__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0005__pg__sqlglot_transpile_same_dialect_noop.stderr.log,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0005,consistency,Calcite,spark,sqlglot_optimize_same_dialect,success,ready_to_execute,executed,1,executed_failed,method_generated_sql_execution_failure,Bad generated reference shape table1.table2.i,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0005__spark__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0005__spark__sqlglot_optimize_same_dialect.stderr.log,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0005,consistency,Calcite,spark,sqlglot_transpile_same_dialect_noop,success,ready_to_execute,executed,0,executed_success,none,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0005__spark__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0005__spark__sqlglot_transpile_same_dialect_noop.stderr.log,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0007,consistency,Calcite,mysql,sqlglot_optimize_same_dialect,success,ready_to_execute,executed,1,executed_failed,method_generated_sql_execution_failure,Bad generated reference shape e2.e1.commission,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0007__mysql__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0007__mysql__sqlglot_optimize_same_dialect.stderr.log,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation; known cross-engine generated SQL failure shape e2.e1.commission; preserve if execution fails
CONS_0007,consistency,Calcite,mysql,sqlglot_transpile_same_dialect_noop,success,ready_to_execute,executed,0,executed_success,none,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0007__mysql__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0007__mysql__sqlglot_transpile_same_dialect_noop.stderr.log,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0007,consistency,Calcite,pg,sqlglot_optimize_same_dialect,success,ready_to_execute,executed,1,executed_failed,method_generated_sql_execution_failure,Bad generated reference shape e2.e1.commission,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0007__pg__sqlglot_optimize_same_dialect.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0007__pg__sqlglot_optimize_same_dialect.stderr.log,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation; known cross-engine generated SQL failure shape e2.e1.commission; preserve if execution fails
CONS_0007,consistency,Calcite,pg,sqlglot_transpile_same_dialect_noop,success,ready_to_execute,executed,0,executed_success,none,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0007__pg__sqlglot_transpile_same_dialect_noop.stdout.log,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/logs/cons_0007__pg__sqlglot_transpile_same_dialect_noop.stderr.log,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
