repair_row_id,case_id,engine,failure_stage,failure_type,failure_detail,repaired_sql_artifact,notes
direct_llm_repair_001,CONS_0024,mysql,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/mysql/direct_llm_execute_repair_1shot.sql,exact_match=false; sorted_match=false
direct_llm_repair_002,CONS_0024,pg,execution,result_mismatch,mismatch,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/pg/direct_llm_execute_repair_1shot.sql,exact_match=false; sorted_match=false
direct_llm_repair_003,CONS_0024,spark,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/spark/direct_llm_execute_repair_1shot.sql,exact_match=false; sorted_match=false
direct_llm_repair_004,PERF_0007,spark,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PERF_0007/spark/direct_llm_execute_repair_1shot.sql,exact_match=false; sorted_match=false
direct_llm_repair_005,PORT_0024,mysql,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0024/mysql/direct_llm_execute_repair_1shot.sql,exact_match=false; sorted_match=false; portability stress row
direct_llm_repair_007,LONGTAIL_0023,spark,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/LONGTAIL_0023/spark/direct_llm_execute_repair_1shot.sql,unresolved alias total_links
direct_llm_repair_009,PERF_0077,spark,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PERF_0077/spark/direct_llm_execute_repair_1shot.sql,Spark schema file was draft or comment-only
direct_llm_repair_010,PORT_0004,spark,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0004/spark/direct_llm_execute_repair_1shot.sql,Spark schema file was draft or comment-only; portability stress row
direct_llm_repair_011,PORT_0008,mysql,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0008/mysql/direct_llm_execute_repair_1shot.sql,PostgreSQL-style quoting and casts sent to MySQL; portability stress row
direct_llm_repair_012,PORT_0008,spark,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0008/spark/direct_llm_execute_repair_1shot.sql,Spark ParseException; portability stress row
direct_llm_repair_013,PORT_0012,mysql,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0012/mysql/direct_llm_execute_repair_1shot.sql,PostgreSQL-style quoting and casts sent to MySQL; portability stress row
direct_llm_repair_014,PORT_0012,spark,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0012/spark/direct_llm_execute_repair_1shot.sql,Spark ParseException; portability stress row
direct_llm_repair_015,PORT_0013,pg,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0013/pg/direct_llm_execute_repair_1shot.sql,MySQL-style backticks and DATE_FORMAT or DATETIME usage in PostgreSQL; portability stress row
direct_llm_repair_016,PORT_0013,spark,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0013/spark/direct_llm_execute_repair_1shot.sql,Spark ParseException; generation watchlist row; portability stress row
direct_llm_repair_017,PORT_0022,pg,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0022/pg/direct_llm_execute_repair_1shot.sql,MySQL-style backticks and DATE_FORMAT or DATETIME usage in PostgreSQL; portability stress row
direct_llm_repair_018,PORT_0022,spark,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0022/spark/direct_llm_execute_repair_1shot.sql,Spark ParseException; portability stress row
direct_llm_repair_019,PORT_0024,pg,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0024/pg/direct_llm_execute_repair_1shot.sql,MySQL-style backticks in PostgreSQL; portability stress row
direct_llm_repair_020,PORT_0025,pg,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0025/pg/direct_llm_execute_repair_1shot.sql,dialect-incompatible syntax in PostgreSQL; portability stress row
direct_llm_repair_021,PORT_0025,spark,execution,execution_failed,not_checked_execution_failed,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0025/spark/direct_llm_execute_repair_1shot.sql,unsupported Spark datatype DATETIME; portability stress row
