scope,category,field_or_route,current_state,status,source_artifact,notes
environment,hardware,CPU,NA_not_retained,missing_before_submission,reports/evaluation/common_core_v0/r_bot_formal_runtime_lock_01/runtime_environment_snapshot_v1.json,"Machine architecture x86_64 is retained, but CPU model is not frozen in the paper artifact layer."
environment,hardware,memory,NA_not_retained,missing_before_submission,reports/evaluation/common_core_v0/r_bot_formal_runtime_lock_01/runtime_environment_snapshot_v1.json,No retained exact RAM value was found.
environment,hardware,storage,NA_not_retained,missing_before_submission,reports/evaluation/common_core_v0/r_bot_formal_runtime_lock_01/runtime_environment_snapshot_v1.json,No retained storage / disk class value was found.
environment,runtime,JVM / Java version,NA_not_retained,missing_before_submission,reports/evaluation/common_core_v0/12_PORT_VERIFIER_ARTIFACT_MAP_V1/verifier_support_pair_ledger_v1.csv,Verifier support artifacts do not freeze a submission-grade Java version in the Common-core paper layer.
environment,engine,PostgreSQL version,NA_not_retained,missing_before_submission,AGENTS.md|scripts/cli.py,"PostgreSQL access conventions are retained, but no exact benchmark PostgreSQL version was frozen in the inspected artifact layer."
environment,engine,Spark SQL version,NA_not_retained,missing_before_submission,AGENTS.md|scripts/cli.py,"Spark local-mode convention is retained, but no exact Spark SQL version was frozen in the inspected artifact layer."
environment,dependency,Calcite version or commit/hash,NA_not_retained,human_review_needed,reports/evaluation/common_core_v0/calcite_hep_120_fail_closed_synthesis_v1.csv|reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/README.md,"Calcite route evidence is retained, but the exact wrapper / jar version or commit hash is not frozen in the inspected paper artifacts."
environment,policy,cache policy,NA_not_retained,missing_before_submission,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.md,No single retained cache-on/cache-off policy was frozen for submission.
environment,policy,ordering policy,NA_not_retained,human_review_needed,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_policy_v1.md,"Speedup is row-local median based, but a single explicit output-ordering policy for all checker tables was not frozen."
environment,policy,numeric tolerance,NA_not_retained,human_review_needed,reports/evaluation/common_core_v0/08_SECTION8_EVIDENCE_FREEZE_V1/section8_missing_data_ledger_v1.csv,"Numeric tolerance is referenced implicitly in checker/normalization artifacts, but no single exact tolerance value was frozen here."
route_metadata,Appendix diagnostic route-family aggregate,sqlglot / sqlglot_combined_same_engine_240,NA_not_retained_exact_combined_regeneration_script,human_review_needed,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,"This is an aggregate appendix diagnostic, not a single denominator-compatible method route."
route_metadata,Appendix bounded prior-method evidence,r_bot / r_bot_same_engine_rewrite,reports/evaluation/common_core_v0/runs/r_bot_pg15_timing_expansion_02/run_manual_r_bot_pg15_timing.sh,human_review_needed,reports/evaluation/common_core_v0/r_bot_formal_result_card_v1.csv|reports/evaluation/common_core_v0/r_bot_formal_runtime_lock_01/runtime_verify_report_v1.md|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,"A strong bounded runtime lock exists, but the formal 120-row route remains mixed-scope appendix evidence."
route_metadata,Appendix bounded prior-method evidence,learnedrewrite / UNKNOWN_NOT_RECOVERED,NA_not_retained_runnable_route_command,missing_before_submission,reports/evaluation/common_core_v0/prior_methods_pg10_bounded_appendix_v1.md|reports/evaluation/common_core_v0/learnedrewrite_120_preflight_v1.md|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,"Bounded historical evidence exists, but a runnable same-engine route and checkpoint/inference stack are not frozen in the paper artifact layer."
route_metadata,Track C portability translation,direct_llm / llm_translate_portability_route,NA_not_retained_exact_translation_runner_entrypoint,human_review_needed,reports/evaluation/common_core_v0/12_PORT_VERIFIER_ARTIFACT_MAP_V1/port_bounded_route_closure_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table8_port_cross_engine_translation_v1.csv,"Bounded 6/6 Track C closure is retained, but prompt/config details are not frozen as cleanly as the main Direct LLM same-engine route."
