row_id,case_id,pool,engine,denominator_id,method_id,route_id,source_sql_path,rewrite_sql_path,schema_path,witness_data_path,exact_match_source,result_check_artifact,expected_timing_output_path,expected_stdout_log,expected_stderr_log,expected_workspace_dir,warmup_count,repeat_count,source_artifacts,notes
CONS_0005:mysql,CONS_0005,CONS,mysql,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0005/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0005/mysql/calcite_hep_rewrite.sql,cases/CONS/CONS_0005/schema/ddl_mysql.sql,cases/CONS/CONS_0005/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0005/mysql/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timings/CONS_0005/mysql/calcite_hep_93_exact_timing.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0005__mysql.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0005__mysql.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/workspaces/CONS_0005/mysql,1,3,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
CONS_0005:pg,CONS_0005,CONS,pg,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_pg_rewrite,cases/CONS/CONS_0005/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0005/pg/calcite_hep_pg_rewrite.sql,cases/CONS/CONS_0005/schema/ddl_pg.sql,cases/CONS/CONS_0005/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0005/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timings/CONS_0005/pg/calcite_hep_93_exact_timing.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0005__pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0005__pg.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/workspaces/CONS_0005/pg,1,3,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/execution_command_matrix.csv,base PG40 exact row from retained execution validity packet
CONS_0005:spark,CONS_0005,CONS,spark,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0005/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0005/spark/calcite_hep_rewrite.sql,cases/CONS/CONS_0005/schema/ddl_spark.sql,cases/CONS/CONS_0005/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0005/spark/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timings/CONS_0005/spark/calcite_hep_93_exact_timing.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0005__spark.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0005__spark.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/workspaces/CONS_0005/spark,1,3,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
CONS_0007:mysql,CONS_0007,CONS,mysql,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0007/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0007/mysql/calcite_hep_rewrite.sql,cases/CONS/CONS_0007/schema/ddl_mysql.sql,cases/CONS/CONS_0007/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0007/mysql/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timings/CONS_0007/mysql/calcite_hep_93_exact_timing.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0007__mysql.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0007__mysql.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/workspaces/CONS_0007/mysql,1,3,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
CONS_0007:pg,CONS_0007,CONS,pg,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_pg_rewrite,cases/CONS/CONS_0007/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0007/pg/calcite_hep_pg_rewrite.sql,cases/CONS/CONS_0007/schema/ddl_pg.sql,cases/CONS/CONS_0007/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0007/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timings/CONS_0007/pg/calcite_hep_93_exact_timing.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0007__pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0007__pg.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/workspaces/CONS_0007/pg,1,3,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/execution_command_matrix.csv,base PG40 exact row from retained execution validity packet
CONS_0007:spark,CONS_0007,CONS,spark,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0007/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0007/spark/calcite_hep_rewrite.sql,cases/CONS/CONS_0007/schema/ddl_spark.sql,cases/CONS/CONS_0007/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0007/spark/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timings/CONS_0007/spark/calcite_hep_93_exact_timing.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0007__spark.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0007__spark.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/workspaces/CONS_0007/spark,1,3,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
CONS_0009:mysql,CONS_0009,CONS,mysql,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0009/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0009/mysql/calcite_hep_rewrite.sql,cases/CONS/CONS_0009/schema/ddl_mysql.sql,cases/CONS/CONS_0009/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0009/mysql/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timings/CONS_0009/mysql/calcite_hep_93_exact_timing.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0009__mysql.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0009__mysql.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/workspaces/CONS_0009/mysql,1,3,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
CONS_0009:pg,CONS_0009,CONS,pg,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_pg_rewrite,cases/CONS/CONS_0009/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/CONS_0009/pg/calcite_hep_pg_rewrite.sql,cases/CONS/CONS_0009/schema/ddl_pg.sql,cases/CONS/CONS_0009/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/workspaces/CONS_0009/pg/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timings/CONS_0009/pg/calcite_hep_93_exact_timing.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0009__pg.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0009__pg.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/workspaces/CONS_0009/pg,1,3,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/execution_command_matrix.csv,base PG40 exact row from retained execution validity packet
CONS_0009:spark,CONS_0009,CONS,spark,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0009/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0009/spark/calcite_hep_rewrite.sql,cases/CONS/CONS_0009/schema/ddl_spark.sql,cases/CONS/CONS_0009/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0009/spark/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timings/CONS_0009/spark/calcite_hep_93_exact_timing.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0009__spark.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0009__spark.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/workspaces/CONS_0009/spark,1,3,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
CONS_0010:mysql,CONS_0010,CONS,mysql,common_core_v0_40_same_engine_calcite_hep_exact93_timing,calcite_hep,calcite_hep_same_engine_rewrite,cases/CONS/CONS_0010/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/CONS_0010/mysql/calcite_hep_rewrite.sql,cases/CONS/CONS_0010/schema/ddl_mysql.sql,cases/CONS/CONS_0010/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/CONS_0010/mysql/result_check.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/timings/CONS_0010/mysql/calcite_hep_93_exact_timing.json,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0010__mysql.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/logs/CONS_0010__mysql.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/workspaces/CONS_0010/mysql,1,3,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_command_matrix.csv,base non-PG exact row from retained execution expansion packet
