row_key,case_id,pool,engine,current_status,last_retained_evidence_path,source_sql_path,generated_sql_path,source_result_path,generated_result_path,observed_diff_summary,frontier_classification,is_recovery_allowed_under_current_route,recovery_risk_level,candidate_repair_family,why_this_is_or_is_not_methodology_drift,expected_exact_recovery_potential
PERF_0006:mysql,PERF_0006,PERF,mysql,mismatch,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_expansion_60_triage.md,cases/PERF/PERF_0006/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/PERF_0006/mysql/calcite_hep_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0006/mysql/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0006/mysql/generated.tsv,Generated output changes final numeric value from 0.075000 to 0 so mismatch is semantic rather than formatting,disallowed_semantic_mismatch,no,disallowed,none,Recovering this row would require semantic rewrite repair rather than package-local rendering or setup work,0
PERF_0006:spark,PERF_0006,PERF,spark,mismatch,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_expansion_60_triage.md,cases/PERF/PERF_0006/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/generated/PERF_0006/spark/calcite_hep_rewrite.sql,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0006/spark/source.tsv,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/workspaces/PERF_0006/spark/generated.tsv,Generated output changes final numeric value from 0.075000 to 0 so mismatch is semantic rather than formatting,disallowed_semantic_mismatch,no,disallowed,none,Recovering this row would require semantic rewrite repair rather than package-local rendering or setup work,0
PORT_0003:pg,PORT_0003,PORT,pg,parser_failed,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/rewrite_expansion_80_triage.md,cases/PORT/PORT_0003/source.sql,,,,Source is postgres-like candidate but retained blocker is parser front-end or deeper support rather than bounded package-local repair,disallowed_parser_or_deep_feature_support,no,high,none,This is same-engine aligned but would need deeper method support expansion outside the allowed repair families,0
PORT_0004:pg,PORT_0004,PORT,pg,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0004/source.sql,,,,Source contains mysql-like constructs such as backticks and DATE_FORMAT under a pg row,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current pg same-engine route would be methodology drift,0
PORT_0005:pg,PORT_0005,PORT,pg,parser_failed,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/rewrite_expansion_80_triage.md,cases/PORT/PORT_0005/source.sql,,,,Source is postgres-like candidate but retained blocker is parser front-end or deeper support rather than bounded package-local repair,disallowed_parser_or_deep_feature_support,no,high,none,This is same-engine aligned but would need deeper method support expansion outside the allowed repair families,0
PORT_0008:pg,PORT_0008,PORT,pg,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0008/source.sql,,,,Source uses pg style cast syntax but retained blocker remains parser or deeper method support not a low-risk package-local repair,disallowed_parser_or_deep_feature_support,no,high,none,This is same-engine aligned but would need deeper method support expansion outside the allowed repair families,0
PORT_0012:pg,PORT_0012,PORT,pg,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0012/source.sql,,,,Source uses pg TO_CHAR style constructs and retained blocker remains parser or deep support,disallowed_parser_or_deep_feature_support,no,high,none,This is same-engine aligned but would need deeper method support expansion outside the allowed repair families,0
PORT_0013:pg,PORT_0013,PORT,pg,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0013/source.sql,,,,Source contains mysql style backticks under a pg row,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current pg same-engine route would be methodology drift,0
PORT_0022:pg,PORT_0022,PORT,pg,parser_failed,reports/evaluation/common_core_v0/calcite_hep_120_gap_matrix_v1.csv,cases/PORT/PORT_0022/source.sql,,,,Source contains mysql-like DATE_FORMAT and retained pg route does not preserve same-engine validity,disallowed_methodology_boundary,no,disallowed,none,Counting this under the current pg same-engine route would be methodology drift,0
PORT_0024:pg,PORT_0024,PORT,pg,generated_execution_failed,reports/evaluation/common_core_v0/calcite_hep_120_post90_frontier_challenge_audit_v1.md,cases/PORT/PORT_0024/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_120_gap_matrix_v1.csv,,,Retained source baseline itself uses mysql-style backticks and fails under pg execution,disallowed_methodology_boundary,no,disallowed,none,The retained failure is a route-definition boundary not a bounded package-local repair opportunity,0
