case_id,primary_pool,source_family,source_detail,registry_present,benchmark_line,dataset_line,admission_status,promotion_status,tri_engine_closure,validated_engines,case_directory_present,manifest_paths,source_paths,positive_paths,negative_paths,result_check_paths,plan_check_paths,pg_result_check_paths,pg_plan_check_paths,mysql_result_check_paths,mysql_plan_check_paths,spark_result_check_paths,spark_plan_check_paths,latest_experiment_status,latest_evidence_status,known_caveat,next_gap,recommended_replacement_suitability,suitability_rationale
PERF_0062,performance,TPC-DS,query_templates/query13.tpl；dsqgen materialized instance（COUNT=1；QUALIFY=Y；SCALE=1；DIALECT=ansi；MS=D/S/W；ES=2 yr Degree/Secondary/Advanced Degree；STATE=CO/IL/MN/OH/MT/NM/TX/MO/MI；YEAR=2001）,True,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,已完成扩展实验,三引擎闭环,TPC-DS tri-engine review marks formal skeleton complete; release-grade incomplete,后续如需推进，再决定是否推进 common-core candidate,strong_replacement,staged tri-engine case with full machine-readable artifacts and no current registry defer beyond later candidate review
PERF_0063,performance,TPC-DS,query_templates/query15.tpl；dsqgen materialized instance（COUNT=1；QUALIFY=Y；SCALE=1；DIALECT=ansi；YEAR=2000；QOY=2；LIMIT=100）,True,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,已完成扩展实验,三引擎闭环,TPC-DS tri-engine review marks formal skeleton complete; release-grade incomplete,后续如需推进，再决定是否推进 common-core candidate,strong_replacement,staged tri-engine case with full machine-readable artifacts and no current registry defer beyond later candidate review
PERF_0010,performance,TPC-H,query12.sql；TPC-H Query 12 / Shipping Modes and Order Priority Query；manual frozen instance（:1=REG AIR；:2=RAIL；:3=1993-01-01；:n -1=no row limit）,True,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,已完成扩展实验,三引擎闭环,tri-engine review notes say Spark validation bundle remains partial at case-local layout hardening level,后续如需推进，再决定是否推进 common-core candidate,strong_replacement,staged tri-engine case with full machine-readable artifacts and no current registry defer beyond later candidate review
CONS_0024,consistency,Calcite,Calcite / sub-query.iq LEFT JOIN EXISTS HAVING SUM；local source datasets/raw/calcite/calcite/core/src/test/resources/sql/sub-query.iq；draft origin CONS_CALCITE_DRAFT_0026；local Calcite candidate promoted to case-local package,True,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,已完成一致性实验,三引擎闭环,known review/defer note | Calcite consistency review notes repaired after initial PG witness-discrimination issue; plan semantics not formally reviewed,human review package quality；decide whether to keep Calcite-derived consistency case and whether to advance toward formal review,acceptable_with_manual_review,"tri-engine and artifact-complete, but registry/review notes still explicitly keep it in manual review / not formally reviewed territory"
CONS_0032,consistency,VeriEQL,Calcite-397 / 46 correlated NOT IN over derived EMP rows；local source datasets/raw/verieql/staged/VeriEQL/benchmarks/calcite/calcite2.jsonlines#index=46；draft origin CONS_VERIEQL_DRAFT_0002；local VeriEQL candidate promoted to case-local package,True,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,已完成一致性实验,三引擎闭环,known review/defer note | VeriEQL review notes compact correlated NOT IN null-sensitive case; plan semantics not formally reviewed,human review package quality；decide whether to keep VeriEQL-derived consistency case and whether to advance toward formal review,acceptable_with_manual_review,"tri-engine and artifact-complete, but registry/review notes still explicitly keep it in manual review / not formally reviewed territory"
CONS_0034,consistency,VeriEQL,Calcite-397 / 94 LEFT JOIN CASE aggregation rewrite；local source datasets/raw/verieql/staged/VeriEQL/benchmarks/calcite/calcite2.jsonlines#index=94；draft origin CONS_VERIEQL_DRAFT_0004；local VeriEQL candidate promoted to case-local package,True,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,已完成一致性实验,三引擎闭环,known review/defer note | VeriEQL review notes repaired after narrow Spark alias compatibility issue; plan semantics not formally reviewed,human review package quality；decide whether to keep VeriEQL-derived consistency case and whether to advance toward formal review,acceptable_with_manual_review,"tri-engine and artifact-complete, but registry/review notes still explicitly keep it in manual review / not formally reviewed territory"
PORT_0006,portability,PARROT,BIRD mysql_res.json[22]；local source datasets/raw/parrot/PARROT/benchmark/BIRD/mysql_res.json[22]；draft origin PORT_PARROT_DRAFT_0011；tracked cross-dialect result evidence in cases/PORT/PORT_0006/runs/result_check.json；tracked draft plan evidence in cases/PORT/PORT_0006/runs/plan_check.json,True,staged,not_yet_admitted,staged_not_yet_admitted,not_yet_admitted,yes,mysql|pg|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/result_check.json,runs/plan_check.json,,,,,,,已完成跨引擎实验,三引擎闭环,known review/defer note | plan semantics not formally reviewed | portability review-prep only; plan semantics not formally reviewed,human review；portability review-prep packet；later admission decision；plan semantics not formally reviewed,acceptable_with_manual_review,"tri-engine and artifact-complete, but registry/review notes still explicitly keep it in manual review / not formally reviewed territory"
PORT_0008,portability,PARROT,BIRD pg_res.json[4]；local source datasets/raw/parrot/PARROT/benchmark/BIRD/pg_res.json[4]；draft origin PORT_DRAFT_0002；tracked cross-dialect result evidence in cases/PORT/PORT_0008/runs/result_check.json；tracked draft plan evidence in cases/PORT/PORT_0008/runs/plan_check.json,True,staged,not_yet_admitted,staged_not_yet_admitted,not_yet_admitted,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/result_check.json,runs/plan_check.json,,,,,,,已完成跨引擎实验,三引擎闭环,known review/defer note | plan semantics not formally reviewed | portability review-prep only; appears in later PG-route/closure scratch snapshots,human review；portability review-prep packet / later formal review；later admission decision；plan semantics not formally reviewed,acceptable_with_manual_review,"tri-engine and artifact-complete, but registry/review notes still explicitly keep it in manual review / not formally reviewed territory"
PORT_0023,portability,PARROT,BIRD mysql_res.json[5]；local source datasets/raw/parrot/PARROT/benchmark/BIRD/mysql_res.json[5]；draft origin PORT_DRAFT_0026；tracked cross-dialect result evidence in cases/PORT/PORT_0023/runs/result_check.json；tracked draft plan evidence in cases/PORT/PORT_0023/runs/plan_check.json,True,staged,not_yet_admitted,staged_not_yet_admitted,not_yet_admitted,yes,mysql|pg|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/result_check.json,runs/plan_check.json,,,,,,,已完成跨引擎实验,三引擎闭环,known review/defer note | plan semantics not formally reviewed | portability review-prep only; plan semantics not formally reviewed,human review；portability review-prep packet / later formal review；later admission decision；plan semantics not formally reviewed,acceptable_with_manual_review,"tri-engine and artifact-complete, but registry/review notes still explicitly keep it in manual review / not formally reviewed territory"
LONGTAIL_0023,longtail,Stack Queries,Stack Queries / SuperUser XML dump substrate；manual/hybrid postlinks graph anchor；not direct SEDE source-text case；not SQLStorm source；tracked engine-local result evidence in cases/LONGTAIL/LONGTAIL_0023/runs/result_check.json；tracked engine-local plan evidence in cases/LONGTAIL/LONGTAIL_0023/runs/plan_check.json,True,staged,not_yet_admitted,staged_not_yet_admitted,not_under_review,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,已完成主实验,三引擎闭环,known review/defer note | plan semantics not formally reviewed | normalization caveat: manual/hybrid Stack substrate | manual/hybrid Stack-substrate anchor; not direct SEDE source-text; plan semantics not formally reviewed,human review package quality；prepare longtail review-prep wording；plan semantics not formally reviewed；later admission decision,acceptable_with_manual_review,"tri-engine and artifact-complete, but registry/review notes still explicitly keep it in manual review / not formally reviewed territory"
LONGTAIL_0005,longtail,SQLStorm,SQLStorm / stackoverflow 16141.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/16141.sql；draft origin LONGTAIL_DRAFT_0004；local SQLStorm candidate promoted to case-local package,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,已完成主实验,三引擎闭环,registry not_assessed | known review/defer note | SQLStorm tri-engine review marks formal skeleton complete but registry still not_assessed,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review,extended_preferred,"artifact-complete and tri-engine closed, but live registry still leaves it not_assessed rather than a staged common-core review line"
LONGTAIL_0011,longtail,SQLStorm,SQLStorm / stackoverflow 6625.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/6625.sql；draft origin LONGTAIL_DRAFT_0012；local SQLStorm candidate promoted to case-local package,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,已完成主实验,三引擎闭环,registry not_assessed | known review/defer note | SQLStorm tri-engine review marks formal skeleton complete but registry still not_assessed,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review,extended_preferred,"artifact-complete and tri-engine closed, but live registry still leaves it not_assessed rather than a staged common-core review line"
LONGTAIL_0012,longtail,SQLStorm,SQLStorm / stackoverflow 7247.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/7247.sql；draft origin LONGTAIL_DRAFT_0013；local SQLStorm candidate promoted to case-local package,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,已完成主实验,三引擎闭环,registry not_assessed | known review/defer note | SQLStorm tri-engine review marks formal skeleton complete; repaired after MySQL-open state; registry still not_assessed,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review,extended_preferred,"artifact-complete and tri-engine closed, but live registry still leaves it not_assessed rather than a staged common-core review line"
LONGTAIL_0013,longtail,SQLStorm,SQLStorm / stackoverflow 1298.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/1298.sql；draft origin LONGTAIL_DRAFT_0021；local SQLStorm candidate promoted to case-local package,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,已完成主实验,三引擎闭环,registry not_assessed | known review/defer note | SQLStorm tri-engine review marks formal skeleton complete; repaired after MySQL-open state; registry still not_assessed,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review,extended_preferred,"artifact-complete and tri-engine closed, but live registry still leaves it not_assessed rather than a staged common-core review line"
LONGTAIL_0014,longtail,SQLStorm,SQLStorm / stackoverflow 3369.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/3369.sql；draft origin LONGTAIL_DRAFT_0028；local SQLStorm candidate promoted to case-local package,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,已完成主实验,三引擎闭环,registry not_assessed | known review/defer note | SQLStorm tri-engine review marks formal skeleton complete but registry still not_assessed,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review,extended_preferred,"artifact-complete and tri-engine closed, but live registry still leaves it not_assessed rather than a staged common-core review line"
LONGTAIL_0015,longtail,SQLStorm,SQLStorm / stackoverflow 10979.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/10979.sql；draft origin LONGTAIL_DRAFT_0009；local SQLStorm candidate promoted to case-local package,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,manifest.yaml,source.sql,rewrite_pos_01.sql,rewrite_neg_01.sql,runs/mysql/result_check.json|runs/pg/result_check.json|runs/spark/result_check.json,runs/mysql/plans/plan_check.json|runs/pg/plans/plan_check.json|runs/spark/plans/plan_check.json,runs/pg/result_check.json,runs/pg/plans/plan_check.json,runs/mysql/result_check.json,runs/mysql/plans/plan_check.json,runs/spark/result_check.json,runs/spark/plans/plan_check.json,已完成主实验,三引擎闭环,registry not_assessed | known review/defer note | SQLStorm tri-engine review marks formal skeleton complete but registry still not_assessed,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review,extended_preferred,"artifact-complete and tri-engine closed, but live registry still leaves it not_assessed rather than a staged common-core review line"
