method_id,route_id,track,denominator_id,engine_scope,command_or_script,config_or_prompt,temperature,top_p,max_tokens,retry_policy,extraction_rule,timing_policy,source_artifact,status,notes
direct_llm,direct_llm_same_engine_rewrite,Track A same-engine,common_core_v0_40_same_engine_120,same_engine_pg_mysql_spark,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/run_manual_direct_llm_timing.sh,reports/evaluation/common_core_v0/direct_llm_preflight/direct_llm_prompt_template.md sha256=55561656591c9ebd4c02192ee1b3802cdd8cda433acb7e19cc80c9fc17e5d986,0,1,2048,single_generation_call_per_row_no_retry_loop_retained,direct_message_content_capture_with_format_gating_no_secondary_sql_extractor,exact_plus_timing_success_only; timing_success_94; warmup=1; repeat=3,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/direct_llm_original_model_metadata_audit_v1.md|reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,retained_partial,"Generation, timing, and prompt metadata are explicit, but no repo-wide seed or unified environment lock is retained."
direct_llm,direct_llm_execute_repair_1shot,Track A same-engine feedback route,common_core_v0_40_same_engine_120,same_engine_pg_mysql_spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/run_direct_llm_execute_repair_1shot.py|reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/run_manual_direct_llm_execute_repair_1shot.sh,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repair_prompt_template_v1.md sha256=5192c1c6ce9e7a370556846a2a04b29372094f1e7c02f567191d6d9f18ea33db,0,1,2048,repair_attempts=1,non_empty_no_markdown_no_prose_prefix_sql_like_first_line,mixed_source_timing_full_final_exact_rows; exact_plus_timing_success_only,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repair_policy_v1.md|reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/run_results.json|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/direct_llm_execute_repair_1shot_result_card_v1.csv,retained_partial,Feedback-aware extension only; 21 repair-ready rows and 5 blocked rows are explicit.
sqlglot,sqlglot_transpile_same_dialect_noop,Track A same-engine route-separated,common_core_v0_40_same_engine_120,same_engine_pg_mysql_spark,reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/run_manual_sqlglot_full_per_case_timing.sh,NA_not_applicable_symbolic_route,not_applicable,not_applicable,not_applicable,not_applicable_symbolic_route,not_applicable_symbolic_route,warmup=1; repeat=3; timeout=30s; exact_plus_timing_success_only,reports/evaluation/common_core_v0/sqlglot_transpile_same_dialect_noop_result_card_v1.csv|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_policy_v1.md|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,retained_partial,Route-separated symbolic route; timing policy is explicit but generation/runtime package lock is not frozen repo-wide.
sqlglot,sqlglot_optimize_same_dialect,Track A same-engine route-separated,common_core_v0_40_same_engine_120,same_engine_pg_mysql_spark,reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/run_manual_sqlglot_full_per_case_timing.sh,NA_not_applicable_symbolic_route,not_applicable,not_applicable,not_applicable,not_applicable_symbolic_route,not_applicable_symbolic_route,warmup=1; repeat=3; timeout=30s; exact_plus_timing_success_only,reports/evaluation/common_core_v0/sqlglot_optimize_same_dialect_result_card_v1.csv|reports/evaluation/common_core_v0/runs/sqlglot_full_per_case_timing_01/timing_policy_v1.md|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,retained_partial,Checker-backfilled exact63 timing slice is retained; exact SQLGlot package version exists only in bounded runtime lock artifacts.
sqlglot,sqlglot_combined_same_engine_240,Appendix diagnostic route-family aggregate,timing_success_137_on_common_core_v0_40_two_route_aggregate_240,aggregate_two_route_family_view,NA_not_retained_exact_combined_regeneration_script,NA_not_applicable_aggregate_view,not_applicable,not_applicable,not_applicable,not_applicable_aggregate_view,not_applicable_aggregate_view,route_summary_only; per-case aggregate median/best/worst not retained,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,human_review_needed,"This is an aggregate appendix diagnostic, not a single denominator-compatible method route."
calcite_hep,calcite_hep_fail_closed_120,Track A same-engine correctness-gated timing,common_core_v0_40_same_engine_120,same_engine_pg_mysql_spark,reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/run_manual_calcite_hep_93_exact_timing.sh,NA_not_applicable_symbolic_route; exact Calcite wrapper/jar hash unresolved,not_applicable,not_applicable,not_applicable,not_applicable_symbolic_route,not_applicable_symbolic_route,warmup=1; repeat=3; exact93_only correctness-gated timing,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/calcite_hep_93_exact_timing_result_card_v1.csv|reports/evaluation/common_core_v0/runs/calcite_hep_93_exact_timing_01/README.md|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,retained_partial,"Route evidence is strong, but Calcite runtime version/hash is not frozen in the inspected artifacts."
r_bot,r_bot_same_engine_rewrite,Appendix bounded prior-method evidence,common_core_v0_40_same_engine_120_and_pg_scoped_subsets,mixed_scope_appendix_pg_subsets_plus_formal_120_generation,reports/evaluation/common_core_v0/runs/r_bot_pg15_timing_expansion_02/run_manual_r_bot_pg15_timing.sh,reports/evaluation/common_core_v0/r_bot_formal_runtime_lock_01/r_bot_formal_requirements_lock.txt,human_review_needed,human_review_needed,human_review_needed,human_review_needed,human_review_needed,bounded_pg15_timing_subset_only; not full120; not tri-engine,reports/evaluation/common_core_v0/r_bot_formal_result_card_v1.csv|reports/evaluation/common_core_v0/r_bot_formal_runtime_lock_01/runtime_verify_report_v1.md|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,human_review_needed,"A strong bounded runtime lock exists, but the formal 120-row route remains mixed-scope appendix evidence."
llm_r2,llm_r2_original_route_bounded_pg9,Appendix bounded prior-method evidence,common_core_v0_llm_r2_pg_supported_9,bounded_pg_only,NA_not_retained_exact_runner_entrypoint,NA_not_retained,human_review_needed,human_review_needed,human_review_needed,NA_not_retained,NA_not_retained,no_retained_timing_packet,reports/evaluation/common_core_v0/llm_r2_pg9_bounded_evidence_reconciliation_v1.csv|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,retained_partial,"Bounded PG9 audit is retained as evidence, but not as a fully frozen reproducibility route with one retained runner entrypoint."
llm_r2,llm_r2_recovered_extraction_route_v1,Appendix bounded prior-method evidence,common_core_v0_llm_r2_recovered_pg9_attempted_appendix,bounded_pg_only,NA_not_retained_exact_runner_entrypoint,NA_not_retained,human_review_needed,human_review_needed,human_review_needed,NA_not_retained,NA_not_retained,no_retained_timing_packet; PG9 recovery audit with PG6 exact recovered subset,reports/evaluation/common_core_v0/llm_r2_recovered_extraction_pg6_bounded_evidence_review_v1.csv|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,retained_partial,Recovered route is bounded appendix evidence only and keeps the PG9 attempted denominator explicit.
learnedrewrite,UNKNOWN_NOT_RECOVERED,Appendix bounded prior-method evidence,prior_method_pg10,bounded_pg_only,NA_not_retained_runnable_route_command,reports/evaluation/common_core_v0/learnedrewrite_120_preflight_v1.md,human_review_needed,human_review_needed,human_review_needed,NA_not_retained,NA_not_retained,bounded historical appendix only; no retained timing array,reports/evaluation/common_core_v0/prior_methods_pg10_bounded_appendix_v1.md|reports/evaluation/common_core_v0/learnedrewrite_120_preflight_v1.md|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,missing_before_submission,"Bounded historical evidence exists, but a runnable same-engine route and checkpoint/inference stack are not frozen in the paper artifact layer."
