table_id,paper_table_title,freeze_file_csv,freeze_file_md,track,denominator_id,fill_status,main_or_appendix,paper_safe_use,key_numbers_or_status,remaining_gap,source_artifacts,notes
Table 1,Common-core v0 Composition,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.md,governance,common_core_v0_40,filled,main,freeze the accepted paper denominator split,"PERF=16; CONS=9; PORT=9; LONGTAIL=6; TOTAL=40",none,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,Records the accepted paper-facing denominator only.
Table 2,Baseline Evaluation Protocol,NA_contract_only,NA_contract_only,protocol,protocol_design_only,synthesis_only,main,protocol/design citation surface,protocol_design_table_only,needs_paper_narrative_render_only,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/paper_table_contract_v1.csv,Table 2 remains a synthesis/protocol table rather than an experiment output table.
Table 3,Denominator-aware Same-engine Method Evidence,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v1.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v1.md,Track A,common_core_v0_40_same_engine_120,partially_filled,main,denominator-aware route evidence not a final ranked leaderboard,"direct_llm=94/120 exact and 94 timed; sqlglot optimize=65/120; sqlglot noop=72/120; calcite_hep fail_closed=93/120",bounded prior methods remain in Table 11 and SQLGlot remains route-separated,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v1.csv,Main Track A evidence exists but not as a global winner table.
Table 4,Correctness and Guardrail Evidence,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table4_correctness_guardrail_evidence_v1.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table4_correctness_guardrail_evidence_v1.md,Track A plus controls,common_core_v0_40_same_engine_120_controls_and_routes,filled,main,controls plus positive consistency with explicit hard-negative guardrail boundary,"human_positive=111/120; hard_negative tested view=111/111 rejected; direct_llm exact=94/120",method-level negative rejection for non-control rows remains unavailable,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table4_correctness_guardrail_evidence_v1.csv,Correctness and guardrail must be read before timing.
Table 5,Observability and Plan Artifact Table,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table5_observability_plan_artifact_v1.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table5_observability_plan_artifact_v1.md,Track B,track_b_support_selected_cases,support_only,main,support-layer observability readiness only,selected_case_only_or_preflight_only_across_rows,needs method-specific plan extraction node alignment and attribution,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table5_observability_plan_artifact_v1.csv,Not a rewrite ranking table.
Table 6,Performance on Exact Timed Rows,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v2.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v2.md,Track A timing,exact_timed_subsets_only,partially_filled,main,correctness-gated timing on exact timed subsets only,"direct_llm full per-case 94 rows; calcite_hep pg21; r_bot pg15; sqlglot rows aggregate-only",SQLGlot full per-case timing export still missing,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v2.csv,Do not compare rows without timing denominator labels.
Table 7,Failure Accounting Matrix,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table7_failure_accounting_matrix_v1.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table7_failure_accounting_matrix_v1.md,governance plus Track A,route_specific_failure_buckets,filled,main,route-level failure synthesis with explicit NA_not_split cells,"direct_llm execution_failed=16 mismatch=5; sqlglot optimize generation_failed=27; sqlglot noop parse_failed=6",run_event_long or case-level failure export still absent,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table7_failure_accounting_matrix_v1.csv,Useful for denominator-aware interpretation not leaderboard ranking.
Table 8,PORT Cross-engine Translation Table,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table8_port_cross_engine_translation_v1.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table8_port_cross_engine_translation_v1.md,Track C,port_bounded_6,bounded_only,main,portability / translation evidence only not same-engine rewrite,"bounded PORT6 retained; LLM Translate bounded 6/6; SQLGlot Transpile bounded route only",full PORT9 and SpeedupTransferRate are not retained,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table8_port_cross_engine_translation_v1.csv,Track C must stay separate from Track A.
Table 9,Verifier Support Table,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table9_verifier_support_v1.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table9_verifier_support_v1.md,Track B support,selected_verifier_support_pairs,support_only,main,verifier support evidence only not rewrite generation,"SQLSolver smoke 3/4 bounded support; VeriEQL 2-pair canary",CONS9 completion not retained,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table9_verifier_support_v1.csv,SQLSolver and VeriEQL are support tools only.
Table 10,Plan Observability Case Study,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table10_plan_observability_case_study_v1.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table10_plan_observability_case_study_v1.md,Track B case study,selected_case_study_only,selected_case_only,main,qualitative selected-case observability surface,"speedup/regression/tie selected; failure placeholder requires case-level export",needs method-specific plan extraction node alignment attribution and failure exemplar export,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table10_plan_observability_case_study_v1.csv,Not denominator-complete observability.
