case_id,pool,source_sql_path,corpus_text_available,near_duplicate_checked,near_duplicate_found,closest_manifest_item_id,closest_manifest_path,token_set_jaccard,token_trigram_jaccard,structural_similarity,combined_similarity,attestation_status,blocker_reason
PERF_0006,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0006/source.sql,no,no,blocked,rule_cluster_func_2,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/2.py,0.086538,0.000000,0.707174,0.264571,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0007,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0007/source.sql,no,no,blocked,rule_cluster_func_18,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/18.py,0.068966,0.000000,0.615821,0.228262,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0008,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0008/source.sql,no,no,blocked,rule_cluster_func_2,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/2.py,0.116505,0.000000,0.595736,0.237414,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0013,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0013/source.sql,no,no,blocked,rule_cluster_func_2,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/2.py,0.096491,0.000000,0.611489,0.235994,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0017,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0017/source.sql,no,no,blocked,rule_cluster_func_2,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/2.py,0.095652,0.000000,0.616179,0.237277,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0019,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0019/source.sql,no,no,blocked,rule_cluster_func_15,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/15.py,0.141176,0.000000,0.643446,0.261541,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0024,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0024/source.sql,no,no,blocked,rule_cluster_func_24,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/24.py,0.072000,0.000000,0.602741,0.224914,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0033,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0033/source.sql,no,no,blocked,rule_cluster_func_2,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/2.py,0.117647,0.000000,0.585897,0.234515,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0034,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0034/source.sql,no,no,blocked,rule_cluster_func_22,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/22.py,0.080645,0.000000,0.510445,0.197030,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0035,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0035/source.sql,no,no,blocked,rule_cluster_func_16,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/16.py,0.092437,0.000000,0.605804,0.232747,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
PERF_0052,performance,/home/tianci_gao/code/sql-rewrite-bench/cases/PERF/PERF_0052/source.sql,no,no,blocked,rule_cluster_func_16,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/16.py,0.103093,0.000000,0.569395,0.224162,blocked_corpus_text_unavailable,binary_or_unavailable_text_corpus:/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip
