row_key,case_id,pool,engine,row_status,failure_classification,witness_missing_for_later_execution,generated_sql_exists,log_stdout_exists,log_stderr_exists,row_metadata_exists,claim_boundary
PERF_0006:mysql,PERF_0006,performance,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0006:spark,PERF_0006,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0007:mysql,PERF_0007,performance,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0007:spark,PERF_0007,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0008:mysql,PERF_0008,performance,mysql,hep_rewrite_failed,calcite_sql_to_rel_schema_ingestion_hep_validation_or_rewrite_boundary,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0008:spark,PERF_0008,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0013:mysql,PERF_0013,performance,mysql,hep_rewrite_failed,calcite_sql_to_rel_schema_ingestion_hep_validation_or_rewrite_boundary,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0013:spark,PERF_0013,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0017:mysql,PERF_0017,performance,mysql,hep_rewrite_failed,calcite_sql_to_rel_schema_ingestion_hep_validation_or_rewrite_boundary,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0017:spark,PERF_0017,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0019:mysql,PERF_0019,performance,mysql,hep_rewrite_failed,calcite_sql_to_rel_schema_ingestion_hep_validation_or_rewrite_boundary,false,false,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0019:spark,PERF_0019,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0024:mysql,PERF_0024,performance,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0024:spark,PERF_0024,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0033:mysql,PERF_0033,performance,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0033:spark,PERF_0033,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0034:mysql,PERF_0034,performance,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0034:spark,PERF_0034,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0035:mysql,PERF_0035,performance,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0035:spark,PERF_0035,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0052:mysql,PERF_0052,performance,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0052:spark,PERF_0052,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0054:mysql,PERF_0054,performance,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0054:spark,PERF_0054,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0056:mysql,PERF_0056,performance,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0056:spark,PERF_0056,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0062:mysql,PERF_0062,performance,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0062:spark,PERF_0062,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0077:mysql,PERF_0077,performance,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0077:spark,PERF_0077,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0082:mysql,PERF_0082,performance,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
PERF_0082:spark,PERF_0082,performance,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0005:mysql,CONS_0005,consistency,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0005:spark,CONS_0005,consistency,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0007:mysql,CONS_0007,consistency,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0007:spark,CONS_0007,consistency,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0009:mysql,CONS_0009,consistency,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0009:spark,CONS_0009,consistency,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0010:mysql,CONS_0010,consistency,mysql,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
CONS_0010:spark,CONS_0010,consistency,spark,rewrite_success,,false,true,true,true,true,rewrite_only_not_execution_correctness_timing_speedup_or_leaderboard
