script_or_command_id,script_path,script_type,track,method_or_route,engine_scope,denominator_id,purpose,inputs,outputs,does_run_db,does_call_llm,does_call_verifier,does_compute_metrics,metrics_computed,source_artifact_or_reference,status,notes
cli_common_core_validation,scripts/common_core_v0_validation.py,cli_entrypoint,governance,artifact_validation,all,common_core_v0_40,Validate manifest/schema/case-membership/speedup-eligibility governance for retained Common-core artifacts.,run_event_long/method_case_summary/manifest CSV+JSON; reports/curation/common_core_v0_final_denominator.csv,validation issue payload via CLI; no paper table directly,no,no,no,partial,row membership; attempted-case accounting; speedup eligibility consistency checks,scripts/common_core_v0_validation.py; tests/test_common_core_v0_validation.py; benchmark_spec/COMMON_CORE_V0_EVALUATION_PROTOCOL.md,retained_exact,"Validation logic is retained, but not a table aggregation formula implementation."
cli_route_entrypoints,scripts/cli.py,cli_entrypoint,all,formal-* command families,pg_mysql_spark_plus_support,mixed,"Holds many retained command functions for formal Common-core, PORT, prior-method, support, timing, and plan tasks.",case packages; reports/formal_*; reports/evaluation/common_core_v0/runs/**; environment variables when executed,reports/cli; reports/formal_common_core; reports/formal_expansion; reports/formal_port,yes,yes,yes,yes,runtime medians; speedup_ratio; gm_speedup; win/tie/loss; regression@20; readiness counts; support summaries,scripts/cli.py,retained_partial,"Program contains execution-capable code; this audit inspected only source, did not invoke runners."
denominator_manifest_static,reports/evaluation/common_core_v0/common_core_v0_40_same_engine_120_rerun_manifest_v1.csv,manifest_script,governance,denominator_composition,same_engine_pg_mysql_spark,common_core_v0_40_same_engine_120,Retained 40 x 3 same-engine row manifest; no dedicated regeneration command retained.,case registry and frozen Common-core denominator review artifacts,Track A 120-row denominator manifest,no,no,no,yes,planned_rows; pool/case/engine denominator membership,reports/evaluation/common_core_v0/14_REPRODUCIBILITY_MANIFEST_V1/table_regeneration_commands_v1.md,inferred_from_artifact,"Composition is traceable to retained CSV, not to a dedicated retained generator."
controls_source_positive_negative,reports/evaluation/common_core_v0/runs/controls_v0_manual_pg_mysql_40_01/run_manual_controls_pg_mysql_40.sh|reports/evaluation/common_core_v0/runs/controls_v0_manual_spark_ready36_resolved_01/README.md|reports/evaluation/common_core_v0/runs/controls_v0_fresh_source_positive_01/controls_summary.csv,checker_runner,controls,source_positive_negative_controls,pg_mysql_spark,common_core_v0_40_same_engine_120,"Validate source, human positive, and hard-negative control rows used by guardrail/accounting artifacts.","case-local source/positive/negative SQL, schema, witness data, result_check artifacts",controls_summary.csv; run_event_long.csv; controls_status tables,yes,no,no,yes,control success counts; result-match status; readiness/blocked cells,reports/evaluation/common_core_v0/controls_preflight/*; reports/evaluation/common_core_v0/runs/controls_*,retained_partial,Multiple manual runs compose the retained control layer.
package_hard_negative_closure,reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/run_package_hard_negative_closure.py|reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/run_manual_package_hard_negative_closure.sh,checker_runner,guardrail,package_hard_negative_closure,same_engine_pg_mysql_spark,common_core_v0_40_same_engine_120_hard_negative_rows,Execute retained package hard negatives against retained checker policy and emit denominator/event/summary artifacts.,common_core_v0_40_same_engine_120_rerun_manifest_v1.csv; controls_status_table_v2.csv; case-local negative SQL/schema/witness,hard_negative_denominator_manifest.csv; hard_negative_event_long.csv; package_hard_negative_* freeze CSVs; table4 refresh artifacts,yes,no,no,yes,hard_negative_planned; tested; rejected; false_accept; false_accept_rate; negative_rejection_rate; not_applicable/blocked,reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/run_package_hard_negative_closure.py,retained_exact,Ready for independent recomputation from retained event_long without DB rerun for arithmetic checks.
direct_llm_generation,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/run_direct_llm_generation.py,execution_runner,Track A same-engine,direct_llm_same_engine_rewrite,same_engine_pg_mysql_spark,common_core_v0_40,"Call OpenAI-compatible API once per row, classify output, and write generated SQL.",direct_llm_run_plan.json; direct_llm_prompt_template.md; generation_command_matrix.csv; case source/schema,prompts; raw_responses; generated SQL; run_results.json,no,yes,no,yes,planned_rows; generation_success; format_violation; generation_failed; counts by pool/engine,run_direct_llm_generation.py; route_metadata_manifest_v1.csv,retained_exact,LLM call path retained; not executed in this audit.
direct_llm_execution,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/run_manual_direct_llm_execution.sh,execution_runner,Track A same-engine,direct_llm_same_engine_rewrite,same_engine_pg_mysql_spark,common_core_v0_40_same_engine_120,Execute generated Direct LLM SQL against case packages and check exactness.,generated SQL from direct_llm_same_engine_generation_01; case schema/witness/source; execution_command_matrix.csv,run_results.json; execution artifacts; direct_llm_same_engine_result_card_v1.csv,yes,no,no,yes,ready_rows; executed_rows; exact_match_rows; mismatch; execution_failed,reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv; runs/direct_llm_same_engine_execution_01/README.md,retained_partial,Shell runner retained; exact execution logic may be partly embedded in generated/manual command matrix.
direct_llm_timing,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_01/run_manual_direct_llm_timing.sh|reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,timing_runner,Track A same-engine,direct_llm_same_engine_rewrite,same_engine_pg_mysql_spark,timing_success_94_on_common_core_v0_40_same_engine_120,Collect retained timing for exact Direct LLM rows and resolve retry timing rows.,exact Direct LLM execution outputs; case source/rewrite/schema/witness,timing_event_long.csv; timing_case_summary.csv; table6 speedup rows,yes,no,no,yes,timing_success_rows; median_speedup; gm_speedup; W/T/L; regression_rate_20pct,method_timing_case_level_v1.csv; speedup_slice_summary_v1.csv,retained_partial,Per-row timing artifacts retained; runner script uses DB and was not run.
direct_llm_execute_repair,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/run_direct_llm_execute_repair_1shot.py|reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/run_manual_direct_llm_execute_repair_1shot.sh,execution_runner,Track A feedback route,direct_llm_execute_repair_1shot,same_engine_pg_mysql_spark,common_core_v0_40_same_engine_120,"Use one repair LLM call for repair-ready non-exact rows, execute repaired SQL, and merge final timing summary.",candidate_set_v1.csv; prompt_input_manifest_v1.csv; original generation/execution/timing artifacts; case schema/witness/source,repair_generation_event_long.csv; repair_execution_event_long.csv; repair_timing_event_long.csv; final_timing_summary.csv; result card,yes,yes,no,yes,final_exact_rows; timing_success_rows; gm_speedup; median_speedup; W/T/L; regression_rate_20pct; repair_exact_gain,run_direct_llm_execute_repair_1shot.py lines around summarize_speedups,retained_exact,Formula code for GM and Regression@20 is retained; execution/model paths not run.
sqlglot_generation,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generation_event_long.csv|scripts/cli.py formal/common-core SQLGlot command family,execution_runner,Track A same-engine,sqlglot_optimize_same_dialect;sqlglot_transpile_same_dialect_noop,same_engine_pg_mysql_spark,common_core_v0_40_same_engine_120,Generate or retain SQLGlot route outputs for optimize and same-dialect no-op/transpile routes.,case source SQL; SQLGlot route configuration,generation_event_long.csv; generation_summary.csv; SQLGlot route result cards,no,no,no,yes,generated_or_ready_rows; generation_failed; parse_failed; unsupported/source-like flags,scripts/cli.py; runs/sqlglot_same_engine_generation_01/*; route_metadata_manifest_v1.csv,retained_partial,Exact generator command is less cleanly retained than timing/checker artifacts.
