section_id,table_id,paper_field,resolved_value,insertable_now,source_artifact,denominator_id,track,claim_boundary,notes
8.2,Table 8,total cases,40,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,common_core_v0_40,governance,fixed denominator only,
8.2,Table 8,pool split,PERF:16|CONS:9|PORT:9|LONGTAIL:6,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table1_common_core_composition_v1.csv,common_core_v0_40,governance,fixed denominator only,
8.2,Table 8,same-engine Track A rows,120,yes,reports/evaluation/common_core_v0/common_core_v0_40_same_engine_120_rerun_manifest_v1.csv,common_core_v0_40_same_engine_120,Track A,40 cases x 3 engines only,
8.2,Table 8,source-family split,Calcite:7|JOB/IMDB:2|PARROT:9|SQLStorm:3|Stack Queries:3|TPC-DS:7|TPC-H:7|VeriEQL:2,yes,inventory/case_registry.csv|reports/evaluation/common_core_v0/common_core_v0_40_same_engine_120_rerun_manifest_v1.csv,common_core_v0_40,governance,computed from registry plus frozen common-core manifest,
8.3,Table 9,common-core tagged cases,40/40 tagged; 0 missing,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,common_core_v0_40,Track B taxonomy,case-level tag matrix only,
8.3,Table 9,top tags overall,plan_operator:present:scan:40|plan_operator:present:aggregate:34|plan_operator:present:join:32|plan_operator:present:sort:23|workload_realism:source_inherited:classic_analytical_baseline:16,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/tag_coverage_common_core40_v1.csv,common_core_v0_40,Track B taxonomy,"frequency only, not importance ranking",
8.6,Table 14,planned/tested/blocked package hard negatives,planned:120|tested:111|blocked:9,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_summary_v1.csv,package_hard_negative_120,Track A controls,package hard-negative closure only,
8.6,Table 14,semantic rejections / false accepts,semantic_rejections:111|false_accepts:0,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_rejection_mode_audit_v1.csv,package_hard_negative_111_tested,Track A controls,tested rows are executable semantic mismatches,
8.7,Table 16,Direct LLM exact timed slice,timing_denom:94|gm:1.043634242319266|median:1.009402551073825|reg20_rate:0.03191489361702127,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,direct_llm_exact_timed_94,Track A timing,correctness-gated only,
8.7,Table 16,SQLGlot optimize exact timed slice,timing_denom:63|gm:0.9907164888740984|median:0.9951145947521497|reg20_rate:0.015873015873015872,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,sqlglot_optimize_exact_timed_63,Track A timing,route-separated exact63 only,
8.7,Table 17,selected observability frontier identity,selected PG plan-delta diagnostics retained plus separate failure-side exemplar,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table10_plan_attribution_case_study_v6.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table10_failure_exemplar_selection_v1.csv,selected_pg_attribution_113_frontier,Track B observability,Table 10A and 10B stay separate,
8.8,Table 18,PORT closure status,bounded PORT6 only; full PORT9 not retained; SpeedupTransferRate NA_not_computed,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table8_port_cross_engine_translation_v1.csv,port_bounded_6,Track C,do not rewrite bounded PORT6 as full PORT9,
8.9,Table 19,verifier support status,SQLSolver smoke-only 3/4 support; VeriEQL canary 2-pair verdict split retained,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table9_verifier_support_v1.csv,selected_verifier_support_pairs,Track B support,"verifier support only, not rewrite baselines",
8.10,Table 20,conclusion-evidence map source,paper_claim_matrix_v7 already retains claim/support/forbidden-overclaim layer,yes,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/paper_claim_matrix_v7.csv,claim_matrix_synthesis,paper layer,map conclusions to evidence; do not create new claims,
