row_key,case_id,pool,engine,method_id,route_id,denominator_id,execution_denominator_id,generation_row_status,source_sql_path,generated_sql_path,schema_path,witness_data_path,expected_source_output_path,expected_generated_output_path,expected_result_check_path,expected_stdout_log_path,expected_stderr_log_path,claim_boundary,current_benchmark_metric_evidence,caveat
PERF_0006__pg__r_bot_same_engine_rewrite,PERF_0006,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_pg40,generated_pg15_from_pg40_expansion_only,generated,cases/PERF/PERF_0006/source.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0006/pg/r_bot_same_engine_rewrite.sql,cases/PERF/PERF_0006/schema/ddl_pg.sql,cases/PERF/PERF_0006/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0006/pg/r_bot_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0006/pg/r_bot_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0006/pg/r_bot_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0006__pg__r_bot_same_engine_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0006__pg__r_bot_same_engine_rewrite.stderr.log,formal_generated_pg15_from_pg40_expansion_execution_validity_only_not_timing_speedup_or_leaderboard_evidence,false,generated_row_from_pg40_expansion_only
PERF_0007__pg__r_bot_same_engine_rewrite,PERF_0007,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_pg40,generated_pg15_from_pg40_expansion_only,generated,cases/PERF/PERF_0007/source.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0007/pg/r_bot_same_engine_rewrite.sql,cases/PERF/PERF_0007/schema/ddl_pg.sql,cases/PERF/PERF_0007/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0007/pg/r_bot_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0007/pg/r_bot_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0007/pg/r_bot_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0007__pg__r_bot_same_engine_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0007__pg__r_bot_same_engine_rewrite.stderr.log,formal_generated_pg15_from_pg40_expansion_execution_validity_only_not_timing_speedup_or_leaderboard_evidence,false,generated_row_from_pg40_expansion_only
PERF_0008__pg__r_bot_same_engine_rewrite,PERF_0008,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_pg40,generated_pg15_from_pg40_expansion_only,generated,cases/PERF/PERF_0008/source.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0008/pg/r_bot_same_engine_rewrite.sql,cases/PERF/PERF_0008/schema/ddl_pg.sql,cases/PERF/PERF_0008/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0008/pg/r_bot_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0008/pg/r_bot_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0008/pg/r_bot_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0008__pg__r_bot_same_engine_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0008__pg__r_bot_same_engine_rewrite.stderr.log,formal_generated_pg15_from_pg40_expansion_execution_validity_only_not_timing_speedup_or_leaderboard_evidence,false,generated_row_from_pg40_expansion_only
PERF_0013__pg__r_bot_same_engine_rewrite,PERF_0013,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_pg40,generated_pg15_from_pg40_expansion_only,generated,cases/PERF/PERF_0013/source.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0013/pg/r_bot_same_engine_rewrite.sql,cases/PERF/PERF_0013/schema/ddl_pg.sql,cases/PERF/PERF_0013/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0013/pg/r_bot_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0013/pg/r_bot_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0013/pg/r_bot_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0013__pg__r_bot_same_engine_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0013__pg__r_bot_same_engine_rewrite.stderr.log,formal_generated_pg15_from_pg40_expansion_execution_validity_only_not_timing_speedup_or_leaderboard_evidence,false,generated_row_from_pg40_expansion_only
PERF_0017__pg__r_bot_same_engine_rewrite,PERF_0017,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_pg40,generated_pg15_from_pg40_expansion_only,generated,cases/PERF/PERF_0017/source.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0017/pg/r_bot_same_engine_rewrite.sql,cases/PERF/PERF_0017/schema/ddl_pg.sql,cases/PERF/PERF_0017/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0017/pg/r_bot_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0017/pg/r_bot_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0017/pg/r_bot_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0017__pg__r_bot_same_engine_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0017__pg__r_bot_same_engine_rewrite.stderr.log,formal_generated_pg15_from_pg40_expansion_execution_validity_only_not_timing_speedup_or_leaderboard_evidence,false,generated_row_from_pg40_expansion_only
PERF_0024__pg__r_bot_same_engine_rewrite,PERF_0024,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_pg40,generated_pg15_from_pg40_expansion_only,generated,cases/PERF/PERF_0024/source.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0024/pg/r_bot_same_engine_rewrite.sql,cases/PERF/PERF_0024/schema/ddl_pg.sql,cases/PERF/PERF_0024/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0024/pg/r_bot_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0024/pg/r_bot_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0024/pg/r_bot_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0024__pg__r_bot_same_engine_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0024__pg__r_bot_same_engine_rewrite.stderr.log,formal_generated_pg15_from_pg40_expansion_execution_validity_only_not_timing_speedup_or_leaderboard_evidence,false,generated_row_from_pg40_expansion_only
PERF_0052__pg__r_bot_same_engine_rewrite,PERF_0052,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_pg40,generated_pg15_from_pg40_expansion_only,generated,cases/PERF/PERF_0052/source.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0052/pg/r_bot_same_engine_rewrite.sql,cases/PERF/PERF_0052/schema/ddl_pg.sql,cases/PERF/PERF_0052/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0052/pg/r_bot_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0052/pg/r_bot_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0052/pg/r_bot_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0052__pg__r_bot_same_engine_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0052__pg__r_bot_same_engine_rewrite.stderr.log,formal_generated_pg15_from_pg40_expansion_execution_validity_only_not_timing_speedup_or_leaderboard_evidence,false,generated_row_from_pg40_expansion_only
PERF_0054__pg__r_bot_same_engine_rewrite,PERF_0054,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_pg40,generated_pg15_from_pg40_expansion_only,generated,cases/PERF/PERF_0054/source.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0054/pg/r_bot_same_engine_rewrite.sql,cases/PERF/PERF_0054/schema/ddl_pg.sql,cases/PERF/PERF_0054/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0054/pg/r_bot_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0054/pg/r_bot_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0054/pg/r_bot_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0054__pg__r_bot_same_engine_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0054__pg__r_bot_same_engine_rewrite.stderr.log,formal_generated_pg15_from_pg40_expansion_execution_validity_only_not_timing_speedup_or_leaderboard_evidence,false,generated_row_from_pg40_expansion_only
PERF_0062__pg__r_bot_same_engine_rewrite,PERF_0062,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_pg40,generated_pg15_from_pg40_expansion_only,generated,cases/PERF/PERF_0062/source.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0062/pg/r_bot_same_engine_rewrite.sql,cases/PERF/PERF_0062/schema/ddl_pg.sql,cases/PERF/PERF_0062/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0062/pg/r_bot_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0062/pg/r_bot_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/PERF_0062/pg/r_bot_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0062__pg__r_bot_same_engine_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/perf_0062__pg__r_bot_same_engine_rewrite.stderr.log,formal_generated_pg15_from_pg40_expansion_execution_validity_only_not_timing_speedup_or_leaderboard_evidence,false,generated_row_from_pg40_expansion_only
CONS_0005__pg__r_bot_same_engine_rewrite,CONS_0005,consistency,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_pg40,generated_pg15_from_pg40_expansion_only,generated,cases/CONS/CONS_0005/source.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/CONS_0005/pg/r_bot_same_engine_rewrite.sql,cases/CONS/CONS_0005/schema/ddl_pg.sql,cases/CONS/CONS_0005/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/CONS_0005/pg/r_bot_same_engine_rewrite/source.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/CONS_0005/pg/r_bot_same_engine_rewrite/generated.tsv,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/workspaces/CONS_0005/pg/r_bot_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/cons_0005__pg__r_bot_same_engine_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/r_bot_pg15_execution_expansion_02/logs/cons_0005__pg__r_bot_same_engine_rewrite.stderr.log,formal_generated_pg15_from_pg40_expansion_execution_validity_only_not_timing_speedup_or_leaderboard_evidence,false,generated_row_from_pg40_expansion_only
