row_key,case_id,pool,engine,method_id,route_id,source_generation_denominator_id,pg_expansion_denominator_id,previous_generation_status_class,source_sql_path,schema_path,witness_data_path,expected_generated_sql_path,expected_prompt_path,expected_raw_response_path,expected_selected_rules_path,expected_retrieval_trace_path,expected_token_cost_path,expected_provider_metadata_path,expected_row_metadata_path,generation_status_planned,claim_boundary,blocker_or_caveat
PERF_0006:pg,PERF_0006,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_same_engine_120,common_core_v0_40_pg40,previously_generated_pg7,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/schema/ddl_pg.sql,cases/PERF/PERF_0006/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0006/pg/r_bot_same_engine_rewrite.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/prompts/PERF_0006/pg/prompt.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/raw_responses/PERF_0006/pg/response.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0006/pg/selected_rules.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0006/pg/retrieval_trace.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0006/pg/token_cost.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0006/pg/provider_metadata.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0006/pg/row_run_metadata.json,human_run_pg40_generation_attempt,formal_pg_generation_expansion_only_not_execution_timing_speedup_or_leaderboard_evidence,"Generalized PG-only expansion run; preserve explicit row status and keep prior PG7 evidence unchanged."
PERF_0007:pg,PERF_0007,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_same_engine_120,common_core_v0_40_pg40,previously_blocked_pg31,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/schema/ddl_pg.sql,cases/PERF/PERF_0007/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0007/pg/r_bot_same_engine_rewrite.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/prompts/PERF_0007/pg/prompt.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/raw_responses/PERF_0007/pg/response.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0007/pg/selected_rules.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0007/pg/retrieval_trace.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0007/pg/token_cost.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0007/pg/provider_metadata.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0007/pg/row_run_metadata.json,human_run_pg40_generation_attempt,formal_pg_generation_expansion_only_not_execution_timing_speedup_or_leaderboard_evidence,"Generalized PG-only expansion run; preserve explicit row status and keep prior PG7 evidence unchanged."
PERF_0008:pg,PERF_0008,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_same_engine_120,common_core_v0_40_pg40,previously_generated_pg7,cases/PERF/PERF_0008/source.sql,cases/PERF/PERF_0008/schema/ddl_pg.sql,cases/PERF/PERF_0008/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0008/pg/r_bot_same_engine_rewrite.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/prompts/PERF_0008/pg/prompt.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/raw_responses/PERF_0008/pg/response.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0008/pg/selected_rules.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0008/pg/retrieval_trace.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0008/pg/token_cost.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0008/pg/provider_metadata.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0008/pg/row_run_metadata.json,human_run_pg40_generation_attempt,formal_pg_generation_expansion_only_not_execution_timing_speedup_or_leaderboard_evidence,"Generalized PG-only expansion run; preserve explicit row status and keep prior PG7 evidence unchanged."
PERF_0013:pg,PERF_0013,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_same_engine_120,common_core_v0_40_pg40,previously_generated_pg7,cases/PERF/PERF_0013/source.sql,cases/PERF/PERF_0013/schema/ddl_pg.sql,cases/PERF/PERF_0013/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0013/pg/r_bot_same_engine_rewrite.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/prompts/PERF_0013/pg/prompt.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/raw_responses/PERF_0013/pg/response.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0013/pg/selected_rules.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0013/pg/retrieval_trace.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0013/pg/token_cost.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0013/pg/provider_metadata.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0013/pg/row_run_metadata.json,human_run_pg40_generation_attempt,formal_pg_generation_expansion_only_not_execution_timing_speedup_or_leaderboard_evidence,"Generalized PG-only expansion run; preserve explicit row status and keep prior PG7 evidence unchanged."
PERF_0017:pg,PERF_0017,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_same_engine_120,common_core_v0_40_pg40,previously_generated_pg7,cases/PERF/PERF_0017/source.sql,cases/PERF/PERF_0017/schema/ddl_pg.sql,cases/PERF/PERF_0017/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0017/pg/r_bot_same_engine_rewrite.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/prompts/PERF_0017/pg/prompt.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/raw_responses/PERF_0017/pg/response.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0017/pg/selected_rules.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0017/pg/retrieval_trace.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0017/pg/token_cost.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0017/pg/provider_metadata.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0017/pg/row_run_metadata.json,human_run_pg40_generation_attempt,formal_pg_generation_expansion_only_not_execution_timing_speedup_or_leaderboard_evidence,"Generalized PG-only expansion run; preserve explicit row status and keep prior PG7 evidence unchanged."
PERF_0019:pg,PERF_0019,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_same_engine_120,common_core_v0_40_pg40,previously_failed_pg2,cases/PERF/PERF_0019/source.sql,cases/PERF/PERF_0019/schema/ddl_pg.sql,cases/PERF/PERF_0019/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0019/pg/r_bot_same_engine_rewrite.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/prompts/PERF_0019/pg/prompt.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/raw_responses/PERF_0019/pg/response.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0019/pg/selected_rules.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0019/pg/retrieval_trace.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0019/pg/token_cost.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0019/pg/provider_metadata.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0019/pg/row_run_metadata.json,human_run_pg40_generation_attempt,formal_pg_generation_expansion_only_not_execution_timing_speedup_or_leaderboard_evidence,"Generalized PG-only expansion run; preserve explicit row status and keep prior PG7 evidence unchanged."
PERF_0024:pg,PERF_0024,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_same_engine_120,common_core_v0_40_pg40,previously_generated_pg7,cases/PERF/PERF_0024/source.sql,cases/PERF/PERF_0024/schema/ddl_pg.sql,cases/PERF/PERF_0024/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0024/pg/r_bot_same_engine_rewrite.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/prompts/PERF_0024/pg/prompt.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/raw_responses/PERF_0024/pg/response.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0024/pg/selected_rules.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0024/pg/retrieval_trace.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0024/pg/token_cost.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0024/pg/provider_metadata.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0024/pg/row_run_metadata.json,human_run_pg40_generation_attempt,formal_pg_generation_expansion_only_not_execution_timing_speedup_or_leaderboard_evidence,"Generalized PG-only expansion run; preserve explicit row status and keep prior PG7 evidence unchanged."
PERF_0033:pg,PERF_0033,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_same_engine_120,common_core_v0_40_pg40,previously_failed_pg2,cases/PERF/PERF_0033/source.sql,cases/PERF/PERF_0033/schema/ddl_pg.sql,cases/PERF/PERF_0033/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0033/pg/r_bot_same_engine_rewrite.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/prompts/PERF_0033/pg/prompt.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/raw_responses/PERF_0033/pg/response.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0033/pg/selected_rules.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0033/pg/retrieval_trace.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0033/pg/token_cost.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0033/pg/provider_metadata.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0033/pg/row_run_metadata.json,human_run_pg40_generation_attempt,formal_pg_generation_expansion_only_not_execution_timing_speedup_or_leaderboard_evidence,"Generalized PG-only expansion run; preserve explicit row status and keep prior PG7 evidence unchanged."
PERF_0034:pg,PERF_0034,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_same_engine_120,common_core_v0_40_pg40,previously_blocked_pg31,cases/PERF/PERF_0034/source.sql,cases/PERF/PERF_0034/schema/ddl_pg.sql,cases/PERF/PERF_0034/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0034/pg/r_bot_same_engine_rewrite.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/prompts/PERF_0034/pg/prompt.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/raw_responses/PERF_0034/pg/response.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0034/pg/selected_rules.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0034/pg/retrieval_trace.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0034/pg/token_cost.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0034/pg/provider_metadata.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0034/pg/row_run_metadata.json,human_run_pg40_generation_attempt,formal_pg_generation_expansion_only_not_execution_timing_speedup_or_leaderboard_evidence,"Generalized PG-only expansion run; preserve explicit row status and keep prior PG7 evidence unchanged."
PERF_0035:pg,PERF_0035,performance,pg,r_bot,r_bot_same_engine_rewrite,common_core_v0_40_same_engine_120,common_core_v0_40_pg40,previously_blocked_pg31,cases/PERF/PERF_0035/source.sql,cases/PERF/PERF_0035/schema/ddl_pg.sql,cases/PERF/PERF_0035/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/generated/PERF_0035/pg/r_bot_same_engine_rewrite.sql,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/prompts/PERF_0035/pg/prompt.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/raw_responses/PERF_0035/pg/response.txt,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0035/pg/selected_rules.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/traces/PERF_0035/pg/retrieval_trace.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0035/pg/token_cost.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0035/pg/provider_metadata.json,reports/evaluation/common_core_v0/runs/r_bot_pg40_generation_expansion_02/metadata/PERF_0035/pg/row_run_metadata.json,human_run_pg40_generation_attempt,formal_pg_generation_expansion_only_not_execution_timing_speedup_or_leaderboard_evidence,"Generalized PG-only expansion run; preserve explicit row status and keep prior PG7 evidence unchanged."
