metric_name,metric_layer,current_status,source_artifact,can_report_now,can_use_for_method_ranking,denominator,caveat,next_gap
executable_rate,primary_validity,ready_controls_only,reports/evaluation/common_core_v0/controls_status/common_core_v0_controls_status_table_v2.csv,yes,no,common_core_v0_40,Currently supported only as controls-level benchmark validity coverage across PG/MySQL/Spark; not a method leaderboard signal,Build same-engine method run_event_long and derived leaderboard tables on common_core_v0_40
result_consistency_rate,primary_validity,ready_controls_only,reports/evaluation/common_core_v0/controls_status/common_core_v0_controls_status_table_v2.csv,yes,no,common_core_v0_40,Currently supported only as controls-level source-vs-positive consistency evidence; unsupported PORT native-source rows remain explicit,Build same-engine method result rows and denominator-aware case summaries
negative_rejection_rate,primary_validity,ready_controls_only,reports/evaluation/common_core_v0/controls_status/common_core_v0_controls_status_table_v2.csv,yes,no,common_core_v0_40,Currently supported only as controls-level hard-negative rejection evidence; not a model/method ranking metric by itself,Build method-level negative-control reporting from actual evaluated rewrites
gm_speedup,primary_performance,not_ready,benchmark_spec/COMMON_CORE_V0_EVALUATION_PROTOCOL.md,no,no,common_core_v0_40,Controls packages do not contain runtime measurements or speedup-eligible method rows,Run denominator-complete same-engine method evaluations with runtime capture and speedup eligibility bookkeeping
regression_rate@20%,primary_performance,not_ready,benchmark_spec/COMMON_CORE_V0_EVALUATION_PROTOCOL.md,no,no,common_core_v0_40,No denominator-complete method runtime deltas are materialized yet,Produce same-engine method case summaries with baseline and rewrite runtimes plus regression thresholds
cross_engine_executable_rate,primary_generalization,partial_old_evidence,reports/evaluation/common_core_v0/controls_status/common_core_v0_controls_status_table_v2.csv,no,no,common_core_v0_40,PORT controls provide benchmark-support evidence only and must not be treated as method translation leaderboard output,Materialize port_translation_summary from actual cross-engine method outputs on the frozen denominator
cross_engine_consistency_rate,primary_generalization,partial_old_evidence,reports/evaluation/common_core_v0/controls_status/common_core_v0_controls_status_table_v2.csv,no,no,common_core_v0_40,Existing PORT controls show checker-backed route support but not method translation consistency at leaderboard scope,Run and materialize denominator-aware cross-engine method result artifacts and translation summaries
speedup_transfer_rate,primary_generalization,not_ready,benchmark_spec/reviews/COMMON_CORE_V0_FINAL_FREEZE_REVIEW.md,no,no,common_core_v0_40,Final freeze explicitly forbids claiming SpeedupTransferRate from PORT normalization-caveat controls by default,Collect explicit cross-engine runtime-transfer artifacts and separated normalization-caveat reporting before any claim
verifier_support_rate,verifier_support,not_ready,benchmark_spec/COMMON_CORE_V0_EVALUATION_PROTOCOL.md,no,no,common_core_v0_40,Verifier support must remain separate from same-engine leaderboard reporting and no verifier-support package is materialized here,Create verifier_support_summary from explicit verifier-support runs on the frozen denominator
plan_parse_rate,plan_observability_support,not_ready,benchmark_spec/COMMON_CORE_V0_EVALUATION_PROTOCOL.md,no,no,common_core_v0_40,No Common-core v0 plan-observability package is materialized in the current controls-only evidence set,Run plan collection and publish plan_observability_summary artifacts
node_alignment_coverage,plan_observability_support,not_ready,benchmark_spec/COMMON_CORE_V0_EVALUATION_PROTOCOL.md,no,no,common_core_v0_40,Node alignment support is a separate plan-observability layer and no denominator-complete alignment table is materialized yet,Produce node-alignment artifacts and coverage summaries from plan-observability runs
attribution_coverage,plan_observability_support,not_ready,benchmark_spec/COMMON_CORE_V0_EVALUATION_PROTOCOL.md,no,no,common_core_v0_40,Attribution coverage depends on plan deltas and node alignment artifacts that are not yet packaged for Common-core v0,Produce attribution-ready plan delta outputs and derived support summaries
