run_id,method_id,control_group,pool_scope,denominator_cases,control_events,control_valid_cases,control_failure_cases,control_expected_behavior,control_observed_behavior,notes
controls_v0_manual_spark_canary_04cases_01,controls,native_source,all,4,4,2,2,must_match,skipped=2; success=2,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,native_source,performance,1,1,0,1,must_match,skipped=1,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,native_source,consistency,1,1,1,0,must_match,success=1,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,native_source,portability,1,1,0,1,must_match,skipped=1,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,native_source,longtail,1,1,1,0,must_match,success=1,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,human_positive,all,4,4,3,1,must_match,skipped=1; success=3,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,human_positive,performance,1,1,0,1,must_match,skipped=1,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,human_positive,consistency,1,1,1,0,must_match,success=1,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,human_positive,portability,1,1,1,0,must_match,success=1,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,human_positive,longtail,1,1,1,0,must_match,success=1,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,hard_negative,all,4,4,3,1,must_fail,skipped=1; success=3,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,hard_negative,performance,1,1,0,1,must_fail,skipped=1,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,hard_negative,consistency,1,1,1,0,must_fail,success=1,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,hard_negative,portability,1,1,1,0,must_fail,success=1,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
controls_v0_manual_spark_canary_04cases_01,controls,hard_negative,longtail,1,1,1,0,must_fail,success=1,Derived from run_event_long; manual spark canary subset of common_core_v0_40; missing_script and unsupported rows remain explicit
