case_id,pool,source_family,case_dir,source_sql_path,rewrite_pos_path,rewrite_neg_path,existing_result_check_paths,existing_plan_check_paths,native/source execution command,human positive execution command,hard negative execution command,negative_available,expected_engine_scope,preflight_status,missing_artifacts,caveat
PERF_0006,performance,TPC-H,cases/PERF/PERF_0006,cases/PERF/PERF_0006/source.sql,cases/PERF/PERF_0006/rewrite_pos_01.sql,cases/PERF/PERF_0006/rewrite_neg_01.sql,cases/PERF/PERF_0006/runs/mysql/result_check.json;cases/PERF/PERF_0006/runs/pg/result_check.json;cases/PERF/PERF_0006/runs/result_check.json;cases/PERF/PERF_0006/runs/spark/result_check.json,cases/PERF/PERF_0006/runs/mysql/plans/plan_check.json;cases/PERF/PERF_0006/runs/pg/plans/plan_check.json;cases/PERF/PERF_0006/runs/plan_check.json;cases/PERF/PERF_0006/runs/spark/plans/plan_check.json,bash cases/PERF/PERF_0006/validation/run_pg_validation.sh,bash cases/PERF/PERF_0006/validation/run_pg_plan_collection.sh,bash cases/PERF/PERF_0006/validation/run_pg_validation.sh,yes,pg|mysql|spark,ready_for_controls_dry_run,,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0007,performance,TPC-H,cases/PERF/PERF_0007,cases/PERF/PERF_0007/source.sql,cases/PERF/PERF_0007/rewrite_pos_01.sql,cases/PERF/PERF_0007/rewrite_neg_01.sql,cases/PERF/PERF_0007/runs/mysql/result_check.json;cases/PERF/PERF_0007/runs/pg/result_check.json;cases/PERF/PERF_0007/runs/result_check.json;cases/PERF/PERF_0007/runs/spark/result_check.json,cases/PERF/PERF_0007/runs/mysql/plans/plan_check.json;cases/PERF/PERF_0007/runs/pg/plans/plan_check.json;cases/PERF/PERF_0007/runs/plan_check.json;cases/PERF/PERF_0007/runs/spark/plans/plan_check.json,bash cases/PERF/PERF_0007/validation/run_pg_validation.sh,bash cases/PERF/PERF_0007/validation/run_pg_plan_collection.sh,bash cases/PERF/PERF_0007/validation/run_pg_validation.sh,yes,pg|mysql|spark,ready_for_controls_dry_run,,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0008,performance,TPC-H,cases/PERF/PERF_0008,cases/PERF/PERF_0008/source.sql,cases/PERF/PERF_0008/rewrite_pos_01.sql,cases/PERF/PERF_0008/rewrite_neg_01.sql,cases/PERF/PERF_0008/runs/mysql/result_check.json;cases/PERF/PERF_0008/runs/pg/result_check.json;cases/PERF/PERF_0008/runs/result_check.json;cases/PERF/PERF_0008/runs/spark/result_check.json,cases/PERF/PERF_0008/runs/mysql/plans/plan_check.json;cases/PERF/PERF_0008/runs/pg/plans/plan_check.json;cases/PERF/PERF_0008/runs/plan_check.json;cases/PERF/PERF_0008/runs/spark/plans/plan_check.json,bash cases/PERF/PERF_0008/validation/run_pg_validation.sh,bash cases/PERF/PERF_0008/validation/run_pg_plan_collection.sh,bash cases/PERF/PERF_0008/validation/run_pg_validation.sh,yes,pg|mysql|spark,ready_for_controls_dry_run,,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0013,performance,TPC-H,cases/PERF/PERF_0013,cases/PERF/PERF_0013/source.sql,cases/PERF/PERF_0013/rewrite_pos_01.sql,cases/PERF/PERF_0013/rewrite_neg_01.sql,cases/PERF/PERF_0013/runs/mysql/result_check.json;cases/PERF/PERF_0013/runs/pg/result_check.json;cases/PERF/PERF_0013/runs/result_check.json;cases/PERF/PERF_0013/runs/spark/result_check.json,cases/PERF/PERF_0013/runs/mysql/plans/plan_check.json;cases/PERF/PERF_0013/runs/pg/plans/plan_check.json;cases/PERF/PERF_0013/runs/plan_check.json;cases/PERF/PERF_0013/runs/spark/plans/plan_check.json,bash cases/PERF/PERF_0013/validation/run_pg_validation.sh,bash cases/PERF/PERF_0013/validation/run_pg_plan_collection.sh,bash cases/PERF/PERF_0013/validation/run_pg_validation.sh,yes,pg|mysql|spark,ready_for_controls_dry_run,,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0017,performance,TPC-H,cases/PERF/PERF_0017,cases/PERF/PERF_0017/source.sql,cases/PERF/PERF_0017/rewrite_pos_01.sql,cases/PERF/PERF_0017/rewrite_neg_01.sql,cases/PERF/PERF_0017/runs/mysql/result_check.json;cases/PERF/PERF_0017/runs/pg/result_check.json;cases/PERF/PERF_0017/runs/result_check.json;cases/PERF/PERF_0017/runs/spark/result_check.json,cases/PERF/PERF_0017/runs/mysql/plans/plan_check.json;cases/PERF/PERF_0017/runs/pg/plans/plan_check.json;cases/PERF/PERF_0017/runs/plan_check.json;cases/PERF/PERF_0017/runs/spark/plans/plan_check.json,bash cases/PERF/PERF_0017/validation/run_pg_validation.sh,bash cases/PERF/PERF_0017/validation/run_pg_plan_collection.sh,bash cases/PERF/PERF_0017/validation/run_pg_validation.sh,yes,pg|mysql|spark,ready_for_controls_dry_run,,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0019,performance,TPC-H,cases/PERF/PERF_0019,cases/PERF/PERF_0019/source.sql,cases/PERF/PERF_0019/rewrite_pos_01.sql,cases/PERF/PERF_0019/rewrite_neg_01.sql,cases/PERF/PERF_0019/runs/mysql/result_check.json;cases/PERF/PERF_0019/runs/pg/result_check.json;cases/PERF/PERF_0019/runs/result_check.json;cases/PERF/PERF_0019/runs/spark/result_check.json,cases/PERF/PERF_0019/runs/mysql/plans/plan_check.json;cases/PERF/PERF_0019/runs/pg/plans/plan_check.json;cases/PERF/PERF_0019/runs/plan_check.json;cases/PERF/PERF_0019/runs/spark/plans/plan_check.json,bash cases/PERF/PERF_0019/validation/run_pg_validation.sh,bash cases/PERF/PERF_0019/validation/run_pg_plan_collection.sh,bash cases/PERF/PERF_0019/validation/run_pg_validation.sh,yes,pg|mysql|spark,ready_for_controls_dry_run,,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0024,performance,TPC-H,cases/PERF/PERF_0024,cases/PERF/PERF_0024/source.sql,cases/PERF/PERF_0024/rewrite_pos_01.sql,cases/PERF/PERF_0024/rewrite_neg_01.sql,cases/PERF/PERF_0024/runs/mysql/result_check.json;cases/PERF/PERF_0024/runs/pg/result_check.json;cases/PERF/PERF_0024/runs/result_check.json;cases/PERF/PERF_0024/runs/spark/result_check.json,cases/PERF/PERF_0024/runs/mysql/plans/plan_check.json;cases/PERF/PERF_0024/runs/pg/plans/plan_check.json;cases/PERF/PERF_0024/runs/plan_check.json;cases/PERF/PERF_0024/runs/spark/plans/plan_check.json,bash cases/PERF/PERF_0024/validation/run_pg_validation.sh,bash cases/PERF/PERF_0024/validation/run_pg_plan_collection.sh,bash cases/PERF/PERF_0024/validation/run_pg_validation.sh,yes,pg|mysql|spark,ready_for_controls_dry_run,,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0033,performance,TPC-DS,cases/PERF/PERF_0033,cases/PERF/PERF_0033/source.sql,cases/PERF/PERF_0033/rewrite_pos_01.sql,cases/PERF/PERF_0033/rewrite_neg_01.sql,cases/PERF/PERF_0033/runs/mysql/result_check.json;cases/PERF/PERF_0033/runs/pg/result_check.json;cases/PERF/PERF_0033/runs/result_check.json;cases/PERF/PERF_0033/runs/spark/result_check.json,cases/PERF/PERF_0033/runs/mysql/plans/plan_check.json;cases/PERF/PERF_0033/runs/pg/plans/plan_check.json;cases/PERF/PERF_0033/runs/plan_check.json;cases/PERF/PERF_0033/runs/spark/plans/plan_check.json,bash cases/PERF/PERF_0033/validation/run_pg_validation.sh,bash cases/PERF/PERF_0033/validation/run_pg_plan_collection.sh,bash cases/PERF/PERF_0033/validation/run_pg_validation.sh,yes,pg|mysql|spark,ready_for_controls_dry_run,,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0034,performance,TPC-DS,cases/PERF/PERF_0034,cases/PERF/PERF_0034/source.sql,cases/PERF/PERF_0034/rewrite_pos_01.sql,cases/PERF/PERF_0034/rewrite_neg_01.sql,cases/PERF/PERF_0034/runs/mysql/result_check.json;cases/PERF/PERF_0034/runs/pg/result_check.json;cases/PERF/PERF_0034/runs/result_check.json;cases/PERF/PERF_0034/runs/spark/result_check.json,cases/PERF/PERF_0034/runs/mysql/plans/plan_check.json;cases/PERF/PERF_0034/runs/pg/plans/plan_check.json;cases/PERF/PERF_0034/runs/plan_check.json;cases/PERF/PERF_0034/runs/spark/plans/plan_check.json,bash cases/PERF/PERF_0034/validation/run_pg_validation.sh,bash cases/PERF/PERF_0034/validation/run_pg_plan_collection.sh,bash cases/PERF/PERF_0034/validation/run_pg_validation.sh,yes,pg|mysql|spark,ready_for_controls_dry_run,,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
PERF_0035,performance,TPC-DS,cases/PERF/PERF_0035,cases/PERF/PERF_0035/source.sql,cases/PERF/PERF_0035/rewrite_pos_01.sql,cases/PERF/PERF_0035/rewrite_neg_01.sql,cases/PERF/PERF_0035/runs/mysql/result_check.json;cases/PERF/PERF_0035/runs/pg/result_check.json;cases/PERF/PERF_0035/runs/result_check.json;cases/PERF/PERF_0035/runs/spark/result_check.json,cases/PERF/PERF_0035/runs/mysql/plans/plan_check.json;cases/PERF/PERF_0035/runs/pg/plans/plan_check.json;cases/PERF/PERF_0035/runs/plan_check.json;cases/PERF/PERF_0035/runs/spark/plans/plan_check.json,bash cases/PERF/PERF_0035/validation/run_pg_validation.sh,bash cases/PERF/PERF_0035/validation/run_pg_plan_collection.sh,bash cases/PERF/PERF_0035/validation/run_pg_validation.sh,yes,pg|mysql|spark,ready_for_controls_dry_run,,common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
