repair_row_id,case_id,engine,repaired_sql_artifact,llm_call_success,output_accepted,execution_attempted,exact_match,notes
direct_llm_repair_001,CONS_0024,mysql,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/mysql/direct_llm_execute_repair_1shot.sql,true,true,true,false,exact_match=false; sorted_match=false
direct_llm_repair_002,CONS_0024,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/pg/direct_llm_execute_repair_1shot.sql,true,true,true,false,exact_match=false; sorted_match=false
direct_llm_repair_003,CONS_0024,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/CONS_0024/spark/direct_llm_execute_repair_1shot.sql,true,true,true,false,exact_match=false; sorted_match=false
direct_llm_repair_004,PERF_0007,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PERF_0007/spark/direct_llm_execute_repair_1shot.sql,true,true,true,false,exact_match=false; sorted_match=false
direct_llm_repair_005,PORT_0024,mysql,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0024/mysql/direct_llm_execute_repair_1shot.sql,true,true,true,false,exact_match=false; sorted_match=false; portability stress row
direct_llm_repair_006,LONGTAIL_0023,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/LONGTAIL_0023/pg/direct_llm_execute_repair_1shot.sql,true,true,true,true,alias total_links referenced in WHERE
direct_llm_repair_007,LONGTAIL_0023,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/LONGTAIL_0023/spark/direct_llm_execute_repair_1shot.sql,true,true,true,false,unresolved alias total_links
direct_llm_repair_008,PERF_0019,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PERF_0019/pg/direct_llm_execute_repair_1shot.sql,true,true,true,true,column alias c_count missing in subquery output
direct_llm_repair_009,PERF_0077,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PERF_0077/spark/direct_llm_execute_repair_1shot.sql,true,true,true,false,Spark schema file was draft or comment-only
direct_llm_repair_010,PORT_0004,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0004/spark/direct_llm_execute_repair_1shot.sql,true,true,true,false,Spark schema file was draft or comment-only; portability stress row
direct_llm_repair_011,PORT_0008,mysql,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0008/mysql/direct_llm_execute_repair_1shot.sql,true,true,true,false,PostgreSQL-style quoting and casts sent to MySQL; portability stress row
direct_llm_repair_012,PORT_0008,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0008/spark/direct_llm_execute_repair_1shot.sql,true,true,true,false,Spark ParseException; portability stress row
direct_llm_repair_013,PORT_0012,mysql,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0012/mysql/direct_llm_execute_repair_1shot.sql,true,true,true,false,PostgreSQL-style quoting and casts sent to MySQL; portability stress row
direct_llm_repair_014,PORT_0012,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0012/spark/direct_llm_execute_repair_1shot.sql,true,true,true,false,Spark ParseException; portability stress row
direct_llm_repair_015,PORT_0013,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0013/pg/direct_llm_execute_repair_1shot.sql,true,true,true,false,MySQL-style backticks and DATE_FORMAT or DATETIME usage in PostgreSQL; portability stress row
direct_llm_repair_016,PORT_0013,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0013/spark/direct_llm_execute_repair_1shot.sql,true,true,true,false,Spark ParseException; generation watchlist row; portability stress row
direct_llm_repair_017,PORT_0022,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0022/pg/direct_llm_execute_repair_1shot.sql,true,true,true,false,MySQL-style backticks and DATE_FORMAT or DATETIME usage in PostgreSQL; portability stress row
direct_llm_repair_018,PORT_0022,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0022/spark/direct_llm_execute_repair_1shot.sql,true,true,true,false,Spark ParseException; portability stress row
direct_llm_repair_019,PORT_0024,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0024/pg/direct_llm_execute_repair_1shot.sql,true,true,true,false,MySQL-style backticks in PostgreSQL; portability stress row
direct_llm_repair_020,PORT_0025,pg,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0025/pg/direct_llm_execute_repair_1shot.sql,true,true,true,false,dialect-incompatible syntax in PostgreSQL; portability stress row
direct_llm_repair_021,PORT_0025,spark,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repaired_sql/PORT_0025/spark/direct_llm_execute_repair_1shot.sql,true,true,true,false,unsupported Spark datatype DATETIME; portability stress row
