case_id,pool,engine,negative_applicable,negative_executed,rejected_by_checker,rejection_mode,false_accept,checker_failure,source_artifact,notes
PERF_0006,PERF,pg,yes,yes,yes,executable_semantic_mismatch,no,no,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv,failure_detail=negative rewrite differs from source under retained checker policy
PERF_0006,PERF,mysql,yes,yes,yes,executable_semantic_mismatch,no,no,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv,failure_detail=negative rewrite differs from source under retained checker policy
PERF_0006,PERF,spark,yes,yes,yes,executable_semantic_mismatch,no,no,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv,failure_detail=negative rewrite differs from source under retained checker policy
PERF_0007,PERF,pg,yes,yes,yes,executable_semantic_mismatch,no,no,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv,failure_detail=negative rewrite differs from source under retained checker policy
PERF_0007,PERF,mysql,yes,yes,yes,executable_semantic_mismatch,no,no,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv,failure_detail=negative rewrite differs from source under retained checker policy
PERF_0007,PERF,spark,yes,yes,yes,executable_semantic_mismatch,no,no,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv,failure_detail=negative rewrite differs from source under retained checker policy
PERF_0008,PERF,pg,yes,yes,yes,executable_semantic_mismatch,no,no,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv,failure_detail=negative rewrite differs from source under retained checker policy
PERF_0008,PERF,mysql,yes,yes,yes,executable_semantic_mismatch,no,no,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv,failure_detail=negative rewrite differs from source under retained checker policy
PERF_0008,PERF,spark,yes,yes,yes,executable_semantic_mismatch,no,no,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv,failure_detail=negative rewrite differs from source under retained checker policy
PERF_0013,PERF,pg,yes,yes,yes,executable_semantic_mismatch,no,no,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv,failure_detail=negative rewrite differs from source under retained checker policy
PERF_0013,PERF,mysql,yes,yes,yes,executable_semantic_mismatch,no,no,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv,failure_detail=negative rewrite differs from source under retained checker policy
PERF_0013,PERF,spark,yes,yes,yes,executable_semantic_mismatch,no,no,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/package_hard_negative_closure_event_long_v1.csv,failure_detail=negative rewrite differs from source under retained checker policy
