child_artifact,parent_artifact_or_script,dependency_type,used_for_columns,method_or_route,trace_status,notes
Table 12 rendered values / draft target set,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,copies_from,planned;generated_or_ready;executed;exact;timed;gm_speedup;regression_rate_20pct for main rows,direct_llm;sqlglot;calcite_hep,traceable_to_artifact_chain,Final render absent; draft target values checked against retained artifacts.
Table 12 rendered values / draft target set,reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,validates_against,executed;exact;failure semantics;bounded appendix rows,all routes,traceable_to_artifact_chain,Candidate failure accounting preserves executed != ready semantics.
Table 12 rendered values / draft target set,reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,copies_from,timed;gm_speedup;regression_rate_20pct,timed routes,traceable_to_artifact_chain,Speedup slice summary itself has no dedicated retained generator.
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,missing dedicated table3 regeneration script,missing_generator_for,all Table 12 copied cells,main routes,artifact_only_no_generator_retained,"Git history shows artifact commit, not a generator script."
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,route result cards; table6; run event artifacts,aggregates_from,planned;generated;ready;executed;exact;timing,main routes,traceable_to_artifact_chain,Recursive tracing continues through route cards and timing artifacts.
reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,missing dedicated candidate_failure_accounting regeneration script,missing_generator_for,failure buckets; executed semantics; bounded rows,all routes,artifact_only_no_generator_retained,Round 15A marked no dedicated regeneration command retained.
reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table7_failure_accounting_matrix_v3.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/method_candidate_rejection_accounting_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv,aggregates_from,planned;generated_or_ready;executed;exact;non_exact_frontier;failure buckets,all routes,traceable_to_artifact_chain,
reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,missing dedicated speedup_slice_summary regeneration script,missing_generator_for,timed;gm_speedup;regression_rate_20pct,timed routes,artifact_only_no_generator_retained,Only upstream timing runners and table6 are retained.
reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,copies_from,timing_denominator;gm_speedup;median;W/T/L;Regression@20,timed routes,traceable_to_artifact_chain,
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,computes_from,direct_llm timed;gm;regression,direct_llm_same_engine_rewrite,fully_traceable_to_runner_and_artifact,
reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/final_timing_summary.csv|reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/repair_timing_event_long.csv,computes_from,repair timed;gm;regression,direct_llm_execute_repair_1shot,traceable_to_artifact_chain,Mixed-source timing accepted as retained artifact-only in Round 16.
