artifact_id,artifact_group,path,path_status,present,text_readable,sha256_or_anchor_available,included_for_formal_retrieval,included_for_contamination_check,retention_requirement,availability_effect
llm4rewrite_clone_root,upstream_clone,/tmp/rewritebench_prior_method_audit/LLM4Rewrite,tmp_only,yes,no,no,no,no,pin_remote_and_commit_for_deterministic_rebuild,structural_anchor_only
knowledge_base_root,corpus_root,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base,tmp_only,yes,no,no,no,no,retain_as_inventory_complete_root_with_child_manifest,structural_anchor_only
rule_cluster_summaries,corpus_text,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_summaries_structured.jsonl,tmp_only,yes,yes,yes,yes,yes,retain_in_formal_text_manifest,text_available_but_not_formally_retained
rule_cluster_funcs_files,corpus_text,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs/*.py,tmp_only,yes,yes,yes,yes,yes,retain_all_30_visible_files_in_formal_text_manifest,text_available_but_not_formally_retained
stackoverflow_rewrite_embed_zip,retrieval_archive,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip,tmp_only,yes,no,yes,yes,yes,retain_external_artifact_with_checksum_or_produce_deterministic_text_expansion,formal_contamination_still_blocked
rag_prompts_source,policy_source,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/prompts.py,tmp_only,yes,yes,yes,no,no,retain_as_runtime_policy_anchor,not_a_corpus_text_blocker
rewriter_prompts_source,policy_source,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/my_rewriter/prompts.py,tmp_only,yes,yes,yes,no,no,retain_as_runtime_policy_anchor,not_a_corpus_text_blocker
rewriter_config_source,config_source,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/my_rewriter/config.py,tmp_only,yes,yes,yes,no,no,retain_as_runtime_config_anchor,not_a_corpus_text_blocker
chroma_index_root,index_output,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag/chroma_db,tmp_only,yes,no,no,no,no,rebuild_deterministically_from_pinned_inputs,index_output_not_corpus_text
chroma_anchor_files,index_output,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag/chroma_db/{chroma.sqlite3,index_metadata.pickle,header.bin},tmp_only,yes,no,yes,no,no,rebuild_deterministically_from_pinned_inputs,index_output_not_corpus_text
sqlglot_generated_root,generated_output_source,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated,repo_retained,yes,no,no,no,no,keep_as_exclusion_source_family,available_for_generated_output_exclusion
direct_llm_generated_root,generated_output_source,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated,repo_retained,yes,no,no,no,no,keep_as_exclusion_source_family,available_for_generated_output_exclusion
calcite_expected_generated_root,generated_output_source,reports/evaluation/common_core_v0/runs/calcite_same_engine_generation_01/generated,missing,no,no,no,no,no,correct_path_template_to_actual_calcite_family_root,stale_path_bug_blocks_current_family_row
calcite_actual_generated_root,generated_output_source,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated,repo_retained,yes,no,no,no,no,use_actual_pg40_root_if_this_is_the_family_being_excluded,actual_calcite_generated_outputs_are_present
rbot_pg1_recovery_generated_root,generated_output_source,reports/evaluation/common_core_v0/runs/r_bot_pg1_recovery_canary_01/generated,repo_retained,yes,no,no,no,no,keep_as_exclusion_source_family,available_for_generated_output_exclusion
