case_id,registry_row_present,benchmark_line,dataset_line,admission_status,promotion_status,tri_engine_closure,validated_engines,case_directory_present,manifest_present,source_present,positive_present,negative_present,result_check_present,plan_check_present,top_level_result_check_present,top_level_plan_check_present,engine_local_tri_result_plan_complete,known_mismatch_defer_normalization_caveat,source_family,source_provenance_clarity,tables,coarse_sql_features,diversity_vs_longtail_0022_0023_0024,duplicateish_assessment,duplicate_family,latest_experiment_status,latest_evidence_status,latest_core_suggestion,common_core_review_suitability,suitability_rationale,source_detail,next_gap
LONGTAIL_0011,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,True,True,True,True,True,True,False,False,True,registry not_assessed | human review package quality still open in registry | no case-root runs/result_check.json; engine-local result checks only | no case-root runs/plan_check.json; engine-local plan checks only | review note: wave-02 success,SQLStorm,clear SQLStorm provenance via source_detail and concrete raw query path,maxrank|posts|rankedposts|users,cte|window|group_by|order_by|max|where,adds window/ranking behavior absent from LONGTAIL_0022/0023/0024,low: unique max-rank-per-owner pattern in this candidate set,rankedposts_maxrank_family,已完成主实验,三引擎闭环,非核心扩展,strong_longtail_review_candidate,"best combination of tri-engine completeness, provenance clarity, and non-overlapping feature diversity beyond LONGTAIL_0022/0023/0024",SQLStorm / stackoverflow 6625.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/6625.sql；draft origin LONGTAIL_DRAFT_0012；local SQLStorm candidate promoted to case-local package,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review
LONGTAIL_0012,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,True,True,True,True,True,True,False,False,True,registry not_assessed | human review package quality still open in registry | no case-root runs/result_check.json; engine-local result checks only | no case-root runs/plan_check.json; engine-local plan checks only | review note: repaired after MySQL-open state,SQLStorm,clear SQLStorm provenance via source_detail and concrete raw query path,posts|users|votes,window|left_join|group_by|having|order_by|limit|distinct|case_when|count|sum|avg|max|where,adds Votes-derived signal absent from LONGTAIL_0022/0023/0024 | adds window/ranking behavior absent from LONGTAIL_0022/0023/0024 | adds HAVING-filtered aggregate behavior absent from LONGTAIL_0022/0023/0024 | adds AVG-based scoring aggregation absent from LONGTAIL_0022/0023/0024,low: unique votes subquery plus AVG metrics pattern in this candidate set,votes_subquery_avg_family,已完成主实验,三引擎闭环,非核心扩展,strong_longtail_review_candidate,"best combination of tri-engine completeness, provenance clarity, and non-overlapping feature diversity beyond LONGTAIL_0022/0023/0024",SQLStorm / stackoverflow 7247.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/7247.sql；draft origin LONGTAIL_DRAFT_0013；local SQLStorm candidate promoted to case-local package,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review
LONGTAIL_0013,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,True,True,True,True,True,True,False,False,True,registry not_assessed | human review package quality still open in registry | no case-root runs/result_check.json; engine-local result checks only | no case-root runs/plan_check.json; engine-local plan checks only | review note: repaired after MySQL-open state,SQLStorm,clear SQLStorm provenance via source_detail and concrete raw query path,badges|posts|rankedposts|users|userstats|votes,cte|window|left_join|group_by|having|order_by|distinct|case_when|count|sum|avg|where,adds Votes-derived signal absent from LONGTAIL_0022/0023/0024 | adds Badges-derived signal absent from LONGTAIL_0022/0023/0024 | adds window/ranking behavior absent from LONGTAIL_0022/0023/0024 | adds HAVING-filtered aggregate behavior absent from LONGTAIL_0022/0023/0024 | adds AVG-based scoring aggregation absent from LONGTAIL_0022/0023/0024,moderate: close to sibling in votes/badges/ranked-posts cluster,votes_badges_rankedposts_family,已完成主实验,三引擎闭环,非核心扩展,strong_longtail_review_candidate,"best combination of tri-engine completeness, provenance clarity, and non-overlapping feature diversity beyond LONGTAIL_0022/0023/0024",SQLStorm / stackoverflow 1298.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/1298.sql；draft origin LONGTAIL_DRAFT_0021；local SQLStorm candidate promoted to case-local package,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review
LONGTAIL_0005,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,True,True,True,True,True,True,False,False,True,registry not_assessed | human review package quality still open in registry | no case-root runs/result_check.json; engine-local result checks only | no case-root runs/plan_check.json; engine-local plan checks only | review note: lower-complexity SQLStorm draft,SQLStorm,clear SQLStorm provenance via source_detail and concrete raw query path,posts|users,left_join|group_by|order_by|limit|case_when|count|sum,still differs from LONGTAIL_0022/0023/0024 by focusing on Users/Posts ranking instead of Comments/PostLinks/PostHistory substrate,moderate: simpler aggregate cousin of broader user-post rollup cases,simple_posts_user_aggregate_family,已完成主实验,三引擎闭环,非核心扩展,acceptable_with_manual_review,structurally ready for review-prep but either lower-complexity or more redundant with stronger SQLStorm candidates,SQLStorm / stackoverflow 16141.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/16141.sql；draft origin LONGTAIL_DRAFT_0004；local SQLStorm candidate promoted to case-local package,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review
LONGTAIL_0014,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,True,True,True,True,True,True,False,False,True,registry not_assessed | human review package quality still open in registry | no case-root runs/result_check.json; engine-local result checks only | no case-root runs/plan_check.json; engine-local plan checks only | review note: wave-02 success,SQLStorm,clear SQLStorm provenance via source_detail and concrete raw query path,badges|posts|rankedposts|users|userstats|votes,cte|window|left_join|group_by|having|order_by|distinct|case_when|count|sum|max|where,adds Votes-derived signal absent from LONGTAIL_0022/0023/0024 | adds Badges-derived signal absent from LONGTAIL_0022/0023/0024 | adds window/ranking behavior absent from LONGTAIL_0022/0023/0024 | adds HAVING-filtered aggregate behavior absent from LONGTAIL_0022/0023/0024,moderate: close to sibling in votes/badges/ranked-posts cluster,votes_badges_rankedposts_family,已完成主实验,三引擎闭环,非核心扩展,acceptable_with_manual_review,structurally ready for review-prep but either lower-complexity or more redundant with stronger SQLStorm candidates,SQLStorm / stackoverflow 3369.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/3369.sql；draft origin LONGTAIL_DRAFT_0028；local SQLStorm candidate promoted to case-local package,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review
LONGTAIL_0015,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,True,True,True,True,True,True,False,False,True,registry not_assessed | human review package quality still open in registry | no case-root runs/result_check.json; engine-local result checks only | no case-root runs/plan_check.json; engine-local plan checks only | review note: wave-03 success,SQLStorm,clear SQLStorm provenance via source_detail and concrete raw query path,posts|topusers|users|userstatistics,cte|window|left_join|group_by|order_by|distinct|case_when|count|sum|where,adds window/ranking behavior absent from LONGTAIL_0022/0023/0024,yes: highly duplicate-ish with LONGTAIL_0015/0018/0019/0020/0021 top-users aggregate/rank cluster,top_users_rollup_family,已完成主实验,三引擎闭环,非核心扩展,acceptable_with_manual_review,structurally ready for review-prep but either lower-complexity or more redundant with stronger SQLStorm candidates,SQLStorm / stackoverflow 10979.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/10979.sql；draft origin LONGTAIL_DRAFT_0009；local SQLStorm candidate promoted to case-local package,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review
LONGTAIL_0018,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,True,True,True,True,True,True,False,False,True,registry not_assessed | human review package quality still open in registry | no case-root runs/result_check.json; engine-local result checks only | no case-root runs/plan_check.json; engine-local plan checks only | review note: repaired after MySQL-open state,SQLStorm,clear SQLStorm provenance via source_detail and concrete raw query path,posts|topusers|userpoststats|users,cte|window|left_join|group_by|order_by|distinct|case_when|count|sum|where,adds window/ranking behavior absent from LONGTAIL_0022/0023/0024,yes: highly duplicate-ish with LONGTAIL_0015/0018/0019/0020/0021 top-users aggregate/rank cluster,top_users_rollup_family,已完成主实验,三引擎闭环,非核心扩展,extended_preferred,artifact-complete but too redundant with the top-users SQLStorm family to be a first common-core review pick under a six-case longtail cap,SQLStorm / stackoverflow 11204.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/11204.sql；draft origin LONGTAIL_DRAFT_0017；local SQLStorm candidate promoted to case-local package,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review
LONGTAIL_0019,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,True,True,True,True,True,True,False,False,True,registry not_assessed | human review package quality still open in registry | no case-root runs/result_check.json; engine-local result checks only | no case-root runs/plan_check.json; engine-local plan checks only | review note: wave-03 success,SQLStorm,clear SQLStorm provenance via source_detail and concrete raw query path,posts|topusers|userpostcounts|users,cte|window|left_join|group_by|order_by|distinct|case_when|count|sum|where,adds window/ranking behavior absent from LONGTAIL_0022/0023/0024,yes: highly duplicate-ish with LONGTAIL_0015/0018/0019/0020/0021 top-users aggregate/rank cluster,top_users_rollup_family,已完成主实验,三引擎闭环,非核心扩展,extended_preferred,artifact-complete but too redundant with the top-users SQLStorm family to be a first common-core review pick under a six-case longtail cap,SQLStorm / stackoverflow 11951.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/11951.sql；draft origin LONGTAIL_DRAFT_0020；local SQLStorm candidate promoted to case-local package,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review
LONGTAIL_0020,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,True,True,True,True,True,True,False,False,True,registry not_assessed | human review package quality still open in registry | no case-root runs/result_check.json; engine-local result checks only | no case-root runs/plan_check.json; engine-local plan checks only | review note: wave-04 success,SQLStorm,clear SQLStorm provenance via source_detail and concrete raw query path,posts|topusers|users|userstats,cte|window|left_join|group_by|order_by|distinct|case_when|count|sum|where,adds window/ranking behavior absent from LONGTAIL_0022/0023/0024,yes: highly duplicate-ish with LONGTAIL_0015/0018/0019/0020/0021 top-users aggregate/rank cluster,top_users_rollup_family,已完成主实验,三引擎闭环,非核心扩展,extended_preferred,artifact-complete but too redundant with the top-users SQLStorm family to be a first common-core review pick under a six-case longtail cap,SQLStorm / stackoverflow 11294.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/11294.sql；draft origin LONGTAIL_DRAFT_0018；local SQLStorm candidate promoted to case-local package,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review
LONGTAIL_0021,True,not_assessed,not_assessed,not_assessed,witness_validated,yes,pg|mysql|spark,True,True,True,True,True,True,True,False,False,True,registry not_assessed | human review package quality still open in registry | no case-root runs/result_check.json; engine-local result checks only | no case-root runs/plan_check.json; engine-local plan checks only | review note: repaired after earlier artifact-identity mismatch and MySQL-open state,SQLStorm,clear SQLStorm provenance via source_detail and concrete raw query path,posts|topusers|users|userstats,cte|window|left_join|group_by|order_by|distinct|case_when|count|sum|where,adds window/ranking behavior absent from LONGTAIL_0022/0023/0024,yes: highly duplicate-ish with LONGTAIL_0015/0018/0019/0020/0021 top-users aggregate/rank cluster,top_users_rollup_family,已完成主实验,三引擎闭环,非核心扩展,extended_preferred,artifact-complete but too redundant with the top-users SQLStorm family to be a first common-core review pick under a six-case longtail cap,SQLStorm / stackoverflow 11502.sql；local source datasets/raw/sqlstorm/SQLStorm/v1.0/stackoverflow/queries/11502.sql；draft origin LONGTAIL_DRAFT_0019；local SQLStorm candidate promoted to case-local package,human review package quality；decide whether to keep SQLStorm-derived longtail case and whether to advance toward formal review
