topic,status,finding,evidence,implication,recommended_action
run_status,observed,"actual run attempted but generation failed","run_results.json: actual_run_attempted=true; generation_status=generation_failed; current_benchmark_metric_evidence=false","no benchmark evidence was produced","preserve current_benchmark_metric_evidence=false"
embed_dim_definition,observed,"visible runtime defines EMBED_DIM as 1536 in config.py","/tmp/.../runtime_root/my_rewriter/config.py and runtime_patch_v3/my_rewriter/config.py","EMBED_DIM is a segment width, not the full Chroma collection dimension","do not patch EMBED_DIM to 3172"
index_dimension_3172,observed,"persisted Chroma collection stackoverflow has dimension 3172","python sqlite3 read of /tmp/.../rag_build_openai_like/rag/chroma_db/chroma.sqlite3 and copied runtime DBs","index schema expects a 3172-wide query vector","treat 3172 as collection metadata, not as EMBED_DIM"
index_dimension_arithmetic,inferred,"3172 equals 1536 summary embedding + 100 rule-vector + 1536 template embedding","rag/rag_gen.py formula plus observed 1536 source lengths","index was built under a 100-wide rule-vector contract","surface and freeze the build contract before evidence use"
query_dimension_3139,observed,"failing runtime produced query vector dimension 3139","method_stderr_v2.log: expecting 3172 got 3139","live runtime vector schema differs from persisted collection schema","trace rule-vector width in live query path"
query_dimension_arithmetic,inferred,"3139 equals 1536 query embedding + 67 rule-vector + 1536 template embedding","my_query_fusion_retriver.py formula plus observed len(NL_RULES)=30 and len(NORMAL_RULES)=37","runtime uses a 67-wide rule-vector contract","do not treat current runtime and current index as schema-aligned"
schema_drift,conclusion,"existing index was built with a different retrieval-vector config than the failing runtime","3172 vs 3139; same 1536 base segments; differing 100 vs 67 rule slice","this is a retrieval schema drift, not a simple transient failure","require explicit patch target or deterministic rebuild"
patch_path_exists,observed,"code already contains a retrieval_vector_patch_applied path via --align-rule-vector-dim","scripts/cli.py smoke runner patches rag/my_query_fusion_retriver.py into runtime_patch_v3","there is already an exploratory compatibility path","use only for exploratory smoke and label non-current"
patch_path_semantics,observed,"existing patch pads/truncates rules_one_hot to a target width and does not change EMBED_DIM","scripts/cli.py patched block under align_rule_vector_dim > 0","the practical fix targets rule-vector width, not base embed width","prefer rule-vector alignment over EMBED_DIM mutation"
option_1_rebuild_index,conditional,"rebuild with current runtime schema is technically coherent but not evidence-safe by default","current index is /tmp-only and build contract is not frozen","a rebuild now would create exploratory substrate unless explicitly frozen","allow only after deterministic rebuild target is specified"
option_2_force_query_match,conditional,"forcing query config to match index is acceptable only if it means matching the full retrieval-vector schema","existing patch path aligns rule-vector width to 100","base-model-only changes would be incomplete","if used, pin exact target as rule-vector width 100 and keep exploratory label"
option_3_patch_EMBED_DIM,rejected,"patching EMBED_DIM to 3172 is not the correct fix","EMBED_DIM is 1536; 3172 is total vector width","this would conflate segment width with total collection width","reject"
option_4_reject_tmp_substrate,recommended,"current /tmp substrate is not reproducible enough for evidence use","r_bot_substrate_freeze_manifest_draft.json and run gate keep corpus/index as tmp-only","governance-safe path requires deterministic rebuild or frozen retained substrate","recommend for any future evidence-bearing rerun"
generated_sql_failed_run,observed,"no generated SQL exists for the failed v2 retrieval-mismatch attempt","generated_sql_v2.sql absent; run_results.json generated_sql_copied=false","failed attempt did not produce usable SQL output","do not hand off SQL from failed v2 attempt"
generated_sql_historical,observed,"historical generated SQL exists under v3 from an older patched exploratory run","/tmp/.../generated_sql_v3.sql exists; smoke_result_v3.json says generation_success_with_output_sql","historical exploratory output is visible but non-current","do not reuse as current benchmark evidence"
artifact_meaningfulness,observed,"repo-local selected_rules/retrieval_trace/token_cost artifacts are not meaningful as current failed-run evidence","report artifacts show available=false or only partial cost metadata","current canary artifact set cannot support rule-selection or retrieval interpretation","treat only as failure breadcrumbs, not evidence"
rerun_policy,recommended,"rerun only after patch target is explicit","either align_rule_vector_dim=100 for exploratory smoke or deterministic rebuild/frozen substrate for evidence path","prevents silent dimension changes and benchmark contamination","no rerun until target is explicitly chosen"

