claim_id,claim_text,support_level,supporting_tables,supporting_artifacts,paper_safe_wording,forbidden_overclaim,remaining_gap,notes
claim_01,Benchmark has a unified Common-core v0 paper denominator,strong,"Table 1; Table 3","table1_common_core_composition_v1.csv; paper_table_contract_v1.csv","The paper uses a unified Common-core v0 denominator of 40 cases with a 16/9/9/6 split and a same-engine Track A expansion to 120 rows.","Do not describe the denominator as ad hoc or route-specific.",none,Governance claim only.
claim_02,The paper evaluates emitted statement-level SQL not internal AST-only transformations,strong,"Table 3; Table 8; Table 11","table3_same_engine_method_evidence_v1.csv; table8_port_cross_engine_translation_v1.csv; table11_bounded_pilot_evidence_reuse_v1.csv","Retained evidence is organized around emitted SQL routes and executed statement-level artifacts rather than AST-only transformations.","Do not imply internal AST rewrites were benchmarked directly as outputs.",none,Consistent with route/result-card framing.
claim_03,Correctness must gate performance,strong,"Table 4; Table 6","table4_correctness_guardrail_evidence_v1.csv; table6_performance_on_exact_timed_rows_v2.csv","Performance is reported only after correctness gating, and timing is reported on exact timed subsets.","Do not compare speedup without first checking correctness scope.",none,Core paper rule.
claim_04,Full-denominator correctness differs from generated or executed subset correctness,strong,"Table 3; Table 4; Table 7","table3_same_engine_method_evidence_v1.csv; table4_correctness_guardrail_evidence_v1.csv; table7_failure_accounting_matrix_v1.csv","Generated, executed, and exact-match subsets differ, so denominator-aware correctness must be reported separately from executed-subset summaries.","Do not report executed-subset exactness as if it were full-denominator correctness.",none,Important for Track A interpretation.
claim_05,Direct LLM has the strongest retained Track A same-engine route evidence among current rows but is not a global winner,moderate,"Table 3; Table 6; Table 7","table3_same_engine_method_evidence_v1.csv; table6_performance_on_exact_timed_rows_v2.csv; table7_failure_accounting_matrix_v1.csv","Among retained Track A rows, Direct LLM currently has the strongest same-engine evidence ledger, but this is not a final ranked leaderboard or global winner claim.","Do not claim Direct LLM is the method winner.",Remaining need for full cross-method policy on ranking and broader route closure,Compare only within denominator-aware route framing.
claim_06,SQLGlot routes must remain route-separated,strong,"Table 3; Table 6; Table 7","table3_same_engine_method_evidence_v1.csv; table6_performance_on_exact_timed_rows_v2.csv; table7_failure_accounting_matrix_v1.csv","SQLGlot optimize and SQLGlot same-dialect transpile/no-op are separate routes and should not be collapsed into one same-engine method row.","Do not treat SQLGlot routes as a single fully comparable method row.",Full per-case SQLGlot timing export still missing,The combined 240 row is aggregate diagnostic only.
claim_07,Calcite HEP has a 93/120 fail-closed correctness ledger but no full 120 timing row,strong,"Table 3; Table 7; Table 11","table3_same_engine_method_evidence_v1.csv; table7_failure_accounting_matrix_v1.csv; table11_bounded_pilot_evidence_reuse_v1.csv","Calcite HEP retains a 93/120 fail-closed correctness synthesis, but no full 120 exact timed row is retained.","Do not claim a tri-engine full-denominator timing row for Calcite HEP.",Would need a new exact timed full-denominator packet,PG-only timing appendix exists separately.
claim_08,"R-Bot, LLM-R2, and LearnedRewrite remain bounded appendix prior-method evidence",appendix_only,"Table 11; Table 7","table11_bounded_pilot_evidence_reuse_v1.csv; table7_failure_accounting_matrix_v1.csv","R-Bot, LLM-R2, and LearnedRewrite are retained as bounded prior-method evidence with explicit scope labels.","Do not promote bounded prior-method evidence into the main same-engine table.",Would need new denominator-complete route packets,Bounded is intentional here.
claim_09,Hard-negative controls support a tested-denominator negative guardrail view,strong,"Table 4","table4_correctness_guardrail_evidence_v1.csv; hard_negative_guardrail_summary_v1.csv","Hard-negative controls support a tested-denominator guardrail view with explicit skipped-unsupported rows kept visible.","Do not generalize control-route negative rejection into method-level NegativeRejectionRate.",Method-level hard-negative aggregation remains missing,Control evidence answers a different question.
claim_10,Performance is reported on exact timed subsets only,strong,"Table 6","table6_performance_on_exact_timed_rows_v2.csv; timing_artifact_availability_audit_v1.csv","Speedup is reported only on exact timed subsets with explicit timing denominators.","Do not state full-denominator speedup where only exact timed subsets are retained.",Some rows still aggregate-only on per-case timing,Applies across methods.
claim_11,Some correctness-valid rows regress,strong,"Table 6; Table 10","table6_performance_on_exact_timed_rows_v2.csv; table10_plan_observability_case_study_v1.csv","Even correctness-valid retained rows can regress, so timing evidence should include both gains and slowdowns.","Do not imply correctness-valid rewrites are uniformly faster.",None for bounded statement itself,Direct LLM and R-Bot both show retained regressions.
claim_12,Observability evidence is currently support or selected-case level not full plan attribution,strong,"Table 5; Table 10","table5_observability_plan_artifact_v1.csv; table10_plan_observability_case_study_v1.csv; observability_plan_artifact_audit_v1.csv","Current observability evidence is support-layer or selected case-study only, not denominator-complete plan attribution.","Do not claim full PlanParseRate NodeAlignmentCoverage or AttributionCoverage.",Method-specific plan extraction node alignment and attribution remain missing,Track B boundary.
claim_13,PORT evidence is bounded PORT6 not full PORT9,strong,"Table 8; Table 11","table8_port_cross_engine_translation_v1.csv; portability_translation_artifact_audit_v1.csv; table11_bounded_pilot_evidence_reuse_v1.csv","Current Track C evidence is bounded PORT6 portability evidence rather than full PORT9 closure.","Do not claim full PORT9 completion.",Would need explicit PORT9 or selected frozen subset packet,Track C only.
claim_14,SpeedupTransferRate is not computed,strong,"Table 8; Claim matrix","table8_port_cross_engine_translation_v1.csv; portability_translation_artifact_audit_v1.csv","SpeedupTransferRate is not computed in the retained Track C evidence.","Do not report SpeedupTransferRate.",Would need retained target-engine exact timed transfer evidence,Intentional non-claim.
claim_15,SQLSolver and VeriEQL are verifier support tools not rewrite generators,strong,"Table 9; Table 11","table9_verifier_support_v1.csv; verifier_support_artifact_audit_v1.csv; table11_bounded_pilot_evidence_reuse_v1.csv","SQLSolver and VeriEQL are support-layer tools for SQL-pair reasoning and must not be interpreted as rewrite generators.","Do not compare SQLSolver or VeriEQL to rewrite methods on speedup or same-engine correctness tables.",CONS9 verifier-complete packet not retained,Track B only.
claim_16,No final ranked leaderboard or method winner is claimed,strong,"Claim matrix; Table 3; paper safe note","paper_results_table_index_v1.csv; paper_safe_claims_and_boundaries_v1.md; table3_same_engine_method_evidence_v1.csv","The freeze folder is a denominator-aware evidence ledger and not a final ranked leaderboard.","Do not name a global winner or rank methods by GM speedup.",Would require explicit ranking policy and stronger comparable evidence,Global boundary claim.
