row_key,case_id,pool,engine,row_status,failure_category,failure_reason,blocker_reason,unsupported_reason,generated_sql_exists,prompt_exists,raw_response_exists,selected_rules_exists,retrieval_trace_exists,token_cost_provider_exists,environment_snapshot_exists,row_metadata_exists,artifact_contract_status_ok,generated_sql_empty,markdown_contaminated,non_sql,ddl_or_dml,multi_statement,statement_count,execution_candidate
PERF_0006:pg,PERF_0006,performance,pg,generated,,,,,True,True,True,True,True,True,True,True,True,False,False,False,False,False,1,True
PERF_0006:mysql,PERF_0006,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0006:spark,PERF_0006,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0007:pg,PERF_0007,performance,pg,blocked,,,Recovered committed PG runner currently hard-codes a supported-case subset in scripts/cli.py formal-rbot-llm4rewrite-single-case-smoke-run; keep row explicit and blocked until runner support expands.,,False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0007:mysql,PERF_0007,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0007:spark,PERF_0007,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0008:pg,PERF_0008,performance,pg,generated,,,,,True,True,True,True,True,True,True,True,True,False,False,False,False,False,1,True
PERF_0008:mysql,PERF_0008,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0008:spark,PERF_0008,performance,spark,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
PERF_0013:pg,PERF_0013,performance,pg,generated,,,,,True,True,True,True,True,True,True,True,True,False,False,False,False,False,1,True
PERF_0013:mysql,PERF_0013,performance,mysql,unsupported,,,,"Recovered committed R-Bot runner path is PG-only; same-engine mysql/spark generation path is not recovered in committed CLI and must remain explicit, not dropped.",False,True,True,True,True,True,True,True,True,,,,,,,False
