method_id,route_id,column_name,regenerated_value,retained_value,comparison_status,difference,notes
direct_llm,direct_llm_same_engine_rewrite,method_id,direct_llm,direct_llm,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,route_id,direct_llm_same_engine_rewrite,direct_llm_same_engine_rewrite,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,track,Track A same-engine,Track A same-engine,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,engine_scope,same_engine_pg_mysql_spark,same_engine_pg_mysql_spark,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,denominator_id,timing_success_94_on_common_core_v0_40_same_engine_120,timing_success_94_on_common_core_v0_40_same_engine_120,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,timing_denominator,94,94,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,gm_speedup,1.0436342423192662,1.043634242319266,rounded_match,2.220446049250313e-16,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,median_speedup,1.009402551073825,1.009402551073825,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,win_count,22,22,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,tie_count,67,67,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,loss_count,5,5,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,regression_rate_20pct,0.031914893617021274,0.03191489361702127,rounded_match,6.938893903907228e-18,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,best_case,CONS_0012|pg|1.707530829371433,CONS_0012|pg|1.707530829371433,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,worst_case,PERF_0007|pg|0.6948993689766564,PERF_0007|pg|0.6948993689766564,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,source_artifact,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,claim_boundary,Original Direct LLM exact timed subset only; not full-denominator speedup.,Original Direct LLM exact timed subset only; not full-denominator speedup.,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_same_engine_rewrite,notes,Canonical Section 8.7 route-level timing slice from retained Table 6 only.,Canonical Section 8.7 route-level timing slice from retained Table 6 only.,exact_match,0,Recomputed from retained canonical case-level exact + timing-success rows.
direct_llm,direct_llm_execute_repair_1shot,method_id,direct_llm,direct_llm,artifact_only_match,0,"Artifact-only: full 96-row mixed-source timing summary is retained, but only two repair-specific lower-level timing rows are retained."
direct_llm,direct_llm_execute_repair_1shot,route_id,direct_llm_execute_repair_1shot,direct_llm_execute_repair_1shot,artifact_only_match,0,"Artifact-only: full 96-row mixed-source timing summary is retained, but only two repair-specific lower-level timing rows are retained."
direct_llm,direct_llm_execute_repair_1shot,track,Track A same-engine feedback route,Track A same-engine feedback route,artifact_only_match,0,"Artifact-only: full 96-row mixed-source timing summary is retained, but only two repair-specific lower-level timing rows are retained."
