row_key,pool,engine,current_stage,current_status,root_cause_class,recoverability_bucket,evidence_pointer,proposed_next_action,may_include_in_next_canary,why_or_why_not
CONS_0036:pg,consistency,pg,pg_execution_validity,generation_success | execution_failed | not_checked_execution_failed,identifier_case_rendering_relation_not_found_pg,likely_wrapper_dialect_recoverable,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json,"Investigate PG identifier rendering and quoting policy in the wrapper, then rerun in a later canary after harness-family cleanup.",no,Generated SQL executed against missing quoted relation names despite source-side tables being present in the validation path. Deferred because the proposed canary is capped at 8 rows and prioritizes lower-risk harness/package repairs first.
CONS_0037:pg,consistency,pg,pg_execution_validity,generation_success | execution_failed | not_checked_execution_failed,identifier_case_rendering_relation_not_found_pg,likely_wrapper_dialect_recoverable,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json,"Investigate PG identifier rendering and quoting policy in the wrapper, then rerun in a later canary after harness-family cleanup.",no,Generated SQL executed against missing quoted relation names despite source-side tables being present in the validation path. Deferred because the proposed canary is capped at 8 rows and prioritizes lower-risk harness/package repairs first.
LONGTAIL_0011:pg,longtail,pg,pg_execution_validity,generation_success | execution_failed | not_checked_execution_failed,identifier_case_rendering_relation_not_found_pg,likely_wrapper_dialect_recoverable,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json,"Investigate PG identifier rendering and quoting policy in the wrapper, then rerun in a later canary after harness-family cleanup.",no,Generated SQL executed against missing quoted relation names despite source-side tables being present in the validation path. Deferred because the proposed canary is capped at 8 rows and prioritizes lower-risk harness/package repairs first.
LONGTAIL_0012:mysql,longtail,mysql,non_pg_execution_validity,rewrite_success | executed | mismatch,numeric_format_scale_loss_without_retained_value_change,likely_checker_or_representation_recoverable,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/rewrite_expansion_80_triage.csv|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_expansion_60_triage.csv,Do not patch the exact-match checker silently; only revisit if a separate value-aware comparison policy is explicitly approved.,no,"Retained TSVs suggest representation-only scale differences, but current exact-match semantics are intentionally strict."
LONGTAIL_0012:pg,longtail,pg,pg_execution_validity,generation_success | execution_failed | not_checked_execution_failed,identifier_case_rendering_relation_not_found_pg,likely_wrapper_dialect_recoverable,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json,"Investigate PG identifier rendering and quoting policy in the wrapper, then rerun in a later canary after harness-family cleanup.",no,Generated SQL executed against missing quoted relation names despite source-side tables being present in the validation path. Deferred because the proposed canary is capped at 8 rows and prioritizes lower-risk harness/package repairs first.
LONGTAIL_0012:spark,longtail,spark,non_pg_execution_validity,rewrite_success | executed | mismatch,numeric_format_scale_loss_without_retained_value_change,likely_checker_or_representation_recoverable,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/rewrite_expansion_80_triage.csv|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_expansion_60_triage.csv,Do not patch the exact-match checker silently; only revisit if a separate value-aware comparison policy is explicitly approved.,no,"Retained TSVs suggest representation-only scale differences, but current exact-match semantics are intentionally strict."
LONGTAIL_0013:mysql,longtail,mysql,non_pg_execution_validity,rewrite_success | executed | mismatch,numeric_format_scale_loss_without_retained_value_change,likely_checker_or_representation_recoverable,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/rewrite_expansion_80_triage.csv|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_expansion_60_triage.csv,Do not patch the exact-match checker silently; only revisit if a separate value-aware comparison policy is explicitly approved.,no,"Retained TSVs suggest representation-only scale differences, but current exact-match semantics are intentionally strict."
LONGTAIL_0013:pg,longtail,pg,pg_execution_validity,generation_success | execution_failed | not_checked_execution_failed,identifier_case_rendering_relation_not_found_pg,likely_wrapper_dialect_recoverable,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json,"Investigate PG identifier rendering and quoting policy in the wrapper, then rerun in a later canary after harness-family cleanup.",no,Generated SQL executed against missing quoted relation names despite source-side tables being present in the validation path. Deferred because the proposed canary is capped at 8 rows and prioritizes lower-risk harness/package repairs first.
LONGTAIL_0013:spark,longtail,spark,non_pg_execution_validity,rewrite_success | executed | mismatch,numeric_format_scale_loss_without_retained_value_change,likely_checker_or_representation_recoverable,reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_rewrite_expansion_80_01/rewrite_expansion_80_triage.csv|reports/evaluation/common_core_v0/runs/calcite_hep_mysql_spark_execution_expansion_60_01/execution_expansion_60_triage.csv,Do not patch the exact-match checker silently; only revisit if a separate value-aware comparison policy is explicitly approved.,no,"Retained TSVs suggest representation-only scale differences, but current exact-match semantics are intentionally strict."
LONGTAIL_0022:pg,longtail,pg,pg_generation,generation_failed_unsupported_sql | not_executed_generation_failed | not_checked_generation_failed,ddl_parser_unsupported_timestamp_type_pg,likely_harness_or_packaging_recoverable,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/run_results.json|reports/evaluation/common_core_v0/runs/calcite_hep_pg40_execution_01/run_results.json,"Extend the PG-side canary DDL parser to accept timestamp columns without changing source SQL, then rerun this row.",yes,Retained wrapper output shows source SQL accepted and parse succeeded; blocker is DDL type ingestion only.
