"check_id","status","details"
"required_dir_08_SECTION8_EVIDENCE_FREEZE_V1","pass","found reports/evaluation/common_core_v0/08_SECTION8_EVIDENCE_FREEZE_V1"
"required_dir_09_TAXONOMY_COVERAGE_V1","pass","found reports/evaluation/common_core_v0/09_TAXONOMY_COVERAGE_V1"
"required_dir_10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1","pass","found reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1"
"required_dir_11_TIMING_OBSERVABILITY_V1","pass","found reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1"
"required_dir_12_PORT_VERIFIER_ARTIFACT_MAP_V1","pass","found reports/evaluation/common_core_v0/12_PORT_VERIFIER_ARTIFACT_MAP_V1"
"required_dir_14_REPRODUCIBILITY_MANIFEST_V1","pass","found reports/evaluation/common_core_v0/14_REPRODUCIBILITY_MANIFEST_V1"
"required_dir_15_PROGRAMMATIC_METRIC_AUDIT_V1","pass","found reports/evaluation/common_core_v0/15_PROGRAMMATIC_METRIC_AUDIT_V1"
"required_dir_16_STATIC_RECOMPUTE_AUDIT_V1","pass","found reports/evaluation/common_core_v0/16_STATIC_RECOMPUTE_AUDIT_V1"
"required_dir_17_TABLE12_ULTIMATE_PROVENANCE_V1","pass","found reports/evaluation/common_core_v0/17_TABLE12_ULTIMATE_PROVENANCE_V1"
"table12_renderer_exists","pass","found reports/evaluation/common_core_v0/scripts/render_table12_method_evidence_ledger_v1.py"
"table12_renderer_check","pass","Table 12 regenerated successfully"
"required_dir_18_TABLE12_REGENERATION_V1","pass","found reports/evaluation/common_core_v0/18_TABLE12_REGENERATION_V1"
"static_recompute_file_exists","pass","found reports/evaluation/common_core_v0/16_STATIC_RECOMPUTE_AUDIT_V1/static_recompute_summary_v1.md"
"static_recompute_file_exists","pass","found reports/evaluation/common_core_v0/16_STATIC_RECOMPUTE_AUDIT_V1/static_recompute_results_v1.csv"
"static_recompute_file_exists","pass","found reports/evaluation/common_core_v0/16_STATIC_RECOMPUTE_AUDIT_V1/static_recompute_mismatches_v1.csv"
"static_recompute_mismatches_empty","pass","0 conflict or missing-input rows"
"expected_na_boundaries_present","pass","all expected-NA and scope boundaries present"
"table12_diff_summary","pass","cells_compared=90; exact_match=55; rounded_match=0; expected_NA_match=8; artifact_boundary_match=27; conflicts=0; missing_input=0"
"reviewer_summary_written","pass","wrote reports/evaluation/common_core_v0/REVIEWER_REPRODUCTION_V1/reviewer_reproduction_summary_v1.md"
