run_id,event_id,method_id,method_version,case_id,pool,source_family,task_track,route_id,engine,engine_source,engine_target,git_commit,denominator_id,rewrite_id,rewrite_role,attempt_index,execution_phase,status,failure_bucket,is_denominator_case,is_valid_result,is_speedup_eligible,speedup_exclusion_reason,result_match_status,normalization_policy,baseline_runtime_ms,rewrite_runtime_ms,speedup_ratio,plan_artifact_status,verifier_mode,artifact_path,notes
controls_v0_fresh_source_positive_01,PERF_0006__native_source__pg,controls,fresh_source_positive_01,PERF_0006,performance,TPC-H,control,native_source,pg,,postgresql,6fbe5d8a41367692c2f6ce2cf5c0296d5ec8e009,common_core_v0_40,source,source,1,execute,failed,execution_error,true,false,false,controls_not_speedup_metric,not_checked,none,,,,not_applicable,manual,reports/evaluation/common_core_v0/runs/controls_v0_fresh_source_positive_01/tmp_repo/cases/PERF/PERF_0006/runs/pg/result_check.json,command_failed; stderr_present; fresh_execution; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
controls_v0_fresh_source_positive_01,PERF_0006__human_positive__pg,controls,fresh_source_positive_01,PERF_0006,performance,TPC-H,control,human_positive,pg,,postgresql,6fbe5d8a41367692c2f6ce2cf5c0296d5ec8e009,common_core_v0_40,rewrite_pos_01,positive,1,collect_plan,failed,execution_error,true,false,false,controls_not_speedup_metric,not_checked,none,,,,missing,manual,reports/evaluation/common_core_v0/runs/controls_v0_fresh_source_positive_01/tmp_repo/cases/PERF/PERF_0006/runs/pg/plans/plan_check.json,command_failed; stderr_present; fresh_execution; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
controls_v0_fresh_source_positive_01,PERF_0006__native_source__mysql,controls,fresh_source_positive_01,PERF_0006,performance,TPC-H,control,native_source,mysql,,mysql,6fbe5d8a41367692c2f6ce2cf5c0296d5ec8e009,common_core_v0_40,source,source,1,execute,failed,execution_error,true,false,false,controls_not_speedup_metric,not_checked,none,,,,not_applicable,manual,reports/evaluation/common_core_v0/runs/controls_v0_fresh_source_positive_01/tmp_repo/cases/PERF/PERF_0006/runs/mysql/result_check.json,command_failed; stderr_present; fresh_execution; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
controls_v0_fresh_source_positive_01,PERF_0006__human_positive__mysql,controls,fresh_source_positive_01,PERF_0006,performance,TPC-H,control,human_positive,mysql,,mysql,6fbe5d8a41367692c2f6ce2cf5c0296d5ec8e009,common_core_v0_40,rewrite_pos_01,positive,1,collect_plan,failed,execution_error,true,false,false,controls_not_speedup_metric,not_checked,none,,,,missing,manual,reports/evaluation/common_core_v0/runs/controls_v0_fresh_source_positive_01/tmp_repo/cases/PERF/PERF_0006/runs/mysql/plans/plan_check.json,command_failed; stderr_present; fresh_execution; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
controls_v0_fresh_source_positive_01,PERF_0006__native_source__spark,controls,fresh_source_positive_01,PERF_0006,performance,TPC-H,control,native_source,spark,,spark,6fbe5d8a41367692c2f6ce2cf5c0296d5ec8e009,common_core_v0_40,source,source,1,execute,manual_review_required,unsupported,true,false,false,controls_not_speedup_metric,not_checked,none,,,,not_applicable,manual,reports/evaluation/common_core_v0/runs/controls_v0_fresh_source_positive_01/tmp_repo/cases/PERF/PERF_0006/runs/spark/result_check.json,not_executed; manual_command_review_required; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; no discoverable native/source command for engine
controls_v0_fresh_source_positive_01,PERF_0006__human_positive__spark,controls,fresh_source_positive_01,PERF_0006,performance,TPC-H,control,human_positive,spark,,spark,6fbe5d8a41367692c2f6ce2cf5c0296d5ec8e009,common_core_v0_40,rewrite_pos_01,positive,1,collect_plan,manual_review_required,unsupported,true,false,false,controls_not_speedup_metric,not_checked,none,,,,not_applicable,manual,reports/evaluation/common_core_v0/runs/controls_v0_fresh_source_positive_01/tmp_repo/cases/PERF/PERF_0006/runs/spark/plans/plan_check.json,not_executed; manual_command_review_required; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; no discoverable human-positive command for engine
controls_v0_fresh_source_positive_01,PERF_0007__native_source__pg,controls,fresh_source_positive_01,PERF_0007,performance,TPC-H,control,native_source,pg,,postgresql,6fbe5d8a41367692c2f6ce2cf5c0296d5ec8e009,common_core_v0_40,source,source,1,execute,failed,execution_error,true,false,false,controls_not_speedup_metric,not_checked,none,,,,not_applicable,manual,reports/evaluation/common_core_v0/runs/controls_v0_fresh_source_positive_01/tmp_repo/cases/PERF/PERF_0007/runs/pg/result_check.json,command_failed; stderr_present; fresh_execution; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
controls_v0_fresh_source_positive_01,PERF_0007__human_positive__pg,controls,fresh_source_positive_01,PERF_0007,performance,TPC-H,control,human_positive,pg,,postgresql,6fbe5d8a41367692c2f6ce2cf5c0296d5ec8e009,common_core_v0_40,rewrite_pos_01,positive,1,collect_plan,failed,execution_error,true,false,false,controls_not_speedup_metric,not_checked,none,,,,missing,manual,reports/evaluation/common_core_v0/runs/controls_v0_fresh_source_positive_01/tmp_repo/cases/PERF/PERF_0007/runs/pg/plans/plan_check.json,command_failed; stderr_present; fresh_execution; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
controls_v0_fresh_source_positive_01,PERF_0007__native_source__mysql,controls,fresh_source_positive_01,PERF_0007,performance,TPC-H,control,native_source,mysql,,mysql,6fbe5d8a41367692c2f6ce2cf5c0296d5ec8e009,common_core_v0_40,source,source,1,execute,failed,execution_error,true,false,false,controls_not_speedup_metric,not_checked,none,,,,not_applicable,manual,reports/evaluation/common_core_v0/runs/controls_v0_fresh_source_positive_01/tmp_repo/cases/PERF/PERF_0007/runs/mysql/result_check.json,command_failed; stderr_present; fresh_execution; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
controls_v0_fresh_source_positive_01,PERF_0007__human_positive__mysql,controls,fresh_source_positive_01,PERF_0007,performance,TPC-H,control,human_positive,mysql,,mysql,6fbe5d8a41367692c2f6ce2cf5c0296d5ec8e009,common_core_v0_40,rewrite_pos_01,positive,1,collect_plan,failed,execution_error,true,false,false,controls_not_speedup_metric,not_checked,none,,,,missing,manual,reports/evaluation/common_core_v0/runs/controls_v0_fresh_source_positive_01/tmp_repo/cases/PERF/PERF_0007/runs/mysql/plans/plan_check.json,command_failed; stderr_present; fresh_execution; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate
controls_v0_fresh_source_positive_01,PERF_0007__native_source__spark,controls,fresh_source_positive_01,PERF_0007,performance,TPC-H,control,native_source,spark,,spark,6fbe5d8a41367692c2f6ce2cf5c0296d5ec8e009,common_core_v0_40,source,source,1,execute,manual_review_required,unsupported,true,false,false,controls_not_speedup_metric,not_checked,none,,,,not_applicable,manual,reports/evaluation/common_core_v0/runs/controls_v0_fresh_source_positive_01/tmp_repo/cases/PERF/PERF_0007/runs/spark/result_check.json,not_executed; manual_command_review_required; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; no discoverable native/source command for engine
controls_v0_fresh_source_positive_01,PERF_0007__human_positive__spark,controls,fresh_source_positive_01,PERF_0007,performance,TPC-H,control,human_positive,spark,,spark,6fbe5d8a41367692c2f6ce2cf5c0296d5ec8e009,common_core_v0_40,rewrite_pos_01,positive,1,collect_plan,manual_review_required,unsupported,true,false,false,controls_not_speedup_metric,not_checked,none,,,,not_applicable,manual,reports/evaluation/common_core_v0/runs/controls_v0_fresh_source_positive_01/tmp_repo/cases/PERF/PERF_0007/runs/spark/plans/plan_check.json,not_executed; manual_command_review_required; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; no discoverable human-positive command for engine
