selected_order,candidate_id,case_id,pool,engine,method_id,route_id,outcome_type_hint,retained_speedup,source_sql_artifact,rewrite_sql_artifact,schema_artifact,witness_data_artifact,exact_evidence_artifact,timing_source_artifact,normalized_tags,tag_families_present,selected_status,notes
1,direct_llm__direct_llm_same_engine_rewrite__CONS_0005__pg,CONS_0005,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,1.3344801573324077,cases/CONS/CONS_0005/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0005/pg/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0005/schema/ddl_pg.sql,cases/CONS/CONS_0005/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0005/pg/direct_llm_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|portability:confirmed:null_semantics_gap|rewrite_opportunity:primary:subquery_decorrelation|sql_feature:primary:correlated_subquery,plan_operator|portability|rewrite_opportunity|sql_feature,selected_pg_ready_113,"Original Direct LLM PG exact-timed row with full row-level ledger, route-specific timing, and locatable SQL/schema/result_check artifacts."
2,direct_llm__direct_llm_same_engine_rewrite__CONS_0007__pg,CONS_0007,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,1.3490894909920232,cases/CONS/CONS_0007/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0007/pg/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0007/schema/ddl_pg.sql,cases/CONS/CONS_0007/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0007/pg/direct_llm_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:subquery|rewrite_opportunity:primary:subquery_decorrelation|rewrite_opportunity:secondary:materialization_strategy|sql_feature:primary:correlated_subquery|sql_feature:primary:subquery_in_from,plan_operator|rewrite_opportunity|sql_feature,selected_pg_ready_113,"Original Direct LLM PG exact-timed row with full row-level ledger, route-specific timing, and locatable SQL/schema/result_check artifacts."
3,direct_llm__direct_llm_same_engine_rewrite__CONS_0009__pg,CONS_0009,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,0.9768296382682365,cases/CONS/CONS_0009/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0009/pg/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0009/schema/ddl_pg.sql,cases/CONS/CONS_0009/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0009/pg/direct_llm_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:set_op|plan_operator:present:subquery|portability:suspected:null_semantics_gap|rewrite_opportunity:primary:subquery_decorrelation|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:correlated_subquery|sql_feature:primary:set_operation|sql_feature:secondary:subquery_in_from|workload_realism:case_specific:long_tail_structure,plan_operator|portability|rewrite_opportunity|sql_feature|workload_realism,selected_pg_ready_113,"Original Direct LLM PG exact-timed row with full row-level ledger, route-specific timing, and locatable SQL/schema/result_check artifacts."
4,direct_llm__direct_llm_same_engine_rewrite__CONS_0010__pg,CONS_0010,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,1.0095553260387125,cases/CONS/CONS_0010/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0010/pg/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0010/schema/ddl_pg.sql,cases/CONS/CONS_0010/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0010/pg/direct_llm_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,plan_operator:present:join|plan_operator:present:materialize|plan_operator:present:scan|plan_operator:present:subquery|rewrite_opportunity:primary:subquery_decorrelation|sql_feature:primary:correlated_subquery,plan_operator|rewrite_opportunity|sql_feature,selected_pg_ready_113,"Original Direct LLM PG exact-timed row with full row-level ledger, route-specific timing, and locatable SQL/schema/result_check artifacts."
5,direct_llm__direct_llm_same_engine_rewrite__CONS_0011__pg,CONS_0011,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,0.9890353411176483,cases/CONS/CONS_0011/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0011/pg/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0011/schema/ddl_pg.sql,cases/CONS/CONS_0011/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0011/pg/direct_llm_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:materialize|plan_operator:present:scan|plan_operator:present:subquery|portability:confirmed:null_semantics_gap|rewrite_opportunity:primary:subquery_decorrelation|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:correlated_subquery|sql_feature:primary:outer_join,plan_operator|portability|rewrite_opportunity|sql_feature,selected_pg_ready_113,"Original Direct LLM PG exact-timed row with full row-level ledger, route-specific timing, and locatable SQL/schema/result_check artifacts."
6,direct_llm__direct_llm_same_engine_rewrite__CONS_0012__pg,CONS_0012,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,1.707530829371433,cases/CONS/CONS_0012/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0012/pg/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0012/schema/ddl_pg.sql,cases/CONS/CONS_0012/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0012/pg/direct_llm_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:limit|plan_operator:present:scan|plan_operator:present:subquery|portability:confirmed:limit_fetch_gap|rewrite_opportunity:primary:order_limit_simplification|rewrite_opportunity:secondary:subquery_decorrelation|sql_feature:primary:correlated_subquery,plan_operator|portability|rewrite_opportunity|sql_feature,selected_pg_ready_113,"Original Direct LLM PG exact-timed row with full row-level ledger, route-specific timing, and locatable SQL/schema/result_check artifacts."
7,direct_llm__direct_llm_same_engine_rewrite__CONS_0036__pg,CONS_0036,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,0.9973201347523003,cases/CONS/CONS_0036/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0036/pg/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0036/schema/ddl_pg.sql,cases/CONS/CONS_0036/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0036/pg/direct_llm_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,plan_operator:present:aggregate|plan_operator:present:scan|rewrite_opportunity:primary:aggregation_rewrite|rewrite_opportunity:secondary:predicate_pushdown,plan_operator|rewrite_opportunity,selected_pg_ready_113,"Original Direct LLM PG exact-timed row with full row-level ledger, route-specific timing, and locatable SQL/schema/result_check artifacts."
8,direct_llm__direct_llm_same_engine_rewrite__CONS_0037__pg,CONS_0037,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,regression,0.7249972590579413,cases/CONS/CONS_0037/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/CONS_0037/pg/direct_llm_same_engine_rewrite.sql,cases/CONS/CONS_0037/schema/ddl_pg.sql,cases/CONS/CONS_0037/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/CONS_0037/pg/direct_llm_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|rewrite_opportunity:primary:aggregation_rewrite|sql_feature:primary:outer_join,plan_operator|rewrite_opportunity|sql_feature,selected_pg_ready_113,"Original Direct LLM PG exact-timed row with full row-level ledger, route-specific timing, and locatable SQL/schema/result_check artifacts."
9,direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0011__pg,LONGTAIL_0011,longtail,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,1.3063367784207653,cases/LONGTAIL/LONGTAIL_0011/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/LONGTAIL_0011/pg/direct_llm_same_engine_rewrite.sql,cases/LONGTAIL/LONGTAIL_0011/schema/ddl_pg.sql,cases/LONGTAIL/LONGTAIL_0011/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/LONGTAIL_0011/pg/direct_llm_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|plan_operator:present:window|rewrite_opportunity:primary:expression_simplification|rewrite_opportunity:secondary:cte_strategy|sql_feature:primary:cte|sql_feature:primary:window_function|workload_realism:case_specific:long_tail_structure|workload_realism:source_inherited:realistic_query_style,plan_operator|rewrite_opportunity|sql_feature|workload_realism,selected_pg_ready_113,"Original Direct LLM PG exact-timed row with full row-level ledger, route-specific timing, and locatable SQL/schema/result_check artifacts."
10,direct_llm__direct_llm_same_engine_rewrite__LONGTAIL_0012__pg,LONGTAIL_0012,longtail,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,1.2649151804626548,cases/LONGTAIL/LONGTAIL_0012/source.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_generation_01/generated/LONGTAIL_0012/pg/direct_llm_same_engine_rewrite.sql,cases/LONGTAIL/LONGTAIL_0012/schema/ddl_pg.sql,cases/LONGTAIL/LONGTAIL_0012/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_execution_01/workspaces/LONGTAIL_0012/pg/direct_llm_same_engine_rewrite/result_check.json,reports/evaluation/common_core_v0/runs/direct_llm_same_engine_timing_resolved_01/timing_event_long.csv,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:limit|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|plan_operator:present:window|rewrite_opportunity:primary:materialization_strategy|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:subquery_in_from|sql_feature:primary:window_function|sql_feature:secondary:expression_complexity|sql_feature:secondary:outer_join|workload_realism:case_specific:complex_expression_density|workload_realism:case_specific:result_size_sensitivity|workload_realism:source_inherited:realistic_query_style,plan_operator|rewrite_opportunity|sql_feature|workload_realism,selected_pg_ready_113,"Original Direct LLM PG exact-timed row with full row-level ledger, route-specific timing, and locatable SQL/schema/result_check artifacts."
