case_id,pool,engine,route_id,source_sql_path,generated_sql_path,schema_path,witness_data_path,expected_timing_output_path,expected_log_stdout,expected_log_stderr,expected_workspace_dir,caveat
PERF_0006,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0006/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0006/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0006/schema/ddl_pg.sql,cases/PERF/PERF_0006/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0006/pg/calcite_hep_pg_rewrite.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0006_pg_calcite_hep_pg_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0006_pg_calcite_hep_pg_rewrite.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/workspaces/PERF_0006/pg/calcite_hep_pg_rewrite,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0007,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0007/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0007/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0007/schema/ddl_pg.sql,cases/PERF/PERF_0007/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0007/pg/calcite_hep_pg_rewrite.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0007_pg_calcite_hep_pg_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0007_pg_calcite_hep_pg_rewrite.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/workspaces/PERF_0007/pg/calcite_hep_pg_rewrite,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0008,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0008/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0008/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0008/schema/ddl_pg.sql,cases/PERF/PERF_0008/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0008/pg/calcite_hep_pg_rewrite.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0008_pg_calcite_hep_pg_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0008_pg_calcite_hep_pg_rewrite.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/workspaces/PERF_0008/pg/calcite_hep_pg_rewrite,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0013,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0013/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0013/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0013/schema/ddl_pg.sql,cases/PERF/PERF_0013/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0013/pg/calcite_hep_pg_rewrite.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0013_pg_calcite_hep_pg_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0013_pg_calcite_hep_pg_rewrite.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/workspaces/PERF_0013/pg/calcite_hep_pg_rewrite,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0017,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0017/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0017/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0017/schema/ddl_pg.sql,cases/PERF/PERF_0017/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0017/pg/calcite_hep_pg_rewrite.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0017_pg_calcite_hep_pg_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0017_pg_calcite_hep_pg_rewrite.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/workspaces/PERF_0017/pg/calcite_hep_pg_rewrite,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0019,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0019/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0019/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0019/schema/ddl_pg.sql,cases/PERF/PERF_0019/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0019/pg/calcite_hep_pg_rewrite.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0019_pg_calcite_hep_pg_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0019_pg_calcite_hep_pg_rewrite.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/workspaces/PERF_0019/pg/calcite_hep_pg_rewrite,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0024,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0024/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0024/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0024/schema/ddl_pg.sql,cases/PERF/PERF_0024/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0024/pg/calcite_hep_pg_rewrite.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0024_pg_calcite_hep_pg_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0024_pg_calcite_hep_pg_rewrite.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/workspaces/PERF_0024/pg/calcite_hep_pg_rewrite,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0033,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0033/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0033/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0033/schema/ddl_pg.sql,cases/PERF/PERF_0033/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0033/pg/calcite_hep_pg_rewrite.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0033_pg_calcite_hep_pg_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0033_pg_calcite_hep_pg_rewrite.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/workspaces/PERF_0033/pg/calcite_hep_pg_rewrite,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0034,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0034/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0034/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0034/schema/ddl_pg.sql,cases/PERF/PERF_0034/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0034/pg/calcite_hep_pg_rewrite.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0034_pg_calcite_hep_pg_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0034_pg_calcite_hep_pg_rewrite.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/workspaces/PERF_0034/pg/calcite_hep_pg_rewrite,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
PERF_0052,performance,pg,calcite_hep_pg_rewrite,cases/PERF/PERF_0052/source.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_generation_01/generated/PERF_0052/pg/calcite_hep_pg_rewrite.sql,cases/PERF/PERF_0052/schema/ddl_pg.sql,cases/PERF/PERF_0052/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/timings/PERF_0052/pg/calcite_hep_pg_rewrite.json,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0052_pg_calcite_hep_pg_rewrite.stdout.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/logs/PERF_0052_pg_calcite_hep_pg_rewrite.stderr.log,reports/evaluation/common_core_v0/runs/calcite_hep_pg40_timing_01/workspaces/PERF_0052/pg/calcite_hep_pg_rewrite,manual_case_validation_materialized; common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate; PostgreSQL-only witness validation
