row_id,case_id,engine,validation_model,source_reference_engine,workspace,runnable,block_reason
PERF_0006__pg__rewrite_neg_01,PERF_0006,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0006__pg__rewrite_neg_01,true,
PERF_0006__mysql__rewrite_neg_01,PERF_0006,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0006__mysql__rewrite_neg_01,true,
PERF_0006__spark__rewrite_neg_01,PERF_0006,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0006__spark__rewrite_neg_01,true,
PERF_0007__pg__rewrite_neg_01,PERF_0007,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0007__pg__rewrite_neg_01,true,
PERF_0007__mysql__rewrite_neg_01,PERF_0007,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0007__mysql__rewrite_neg_01,true,
PERF_0007__spark__rewrite_neg_01,PERF_0007,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0007__spark__rewrite_neg_01,true,
PERF_0008__pg__rewrite_neg_01,PERF_0008,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0008__pg__rewrite_neg_01,true,
PERF_0008__mysql__rewrite_neg_01,PERF_0008,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0008__mysql__rewrite_neg_01,true,
PERF_0008__spark__rewrite_neg_01,PERF_0008,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0008__spark__rewrite_neg_01,true,
PERF_0013__pg__rewrite_neg_01,PERF_0013,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0013__pg__rewrite_neg_01,true,
PERF_0013__mysql__rewrite_neg_01,PERF_0013,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0013__mysql__rewrite_neg_01,true,
PERF_0013__spark__rewrite_neg_01,PERF_0013,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0013__spark__rewrite_neg_01,true,
PERF_0017__pg__rewrite_neg_01,PERF_0017,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0017__pg__rewrite_neg_01,true,
PERF_0017__mysql__rewrite_neg_01,PERF_0017,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0017__mysql__rewrite_neg_01,true,
PERF_0017__spark__rewrite_neg_01,PERF_0017,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0017__spark__rewrite_neg_01,true,
PERF_0019__pg__rewrite_neg_01,PERF_0019,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0019__pg__rewrite_neg_01,true,
PERF_0019__mysql__rewrite_neg_01,PERF_0019,mysql,same_engine,mysql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0019__mysql__rewrite_neg_01,true,
PERF_0019__spark__rewrite_neg_01,PERF_0019,spark,same_engine,spark,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0019__spark__rewrite_neg_01,true,
PERF_0024__pg__rewrite_neg_01,PERF_0024,pg,same_engine,pg,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/package_hard_negative_closure_01/workspaces/PERF_0024__pg__rewrite_neg_01,true,
