case_id,pool,source_family,engines_eligible,source_sql_path,expected_input_sql_dialect_if_inferable,sqlglot_optimize_route_eligibility,sqlglot_same_dialect_transpile_noop_route_eligibility,output_path_plan,known_caveat,preflight_status
PERF_0006,performance,TPC-H,"pg,mysql,spark",cases/PERF/PERF_0006/source.sql,tpc_h_manual_frozen_sql_instance,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0006/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,ready_for_same_engine_sqlglot_preflight
PERF_0007,performance,TPC-H,"pg,mysql,spark",cases/PERF/PERF_0007/source.sql,tpc_h_manual_frozen_sql_instance,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0007/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,ready_for_same_engine_sqlglot_preflight
PERF_0008,performance,TPC-H,"pg,mysql,spark",cases/PERF/PERF_0008/source.sql,tpc_h_manual_frozen_sql_instance,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0008/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,ready_for_same_engine_sqlglot_preflight
PERF_0013,performance,TPC-H,"pg,mysql,spark",cases/PERF/PERF_0013/source.sql,tpc_h_manual_frozen_sql_instance,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0013/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,ready_for_same_engine_sqlglot_preflight
PERF_0017,performance,TPC-H,"pg,mysql,spark",cases/PERF/PERF_0017/source.sql,tpc_h_manual_frozen_sql_instance,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0017/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,ready_for_same_engine_sqlglot_preflight
PERF_0019,performance,TPC-H,"pg,mysql,spark",cases/PERF/PERF_0019/source.sql,tpc_h_manual_frozen_sql_instance,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0019/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,ready_for_same_engine_sqlglot_preflight
PERF_0024,performance,TPC-H,"pg,mysql,spark",cases/PERF/PERF_0024/source.sql,case_local_sql_unknown,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0024/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,ready_for_same_engine_sqlglot_preflight
PERF_0033,performance,TPC-DS,"pg,mysql,spark",cases/PERF/PERF_0033/source.sql,postgres_normalized_from_tpcds_ansi,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0033/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,ready_for_same_engine_sqlglot_preflight
PERF_0034,performance,TPC-DS,"pg,mysql,spark",cases/PERF/PERF_0034/source.sql,postgres_normalized_from_tpcds_ansi,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0034/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,ready_for_same_engine_sqlglot_preflight
PERF_0035,performance,TPC-DS,"pg,mysql,spark",cases/PERF/PERF_0035/source.sql,postgres_normalized_from_tpcds_ansi,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0035/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,ready_for_same_engine_sqlglot_preflight
PERF_0052,performance,TPC-DS,"pg,mysql,spark",cases/PERF/PERF_0052/source.sql,postgres_normalized_from_tpcds_ansi,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0052/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,ready_for_same_engine_sqlglot_preflight
PERF_0054,performance,TPC-DS,"pg,mysql,spark",cases/PERF/PERF_0054/source.sql,postgres_normalized_from_tpcds_ansi,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0054/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,ready_for_same_engine_sqlglot_preflight
PERF_0056,performance,TPC-DS,"pg,mysql,spark",cases/PERF/PERF_0056/source.sql,postgres_normalized_from_tpcds_ansi,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0056/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0_candidate retained in review packet; keep as tri-engine template-backed PERF candidate,ready_for_same_engine_sqlglot_preflight
PERF_0062,performance,TPC-DS,"pg,mysql,spark",cases/PERF/PERF_0062/source.sql,postgres_normalized_from_tpcds_ansi,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0062/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",replacement for PERF_0002 in common_core_v0 slate; keep not yet admitted pending final freeze,ready_for_same_engine_sqlglot_preflight
PERF_0077,performance,JOB/IMDB,"pg,mysql,spark",cases/PERF/PERF_0077/source.sql,case_local_sql_unknown,tri_engine_candidate_human_perf_review,tri_engine_candidate_human_perf_review,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0077/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",JOB/IMDB real-schema bridge; human approved for review slate only; taxonomy/status cleanup required before freeze; real-schema bridge PERF case needs human approval framing in leaderboard interpretation,ready_with_human_review_caveat
PERF_0082,performance,JOB/IMDB,"pg,mysql,spark",cases/PERF/PERF_0082/source.sql,case_local_sql_unknown,tri_engine_candidate_human_perf_review,tri_engine_candidate_human_perf_review,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PERF_0082/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",JOB/IMDB real-schema bridge; human approved for review slate only; taxonomy/status cleanup required before freeze; real-schema bridge PERF case needs human approval framing in leaderboard interpretation,ready_with_human_review_caveat
CONS_0005,consistency,Calcite,"pg,mysql,spark",cases/CONS/CONS_0005/source.sql,case_local_sql_unknown,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/CONS_0005/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0 consistency candidate; human review required before freeze,ready_for_same_engine_sqlglot_preflight
CONS_0007,consistency,Calcite,"pg,mysql,spark",cases/CONS/CONS_0007/source.sql,case_local_sql_unknown,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/CONS_0007/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0 consistency candidate; human review required before freeze,ready_for_same_engine_sqlglot_preflight
CONS_0009,consistency,Calcite,"pg,mysql,spark",cases/CONS/CONS_0009/source.sql,case_local_sql_unknown,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/CONS_0009/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0 consistency candidate; human review required before freeze,ready_for_same_engine_sqlglot_preflight
CONS_0010,consistency,Calcite,"pg,mysql,spark",cases/CONS/CONS_0010/source.sql,case_local_sql_unknown,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/CONS_0010/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0 consistency candidate; human review required before freeze,ready_for_same_engine_sqlglot_preflight
CONS_0011,consistency,Calcite,"pg,mysql,spark",cases/CONS/CONS_0011/source.sql,case_local_sql_unknown,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/CONS_0011/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0 consistency candidate; human review required before freeze,ready_for_same_engine_sqlglot_preflight
CONS_0012,consistency,Calcite,"pg,mysql,spark",cases/CONS/CONS_0012/source.sql,case_local_sql_unknown,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/CONS_0012/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0 consistency candidate; human review required before freeze,ready_for_same_engine_sqlglot_preflight
CONS_0024,consistency,Calcite,"pg,mysql,spark",cases/CONS/CONS_0024/source.sql,case_local_sql_unknown,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/CONS_0024/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",replacement for CONS_0001; human-reviewed consistency candidate; keep not yet admitted until final freeze,ready_for_same_engine_sqlglot_preflight
CONS_0036,consistency,VeriEQL,"pg,mysql,spark",cases/CONS/CONS_0036/source.sql,case_local_sql_unknown,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/CONS_0036/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0 consistency candidate; human review required before freeze,ready_for_same_engine_sqlglot_preflight
CONS_0037,consistency,VeriEQL,"pg,mysql,spark",cases/CONS/CONS_0037/source.sql,case_local_sql_unknown,tri_engine_candidate,tri_engine_candidate,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/CONS_0037/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}",common_core_v0 consistency candidate; human review required before freeze,ready_for_same_engine_sqlglot_preflight
PORT_0003,portability,PARROT,"pg,mysql,spark",cases/PORT/PORT_0003/source.sql,postgres_like_candidate,pg_ready_mysql_spark_manual_review,pg_ready_mysql_spark_manual_review,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PORT_0003/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}","common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark",needs_port_route_review
PORT_0004,portability,PARROT,"pg,mysql,spark",cases/PORT/PORT_0004/source.sql,mysql_like_candidate,pg_ready_mysql_spark_manual_review,pg_ready_mysql_spark_manual_review,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PORT_0004/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}","common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on pg,spark",needs_port_route_review
PORT_0005,portability,PARROT,"pg,mysql,spark",cases/PORT/PORT_0005/source.sql,postgres_like_candidate,pg_ready_mysql_spark_manual_review,pg_ready_mysql_spark_manual_review,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PORT_0005/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}","common_core_v0 portability stress candidate; final reporting must separate execution and consistency policy; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark",needs_port_route_review
PORT_0008,portability,PARROT,"pg,mysql,spark",cases/PORT/PORT_0008/source.sql,postgres_like_candidate,pg_ready_mysql_spark_manual_review,pg_ready_mysql_spark_manual_review,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PORT_0008/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}","replacement for PORT_0002; human-reviewed portability candidate; keep not yet admitted until final freeze; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark",needs_port_route_review
PORT_0012,portability,PARROT,"pg,mysql,spark",cases/PORT/PORT_0012/source.sql,postgres_like_candidate,pg_ready_mysql_spark_manual_review,pg_ready_mysql_spark_manual_review,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PORT_0012/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}","portability stress candidate; normalization caveat; human approved for review slate only; do not overclaim SpeedupTransferRate; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on mysql,spark",needs_port_route_review
PORT_0013,portability,PARROT,"pg,mysql,spark",cases/PORT/PORT_0013/source.sql,mysql_like_candidate,pg_ready_mysql_spark_manual_review,pg_ready_mysql_spark_manual_review,"reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/generated/PORT_0013/<engine>/<route_id>.sql and reports/evaluation/common_core_v0/runs/sqlglot_same_engine_01/{run_manifest.json,run_event_long.csv,method_case_summary.csv,same_engine_leaderboard.csv,validation_report.json}","portability stress candidate; normalization caveat; human approved for review slate only; do not overclaim SpeedupTransferRate; controls keep mysql/spark native_source explicit as skipped_unsupported for same-engine accounting; native_source controls unsupported on pg,spark",needs_port_route_review
