substrate_item,category,path_or_identifier,present,identity_or_version,checksum_or_hash,provenance_status,freeze_status,source_evidence,note
LLM4Rewrite_clone,upstream_clone,/tmp/rewritebench_prior_method_audit/LLM4Rewrite,yes,commit=c9c90e5d7867888c3aaba86e4fc9e6d48f53b375 remote=https://github.com/curtis-sun/LLM4Rewrite,,tmp_only_identified,not_frozen_current_evidence,read_only_git_probe,Identifiable but retained only in /tmp
knowledge_base_root,knowledge_base,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base,yes,,,"tmp_only_identified",not_frozen_current_evidence,filesystem_probe,Directory present
rule_cluster_summaries,knowledge_base,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_summaries_structured.jsonl,yes,,039823a6b5e87476dfc7a7be1cc9ac1bbeed31ec8972ceaa72364c1a56a03b5d,tmp_only_hashed,not_frozen_current_evidence,sha256_probe,Key retrieval corpus metadata file
rule_cluster_funcs,knowledge_base,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/knowledge-base/rule_cluster_funcs,yes,file_count=30,,tmp_only_identified,not_frozen_current_evidence,filesystem_probe,Only count and sample listing captured
retrieval_archive,retrieval_archive,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/stackoverflow-rewrite-embed.zip,yes,size=71610403,e7e68b08a4283467f899f05a3150c485e2bf615ccdde4f4ab76e0f08734e546a,tmp_only_hashed,not_frozen_current_evidence,sha256_probe,Archive identity is strong enough for draft manifest
prompt_file_rag,prompt_policy_source,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/rag/prompts.py,yes,,5d512e0ce872f9818731ef36afa997f50d762af2b40cf54e3f2897f0ee83a8fd,tmp_only_hashed,policy_not_frozen,sha256_probe,File identity present but policy not frozen
prompt_file_rewriter,prompt_policy_source,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/my_rewriter/prompts.py,yes,,8343c81948836589d4b21c76e82bdc7d2e448afb57ca416805a87b054a0e3999,tmp_only_hashed,policy_not_frozen,sha256_probe,File identity present but policy not frozen
config_file,config_source,/tmp/rewritebench_prior_method_audit/LLM4Rewrite/my_rewriter/config.py,yes,,0440f9dfe5b7ee00f276f9edb3b8b776da5ada21829db2eafc5b7d1aa0bf98d8,tmp_only_hashed,policy_not_frozen,sha256_probe,Config file identity present
chroma_index_dir,rag_index,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag/chroma_db,yes,size=204M,,tmp_only_identified,not_frozen_current_evidence,filesystem_probe,Directory present with persistent Chroma contents
chroma_sqlite,rag_index_anchor,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag/chroma_db/chroma.sqlite3,yes,,50d5c588aaae41b3f0d26b7f53b1546bde30632765efaa0a428d9118236392d5,tmp_only_hashed,not_frozen_current_evidence,sha256_probe,Anchor file hash captured
chroma_index_metadata,rag_index_anchor,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag/chroma_db/cbe4ef38-1d2b-4a34-87de-2028505d6c1c/index_metadata.pickle,yes,,aa39371d0b6c369442bebb8df4b4fca759d6b5abd1a58a2f84b29dd1d61a84d4,tmp_only_hashed,not_frozen_current_evidence,sha256_probe,Anchor file hash captured
chroma_header,rag_index_anchor,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag/chroma_db/cbe4ef38-1d2b-4a34-87de-2028505d6c1c/header.bin,yes,,56ac6fd6e2797ab645da45c1904068a760d15d62e298a4307443b2cad56cbffa,tmp_only_hashed,not_frozen_current_evidence,sha256_probe,Anchor file hash captured
rag_build_log,rag_index_provenance,/tmp/rewritebench_rbot_llm4rewrite_rag_build_openai_like/rag_gen_build.log,yes,exit_code=0,,tmp_only_documented,not_frozen_current_evidence,build_log_probe,Shows build completion but not current-evidence retention
smoke_venv,execution_env,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,yes,python_venv_present,,tmp_only_identified,not_frozen_current_evidence,filesystem_probe,Execution substrate exists in tmp
smoke_requirements,execution_env,/tmp/rewritebench_rbot_llm4rewrite_requirements_smoke.txt,yes,,7c944dc6c40904d97e580890d907eea28bddc1615371659441d740a902d9a9c0,tmp_only_hashed,not_frozen_current_evidence,sha256_probe,Temporary smoke requirements file
smoke_venv_package_snapshot,execution_env,/tmp/rewritebench_rbot_llm4rewrite_venv_smoke,yes,pip_freeze_available,,tmp_only_documented,not_frozen_current_evidence,read_only_pip_freeze,Package snapshot exists but not yet retained under benchmark run package
demo_selection_policy,policy,not_yet_materialized,no,not_frozen,,missing_policy,blocked,recovery_policy_freeze_plan.md,Checksummed prompt files are not equivalent to frozen policy
contamination_guard,policy,not_yet_materialized,no,not_available,,missing_policy,blocked,recovery_policy_freeze_plan.md,No attestation file exists yet
generated_sql_contract,artifact_contract,reports/evaluation/common_core_v0/runs/r_bot_pg1_recovery_canary_01/generated/PERF_0006/pg/r_bot_pg_rewrite.sql,planned,package_path_declared,,repo_path_declared,not_frozen_current_evidence,run_results.json,Path exists as contract only not as produced current artifact
selected_rules_contract,artifact_contract,selected_rules.json,planned,required_for_actual_run,,contract_only,blocked,recovery_policy_freeze_plan.md,Exact retained package path still needs freeze
retrieval_trace_contract,artifact_contract,retrieval_trace.json,planned,required_for_actual_run,,contract_only,blocked,recovery_policy_freeze_plan.md,Exact retained package path still needs freeze
token_cost_log_contract,artifact_contract,token_cost_log.json,planned,required_for_actual_run,,contract_only,blocked,recovery_policy_freeze_plan.md,Must log endpoint/model without secrets if actual run occurs
openai_endpoint_logging,run_gate,not_yet_materialized,no,api_key_hidden_endpoint_not_logged,,missing_gate,blocked,user_request_and_run_gate,Actual run must log provider/base_url/model without exposing secret
