candidate_id,case_id,pool,engine,method_id,route_id,outcome_type_hint,plan_side,plan_artifact,normalized_tags,tag_families_present,plan_parse_success,feature_parse_success,root_node_type,node_count,scan_node_count,join_node_count,aggregate_node_count,sort_node_count,materialize_node_count,planning_time_ms,execution_time_ms,total_actual_time_root_ms,total_shared_blks_hit,total_shared_blks_read,total_shared_blks_dirtied,total_shared_blks_written,root_plan_rows,root_actual_rows,root_total_cost,max_row_estimate_error_node_type,max_row_estimate_error_ratio,main_operator_families,scan_types,join_types,aggregate_types,sort_types,materialize_types
direct_llm__direct_llm_same_engine_rewrite__CONS_0005__pg,CONS_0005,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0005__pg/source_plan.json,plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|portability:confirmed:null_semantics_gap|rewrite_opportunity:primary:subquery_decorrelation|sql_feature:primary:correlated_subquery,plan_operator|portability|rewrite_opportunity|sql_feature,true,true,Seq Scan,2,2,0,0,0,0,0.301,0.079,0.028,5,0,0,0,1130,0,43291.830000000001746,Seq Scan,1130,scan,Seq Scan,,,,
direct_llm__direct_llm_same_engine_rewrite__CONS_0005__pg,CONS_0005,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0005__pg/rewrite_plan.json,plan_operator:present:join|plan_operator:present:scan|plan_operator:present:sort|plan_operator:present:subquery|portability:confirmed:null_semantics_gap|rewrite_opportunity:primary:subquery_decorrelation|sql_feature:primary:correlated_subquery,plan_operator|portability|rewrite_opportunity|sql_feature,true,true,Seq Scan,2,2,0,0,0,0,0.29,0.068,0.021,5,0,0,0,1130,0,43291.830000000001746,Seq Scan,1130,scan,Seq Scan,,,,
direct_llm__direct_llm_same_engine_rewrite__CONS_0007__pg,CONS_0007,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0007__pg/source_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:subquery|rewrite_opportunity:primary:subquery_decorrelation|rewrite_opportunity:secondary:materialization_strategy|sql_feature:primary:correlated_subquery|sql_feature:primary:subquery_in_from,plan_operator|rewrite_opportunity|sql_feature,true,true,Seq Scan,2,2,0,0,0,0,0.274,0.101,0.031,13,0,0,0,295,2,3723.070000000000164,Seq Scan,147.5,scan,Seq Scan,,,,
direct_llm__direct_llm_same_engine_rewrite__CONS_0007__pg,CONS_0007,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,speedup,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0007__pg/rewrite_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:subquery|rewrite_opportunity:primary:subquery_decorrelation|rewrite_opportunity:secondary:materialization_strategy|sql_feature:primary:correlated_subquery|sql_feature:primary:subquery_in_from,plan_operator|rewrite_opportunity|sql_feature,true,true,Hash Join,4,2,1,0,0,0,0.399,0.059,0.033,5,0,0,0,295,2,50.640000000000001,Hash Join,147.5,"scan,join,other",Seq Scan,Hash Join,,,
direct_llm__direct_llm_same_engine_rewrite__CONS_0009__pg,CONS_0009,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0009__pg/source_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:set_op|plan_operator:present:subquery|portability:suspected:null_semantics_gap|rewrite_opportunity:primary:subquery_decorrelation|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:correlated_subquery|sql_feature:primary:set_operation|sql_feature:secondary:subquery_in_from|workload_realism:case_specific:long_tail_structure,plan_operator|portability|rewrite_opportunity|sql_feature|workload_realism,true,true,Seq Scan,5,3,0,1,0,0,0.398,0.113,0.045,17,0,0,0,753,1,160859.850000000005821,Seq Scan,753,"scan,aggregate,other",Seq Scan,,Aggregate,,
direct_llm__direct_llm_same_engine_rewrite__CONS_0009__pg,CONS_0009,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0009__pg/rewrite_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:scan|plan_operator:present:set_op|plan_operator:present:subquery|portability:suspected:null_semantics_gap|rewrite_opportunity:primary:subquery_decorrelation|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:correlated_subquery|sql_feature:primary:set_operation|sql_feature:secondary:subquery_in_from|workload_realism:case_specific:long_tail_structure,plan_operator|portability|rewrite_opportunity|sql_feature|workload_realism,true,true,Seq Scan,5,3,0,1,0,0,0.366,0.099,0.038,17,0,0,0,753,1,160859.850000000005821,Seq Scan,753,"scan,aggregate,other",Seq Scan,,Aggregate,,
direct_llm__direct_llm_same_engine_rewrite__CONS_0010__pg,CONS_0010,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0010__pg/source_plan.json,plan_operator:present:join|plan_operator:present:materialize|plan_operator:present:scan|plan_operator:present:subquery|rewrite_opportunity:primary:subquery_decorrelation|sql_feature:primary:correlated_subquery,plan_operator|rewrite_opportunity|sql_feature,true,true,Seq Scan,5,3,1,0,0,1,0.343,0.073,0.045,21,0,0,0,170,2,2534.070000000000164,Seq Scan,85,"scan,join,materialize",Seq Scan,Nested Loop,,,Materialize
direct_llm__direct_llm_same_engine_rewrite__CONS_0010__pg,CONS_0010,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0010__pg/rewrite_plan.json,plan_operator:present:join|plan_operator:present:materialize|plan_operator:present:scan|plan_operator:present:subquery|rewrite_opportunity:primary:subquery_decorrelation|sql_feature:primary:correlated_subquery,plan_operator|rewrite_opportunity|sql_feature,true,true,Seq Scan,5,3,1,0,0,1,0.352,0.07,0.04,21,0,0,0,170,2,2534.070000000000164,Seq Scan,85,"scan,join,materialize",Seq Scan,Nested Loop,,,Materialize
direct_llm__direct_llm_same_engine_rewrite__CONS_0011__pg,CONS_0011,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,source,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0011__pg/source_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:materialize|plan_operator:present:scan|plan_operator:present:subquery|portability:confirmed:null_semantics_gap|rewrite_opportunity:primary:subquery_decorrelation|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:correlated_subquery|sql_feature:primary:outer_join,plan_operator|portability|rewrite_opportunity|sql_feature,true,true,Seq Scan,5,3,1,0,0,1,0.452,0.068,0.041,15,0,0,0,170,2,47.659999999999997,Nested Loop,406,"scan,join,materialize",Seq Scan,Nested Loop,,,Materialize
direct_llm__direct_llm_same_engine_rewrite__CONS_0011__pg,CONS_0011,consistency,pg,direct_llm,direct_llm_same_engine_rewrite,neutral,rewrite,reports/evaluation/common_core_v0/runs/pg_plan_attribution_113_01/workspaces/direct_llm__direct_llm_same_engine_rewrite__CONS_0011__pg/rewrite_plan.json,plan_operator:present:aggregate|plan_operator:present:join|plan_operator:present:materialize|plan_operator:present:scan|plan_operator:present:subquery|portability:confirmed:null_semantics_gap|rewrite_opportunity:primary:subquery_decorrelation|rewrite_opportunity:secondary:aggregation_rewrite|sql_feature:primary:correlated_subquery|sql_feature:primary:outer_join,plan_operator|portability|rewrite_opportunity|sql_feature,true,true,Seq Scan,5,3,1,0,0,1,0.484,0.076,0.048,15,0,0,0,170,2,47.659999999999997,Nested Loop,406,"scan,join,materialize",Seq Scan,Nested Loop,,,Materialize
