case_id,pool,source_family,engine,route_id,generation_status,is_noop_output,generated_sql_path,controls_native_source_status,controls_native_source_evidence_mode,execution_row_status,source_sql_path,schema_path,witness_data_path,run_local_workspace,execution_command_kind,caveat
CONS_0005,consistency,Calcite,mysql,sqlglot_optimize_same_dialect,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0005/mysql/sqlglot_optimize_same_dialect.sql,success,fresh_manual_validation,ready_to_execute,cases/CONS/CONS_0005/source.sql,cases/CONS/CONS_0005/schema/ddl_mysql.sql,cases/CONS/CONS_0005/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0005/mysql/sqlglot_optimize_same_dialect,mysql_inline_cli,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0005,consistency,Calcite,mysql,sqlglot_transpile_same_dialect_noop,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0005/mysql/sqlglot_transpile_same_dialect_noop.sql,success,fresh_manual_validation,ready_to_execute,cases/CONS/CONS_0005/source.sql,cases/CONS/CONS_0005/schema/ddl_mysql.sql,cases/CONS/CONS_0005/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0005/mysql/sqlglot_transpile_same_dialect_noop,mysql_inline_cli,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0005,consistency,Calcite,pg,sqlglot_optimize_same_dialect,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0005/pg/sqlglot_optimize_same_dialect.sql,success,fresh_manual_validation,ready_to_execute,cases/CONS/CONS_0005/source.sql,cases/CONS/CONS_0005/schema/ddl_pg.sql,cases/CONS/CONS_0005/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0005/pg/sqlglot_optimize_same_dialect,postgres_inline_cli,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0005,consistency,Calcite,pg,sqlglot_transpile_same_dialect_noop,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0005/pg/sqlglot_transpile_same_dialect_noop.sql,success,fresh_manual_validation,ready_to_execute,cases/CONS/CONS_0005/source.sql,cases/CONS/CONS_0005/schema/ddl_pg.sql,cases/CONS/CONS_0005/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0005/pg/sqlglot_transpile_same_dialect_noop,postgres_inline_cli,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0005,consistency,Calcite,spark,sqlglot_optimize_same_dialect,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0005/spark/sqlglot_optimize_same_dialect.sql,success,fresh_manual_validation,ready_to_execute,cases/CONS/CONS_0005/source.sql,cases/CONS/CONS_0005/schema/ddl_spark.sql,cases/CONS/CONS_0005/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0005/spark/sqlglot_optimize_same_dialect,spark_inline_pyspark,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0005,consistency,Calcite,spark,sqlglot_transpile_same_dialect_noop,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0005/spark/sqlglot_transpile_same_dialect_noop.sql,success,fresh_manual_validation,ready_to_execute,cases/CONS/CONS_0005/source.sql,cases/CONS/CONS_0005/schema/ddl_spark.sql,cases/CONS/CONS_0005/validation/spark_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0005/spark/sqlglot_transpile_same_dialect_noop,spark_inline_pyspark,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0007,consistency,Calcite,mysql,sqlglot_optimize_same_dialect,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0007/mysql/sqlglot_optimize_same_dialect.sql,success,fresh_manual_validation,ready_to_execute,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_mysql.sql,cases/CONS/CONS_0007/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0007/mysql/sqlglot_optimize_same_dialect,mysql_inline_cli,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation; known cross-engine generated SQL failure shape e2.e1.commission; preserve if execution fails
CONS_0007,consistency,Calcite,mysql,sqlglot_transpile_same_dialect_noop,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0007/mysql/sqlglot_transpile_same_dialect_noop.sql,success,fresh_manual_validation,ready_to_execute,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_mysql.sql,cases/CONS/CONS_0007/validation/mysql_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0007/mysql/sqlglot_transpile_same_dialect_noop,mysql_inline_cli,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
CONS_0007,consistency,Calcite,pg,sqlglot_optimize_same_dialect,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0007/pg/sqlglot_optimize_same_dialect.sql,success,fresh_manual_validation,ready_to_execute,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_pg.sql,cases/CONS/CONS_0007/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0007/pg/sqlglot_optimize_same_dialect,postgres_inline_cli,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation; known cross-engine generated SQL failure shape e2.e1.commission; preserve if execution fails
CONS_0007,consistency,Calcite,pg,sqlglot_transpile_same_dialect_noop,success,no,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_generation_01/generated/CONS_0007/pg/sqlglot_transpile_same_dialect_noop.sql,success,fresh_manual_validation,ready_to_execute,cases/CONS/CONS_0007/source.sql,cases/CONS/CONS_0007/schema/ddl_pg.sql,cases/CONS/CONS_0007/validation/pg_witness_data.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0007/pg/sqlglot_transpile_same_dialect_noop,postgres_inline_cli,controls_native_source_status=success; controls_native_source_evidence_mode=fresh_manual_validation
