record_type,policy_key,policy_category,allowed_table_placement,required_denominator_condition,timing_speedup_rule,leaderboard_comparable_rule,examples_from_current_artifacts,explicit_non_claims,current_artifact_id,artifact_paths,recommended_placement,notes
category_definition,same_engine_method_evidence_candidate,same_engine_method_evidence_candidate,main_same_engine_evidence_table,Must be same-engine rewrite evidence with an explicit denominator explicit engine scope and explicit failure accounting; denominator may be full 120 route-specific 120 or explicit same-engine subset but must not be hidden,Timing may be shown only if the timing denominator is explicit and subset timing remains subset-scoped,Default no; may become yes only after later human policy freeze plus aligned full-denominator timing evidence,"direct_llm_same_engine_rewrite; calcite_hep_pg_rewrite; sqlglot_combined_same_engine_240","Not a ranked leaderboard row by default; not a claim that denominators are directly comparable",NA,NA,NA,Reviewable category only
category_definition,route_level_proposed_row_only,route_level_proposed_row_only,route_level_appendix,Must be a retained route packet or proposed row with explicit denominator and route boundary,May carry retained timing fields only as route-scoped fields,Always no in this draft,"calcite_hep_fail_closed_120_proposed; sqlglot_optimize_same_dialect; sqlglot_transpile_same_dialect_noop","Not canonical; not a method-family aggregate; not automatic admission to the main table",NA,NA,NA,Reviewable category only
category_definition,bounded_subset_evidence_only,bounded_subset_evidence_only,bounded_subset_appendix,Evidence is same-engine but denominator is a bounded subset or PG-only slice rather than the intended tri-engine 120,Timing may be reported only on the bounded subset denominator,Always no in this draft,"r_bot_same_engine_rewrite; llm_r2; learnedrewrite","Not a tri-engine 120 row; not a full-method comparable scalar",NA,NA,NA,Reviewable category only
category_definition,portability_route_only,portability_route_only,portability_table,Must be explicit cross-dialect or transfer-route evidence with its own portability denominator,SpeedupTransferRate must remain NA_not_computed unless aligned target-engine benefit evidence exists,Always no in this draft,"sqlglot_cross_dialect_transpile_portability; llm_translate_portability","Not same-engine leaderboard evidence; not rewrite speedup evidence",NA,NA,NA,Reviewable category only
category_definition,support_or_verifier_only,support_or_verifier_only,verifier_support_table,Must be verifier or support evidence with a verifier-specific denominator,No rewrite speedup field should be compared,Always no in this draft,"sqlsolver; verieql","Not rewrite-generation rows; not leaderboard rows",NA,NA,NA,Reviewable category only
category_definition,control_reference_or_guard_only,control_reference_or_guard_only,controls_table,Must be explicit control reference or negative-guard evidence,Control timing may exist but it is not prior-method timing,Always no in this draft,"native_identity_control; human_positive_reference; hard_negative_guard","Not rewrite methods; not prior-method leaderboard rows",NA,NA,NA,Reviewable category only
category_definition,plan_observability_only,plan_observability_only,not_ready,Must be plan-observability evidence with explicit plan denominator and non-rewrite metric contract,Rewrite speedup fields are out of scope,Always no in this draft,No retained dedicated common-core paper row currently promoted in reports/evaluation/common_core_v0,"Not rewrite correctness or speedup evidence",NA,NA,NA,Reviewable category only
category_definition,insufficient_or_missing_evidence,insufficient_or_missing_evidence,not_ready,Denominator role or retained artifact packet is incomplete for paper-table placement,Timing must not be promoted,Always no in this draft,No row in the current classification table is assigned here,"Not ready for paper-table placement",NA,NA,NA,Reviewable category only
current_artifact_classification,calcite_hep_pg_rewrite,same_engine_method_evidence_candidate,main_same_engine_evidence_table,Explicit PG-only common_core_v0_40_pg40 denominator retained in canonical ledger,Timing exists only on the PG subset,No,"calcite_hep_validity_summary_v1.md; calcite_hep_speedup_summary_v1.md","Not tri-engine 120 evidence",calcite_hep_pg_rewrite,"reports/evaluation/common_core_v0/method_comparison_summary_v2.md; reports/evaluation/common_core_v0/calcite_hep_validity_summary_v1.md; reports/evaluation/common_core_v0/calcite_hep_speedup_summary_v1.md",main_same_engine_evidence_table,Same-engine evidence row with explicit subset scope and caveats
current_artifact_classification,calcite_hep_fail_closed_120_proposed,route_level_proposed_row_only,route_level_appendix,Explicit fail-closed common_core_v0_40_same_engine_120 denominator,NA_not_computed,No,"calcite_hep_120_fail_closed_synthesis_v1.md; calcite_hep_method_comparison_proposed_row_v1.md","Not canonical and not timing-backed",calcite_hep_fail_closed_120_proposed,"reports/evaluation/common_core_v0/calcite_hep_120_fail_closed_synthesis_v1.md; reports/evaluation/common_core_v0/calcite_hep_method_comparison_proposed_row_v1.md",route_level_appendix,Strong proposed denominator-aware row only
current_artifact_classification,sqlglot_combined_same_engine_240,same_engine_method_evidence_candidate,main_same_engine_evidence_table,Explicit 240 aggregate denominator across two same-engine routes,Timing exists only on the combined 137 timing-success subset,No,"method_comparison_summary_v2.md; sqlglot_same_engine_execution_summary_v1.md","Not the same as a single 120-row route",sqlglot_combined_same_engine_240,"reports/evaluation/common_core_v0/method_comparison_summary_v2.md; reports/evaluation/common_core_v0/sqlglot_same_engine_execution_summary_v1.md",main_same_engine_evidence_table,Canonical evidence-ledger material but mixed-route aggregate
current_artifact_classification,sqlglot_optimize_same_dialect,route_level_proposed_row_only,route_level_appendix,Explicit common_core_v0_40_same_engine_120_optimize_route denominator,Timing exists only on timing_success_65_on_optimize_route,No,"sqlglot_optimize_same_dialect_result_card_v1.md; sqlglot_optimize_same_dialect_proposed_row_v1.md","Not cross-dialect portability evidence and not a method-family aggregate",sqlglot_optimize_same_dialect,"reports/evaluation/common_core_v0/sqlglot_optimize_same_dialect_result_card_v1.md; reports/evaluation/common_core_v0/sqlglot_optimize_same_dialect_proposed_row_v1.md",route_level_appendix,Retained same-engine route packet only
current_artifact_classification,sqlglot_transpile_same_dialect_noop,route_level_proposed_row_only,route_level_appendix,Explicit common_core_v0_40_same_engine_120_transpile_noop_route denominator,Timing exists only on timing_success_72_on_transpile_noop_route,No,"sqlglot_transpile_same_dialect_noop_result_card_v1.md; sqlglot_method_comparison_proposed_row_v1.md","Not cross-dialect portability evidence and not a method-family aggregate",sqlglot_transpile_same_dialect_noop,"reports/evaluation/common_core_v0/sqlglot_transpile_same_dialect_noop_result_card_v1.md; reports/evaluation/common_core_v0/sqlglot_method_comparison_proposed_row_v1.md",route_level_appendix,Retained same-engine route packet only
current_artifact_classification,direct_llm_same_engine_rewrite,same_engine_method_evidence_candidate,main_same_engine_evidence_table,Explicit common_core_v0_40 same-engine denominator retained in canonical ledger,Timing exists only on the explicit timing-success subset,No,"direct_llm_validity_summary_v1.md; direct_llm_speedup_summary_v1.md","Not automatically a ranked leaderboard scalar",direct_llm_same_engine_rewrite,"reports/evaluation/common_core_v0/method_comparison_summary_v2.md; reports/evaluation/common_core_v0/direct_llm_validity_summary_v1.md; reports/evaluation/common_core_v0/direct_llm_speedup_summary_v1.md",main_same_engine_evidence_table,Strong same-engine evidence row with explicit failure accounting
current_artifact_classification,r_bot_same_engine_rewrite,bounded_subset_evidence_only,bounded_subset_appendix,Explicit PG-only subset denominator retained,Timing exists only on the PG15 match-exact subset,No,"r_bot_pg_expansion_result_card_v2.md; r_bot_pg15_speedup_summary_v2.md","Not a tri-engine 120 row",r_bot_same_engine_rewrite,"reports/evaluation/common_core_v0/method_comparison_summary_v2.md; reports/evaluation/common_core_v0/r_bot_pg_expansion_result_card_v2.md; reports/evaluation/common_core_v0/r_bot_pg15_speedup_summary_v2.md",bounded_subset_appendix,Safe only as bounded subset evidence
current_artifact_classification,llm_r2,bounded_subset_evidence_only,bounded_subset_appendix,Bounded 10-case smoke denominator retained only in scratch evidence,Bounded PG-only timing slice,No,BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,"Not a common_core_v0 40-case method row",llm_r2,/home/tianci_gao/code/sql-rewrite-bench/docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,bounded_subset_appendix,Too small for main table but valid as bounded appendix evidence
current_artifact_classification,learnedrewrite,bounded_subset_evidence_only,bounded_subset_appendix,Bounded 10-case smoke denominator retained only in scratch evidence,Bounded PG-only timing slice,No,BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,"Not a common_core_v0 40-case method row",learnedrewrite,/home/tianci_gao/code/sql-rewrite-bench/docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,bounded_subset_appendix,Too small and mostly no-op for main table
current_artifact_classification,sqlsolver,support_or_verifier_only,verifier_support_table,Explicit verifier smoke denominator of 4 query pairs,No rewrite timing claim allowed,No,BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,"Not a rewrite-generation row",sqlsolver,/home/tianci_gao/code/sql-rewrite-bench/docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,verifier_support_table,Verifier-support role is explicit
current_artifact_classification,verieql,support_or_verifier_only,verifier_support_table,Explicit bounded support-canary denominator,No rewrite timing claim allowed,No,BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,"Not a rewrite-generation row",verieql,/home/tianci_gao/code/sql-rewrite-bench/docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,verifier_support_table,Verifier-support role is explicit
current_artifact_classification,sqlglot_cross_dialect_transpile_portability,portability_route_only,portability_table,Explicit bounded PORT route denominator retained only in scratch evidence,SpeedupTransferRate remains NA_not_computed,No,BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,"Not same-engine leaderboard evidence",sqlglot_cross_dialect_transpile_portability,/home/tianci_gao/code/sql-rewrite-bench/docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,portability_table,Portability route evidence belongs in a separate table
current_artifact_classification,llm_translate_portability,portability_route_only,portability_table,Explicit bounded PORT route denominator retained only in scratch evidence,SpeedupTransferRate remains NA_not_computed,No,BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,"Not same-engine leaderboard evidence",llm_translate_portability,/home/tianci_gao/code/sql-rewrite-bench/docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,portability_table,Portability route evidence belongs in a separate table
current_artifact_classification,native_identity_control,control_reference_or_guard_only,controls_table,Explicit control denominator retained only in scratch evidence,Control-only timing boundary,No,BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,"Not a rewrite method",native_identity_control,/home/tianci_gao/code/sql-rewrite-bench/docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,controls_table,Control line only
current_artifact_classification,human_positive_reference,control_reference_or_guard_only,controls_table,Explicit control denominator retained only in scratch evidence,Control-only timing boundary,No,BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,"Not a rewrite method",human_positive_reference,/home/tianci_gao/code/sql-rewrite-bench/docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,controls_table,Positive reference only
current_artifact_classification,hard_negative_guard,control_reference_or_guard_only,controls_table,Explicit control denominator retained only in scratch evidence,Guard-only timing boundary,No,BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,"Not a rewrite method",hard_negative_guard,/home/tianci_gao/code/sql-rewrite-bench/docs/_scratch/BASELINE_EVIDENCE_MATRIX_CURRENT_v1.md,controls_table,Guard line only
