row_id,method_id,route_id,case_id,pool,engine,denominator_id,timing_denominator_id,source_sql_artifact,candidate_sql_artifact,schema_artifact,result_check_artifact,source_runtime_ms,rewrite_runtime_ms,speedup_ratio,timing_success,timing_failure_category,timing_failure_detail,source_artifacts,notes
sqlglot_optimize_same_dialect__CONS_0010__mysql,sqlglot,sqlglot_optimize_same_dialect,CONS_0010,consistency,mysql,common_core_v0_40_same_engine_120,sqlglot_optimize_same_dialect_exact63_timing,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/mysql/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/mysql/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/mysql/sqlglot_optimize_same_dialect/ddl_mysql.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0010/mysql/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json,0.45865587890148163,0.41647907346487045,1.101269927167586,true,,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0010/mysql/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/mysql/sqlglot_optimize_same_dialect/source.sql | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/mysql/sqlglot_optimize_same_dialect/generated.sql,route-separated SQLGlot timing after checker backfill
sqlglot_optimize_same_dialect__CONS_0010__pg,sqlglot,sqlglot_optimize_same_dialect,CONS_0010,consistency,pg,common_core_v0_40_same_engine_120,sqlglot_optimize_same_dialect_exact63_timing,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/pg/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/pg/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/pg/sqlglot_optimize_same_dialect/ddl_pg.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0010/pg/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json,3.617212176322937,3.5564990248531103,1.017071044036722,true,,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0010/pg/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/pg/sqlglot_optimize_same_dialect/source.sql | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/pg/sqlglot_optimize_same_dialect/generated.sql,route-separated SQLGlot timing after checker backfill
sqlglot_optimize_same_dialect__CONS_0010__spark,sqlglot,sqlglot_optimize_same_dialect,CONS_0010,consistency,spark,common_core_v0_40_same_engine_120,sqlglot_optimize_same_dialect_exact63_timing,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/spark/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/spark/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/spark/sqlglot_optimize_same_dialect/ddl_spark.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0010/spark/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json,129.20124805532396,121.53198011219501,1.0631049369560908,true,,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0010/spark/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/spark/sqlglot_optimize_same_dialect/source.sql | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0010/spark/sqlglot_optimize_same_dialect/generated.sql,route-separated SQLGlot timing after checker backfill
sqlglot_optimize_same_dialect__CONS_0011__mysql,sqlglot,sqlglot_optimize_same_dialect,CONS_0011,consistency,mysql,common_core_v0_40_same_engine_120,sqlglot_optimize_same_dialect_exact63_timing,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/mysql/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/mysql/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/mysql/sqlglot_optimize_same_dialect/ddl_mysql.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0011/mysql/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json,0.2925209701061249,0.29395706951618195,0.9951145947521497,true,,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0011/mysql/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/mysql/sqlglot_optimize_same_dialect/source.sql | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/mysql/sqlglot_optimize_same_dialect/generated.sql,route-separated SQLGlot timing after checker backfill
sqlglot_optimize_same_dialect__CONS_0011__pg,sqlglot,sqlglot_optimize_same_dialect,CONS_0011,consistency,pg,common_core_v0_40_same_engine_120,sqlglot_optimize_same_dialect_exact63_timing,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/pg/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/pg/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/pg/sqlglot_optimize_same_dialect/ddl_pg.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0011/pg/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json,4.5443440321832895,4.659506026655436,0.9752845057365859,true,,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0011/pg/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/pg/sqlglot_optimize_same_dialect/source.sql | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/pg/sqlglot_optimize_same_dialect/generated.sql,route-separated SQLGlot timing after checker backfill
sqlglot_optimize_same_dialect__CONS_0011__spark,sqlglot,sqlglot_optimize_same_dialect,CONS_0011,consistency,spark,common_core_v0_40_same_engine_120,sqlglot_optimize_same_dialect_exact63_timing,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/spark/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/spark/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/spark/sqlglot_optimize_same_dialect/ddl_spark.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0011/spark/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json,102.51174797303975,109.66976778581738,0.9347311482708973,true,,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0011/spark/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/spark/sqlglot_optimize_same_dialect/source.sql | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0011/spark/sqlglot_optimize_same_dialect/generated.sql,route-separated SQLGlot timing after checker backfill
sqlglot_optimize_same_dialect__CONS_0012__mysql,sqlglot,sqlglot_optimize_same_dialect,CONS_0012,consistency,mysql,common_core_v0_40_same_engine_120,sqlglot_optimize_same_dialect_exact63_timing,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/mysql/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/mysql/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/mysql/sqlglot_optimize_same_dialect/ddl_mysql.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0012/mysql/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json,0.29288907535374165,0.2943009603768587,0.9952025809861132,true,,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0012/mysql/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/mysql/sqlglot_optimize_same_dialect/source.sql | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/mysql/sqlglot_optimize_same_dialect/generated.sql,route-separated SQLGlot timing after checker backfill
sqlglot_optimize_same_dialect__CONS_0012__pg,sqlglot,sqlglot_optimize_same_dialect,CONS_0012,consistency,pg,common_core_v0_40_same_engine_120,sqlglot_optimize_same_dialect_exact63_timing,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/pg/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/pg/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/pg/sqlglot_optimize_same_dialect/ddl_pg.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0012/pg/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json,3.438512096181512,3.532281145453453,0.9734536846273872,true,,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0012/pg/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/pg/sqlglot_optimize_same_dialect/source.sql | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/pg/sqlglot_optimize_same_dialect/generated.sql,route-separated SQLGlot timing after checker backfill
sqlglot_optimize_same_dialect__CONS_0012__spark,sqlglot,sqlglot_optimize_same_dialect,CONS_0012,consistency,spark,common_core_v0_40_same_engine_120,sqlglot_optimize_same_dialect_exact63_timing,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/spark/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/spark/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/spark/sqlglot_optimize_same_dialect/ddl_spark.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0012/spark/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json,69.87325591035187,72.73827190510929,0.9606119870637706,true,,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0012/spark/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/spark/sqlglot_optimize_same_dialect/source.sql | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0012/spark/sqlglot_optimize_same_dialect/generated.sql,route-separated SQLGlot timing after checker backfill
sqlglot_optimize_same_dialect__CONS_0036__mysql,sqlglot,sqlglot_optimize_same_dialect,CONS_0036,consistency,mysql,common_core_v0_40_same_engine_120,sqlglot_optimize_same_dialect_exact63_timing,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0036/mysql/sqlglot_optimize_same_dialect/source.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0036/mysql/sqlglot_optimize_same_dialect/generated.sql,reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0036/mysql/sqlglot_optimize_same_dialect/ddl_mysql.sql,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0036/mysql/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json,0.29457779601216316,0.32907212153077126,0.8951770044871985,true,,,/home/tianci_gao/code/sql-rewrite-bench/reports/evaluation/common_core_v0/runs/sqlglot_result_check_backfill_01/workspaces/CONS_0036/mysql/sqlglot_optimize_same_dialect/optimize_reconstructed_56/result_check.json | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0036/mysql/sqlglot_optimize_same_dialect/source.sql | reports/evaluation/common_core_v0/runs/sqlglot_same_engine_nonport_execution_01/workspaces/CONS_0036/mysql/sqlglot_optimize_same_dialect/generated.sql,route-separated SQLGlot timing after checker backfill
