audit_id,method_id,route_id,case_id,engine,candidate_status,retained_checker_status,exact_match,sorted_match,false_accept_flag,evidence_artifact,audit_status,notes
hard_negative_guard__tested111__summary,hard_negative_control,hard_negative,summary_tested_111,all_supported_engines,negative_control_candidate,111_rejected_0_false_accept,false,false,false,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/hard_negative_guardrail_summary_v1.csv,audited_no_false_accept_found,This is true hard-negative control evidence over the 111 tested control-route cells.
direct_llm_same_engine_rewrite__summary,direct_llm,direct_llm_same_engine_rewrite,summary_94_exact_26_non_exact,tri_engine_mixed,method_generated_candidate,exact_rows_retained_but_no_independent_false_accept_probe,NA_summary,NA_summary,NA_not_audited,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/common_core_v0_run_event_long_v1.csv|reports/evaluation/common_core_v0/direct_llm_same_engine_result_card_v1.csv,"not_auditable_from_retained_artifacts","Retained artifacts support explicit exact and non-exact frontiers, but do not retain an independent oracle proving or disproving false accepts on accepted exact rows."
direct_llm_execute_repair_1shot__summary,direct_llm,direct_llm_execute_repair_1shot,summary_96_exact_24_non_exact,tri_engine_mixed,method_generated_candidate_after_repair,final_exact_rows_retained_but_no_independent_false_accept_probe,NA_summary,NA_summary,NA_not_audited,reports/evaluation/common_core_v0/runs/direct_llm_execute_repair_1shot_01/final_outcome_long.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/direct_llm_execute_repair_1shot_result_card_v1.csv,not_auditable_from_retained_artifacts,"The feedback-aware route preserves explicit final exact and non-exact rows, but false accept still lacks an independent retained probe."
sqlglot_transpile_same_dialect_noop__summary,sqlglot,sqlglot_transpile_same_dialect_noop,summary_exact72,tri_engine_mixed,route_separated_candidate,backfill_exact_rows_retained,NA_summary,NA_summary,NA_not_audited,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/sqlglot_result_check_backfill_summary_v1.csv,not_auditable_from_retained_artifacts,"Row-level checker backfill proves which rows were accepted as exact, but does not supply an external oracle for semantic false-accept auditing."
sqlglot_transpile_same_dialect_noop__CONS_0011__spark,sqlglot,sqlglot_transpile_same_dialect_noop,CONS_0011,spark,accepted_exact_via_sorted_match,exact,false,true,false,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/sqlglot_result_check_backfill_event_long_v1.csv,audited_no_false_accept_found,"Potential ambiguity row retained explicitly: exact_match=false but sorted_match=true, and the retained checker policy still classifies it as exact."
sqlglot_optimize_same_dialect__summary,sqlglot,sqlglot_optimize_same_dialect,summary_exact63,tri_engine_mixed,route_separated_candidate,backfill_exact63_plus_checker_failed2,NA_summary,NA_summary,NA_not_audited,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/sqlglot_result_check_backfill_summary_v1.csv,not_auditable_from_retained_artifacts,"The revised exact63 denominator is safe for timing, but false accept is still not independently auditable from retained artifacts alone."
sqlglot_optimize_same_dialect__CONS_0011__spark,sqlglot,sqlglot_optimize_same_dialect,CONS_0011,spark,accepted_exact_via_sorted_match,exact,false,true,false,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/sqlglot_result_check_backfill_event_long_v1.csv,audited_no_false_accept_found,"Potential ambiguity row retained explicitly: exact_match=false but sorted_match=true, and the retained checker policy still classifies it as exact."
calcite_hep_same_engine_rewrite__summary,calcite_hep,calcite_hep_same_engine_rewrite,summary_93_exact_27_non_exact,tri_engine_mixed,fail_closed_candidate,93_exact_rows_retained_but_no_independent_false_accept_probe,NA_summary,NA_summary,NA_not_audited,reports/evaluation/common_core_v0/calcite_hep_120_fail_closed_synthesis_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/calcite_hep_93_exact_timing_result_card_v1.csv,not_auditable_from_retained_artifacts,"Retained artifacts support fail-closed correctness and explicit non-exact rows, but not an independent false-accept oracle on exact rows."
llm_r2_original_route_bounded_pg9__summary,llm_r2,llm_r2_original_route_bounded_pg9,summary_pg9,pg,bounded_appendix_candidate,bounded_exact3_failed6,NA_summary,NA_summary,NA_not_audited,reports/evaluation/common_core_v0/llm_r2_pg9_bounded_evidence_reconciliation_v1.csv,not_auditable_from_retained_artifacts,"Bounded appendix only; explicit failures are retained, but no dedicated false-accept probe exists."
llm_r2_recovered_extraction_route_v1__summary,llm_r2,llm_r2_recovered_extraction_route_v1,summary_recovered_pg9_attempted,pg,bounded_recovered_candidate,bounded_exact6_failed3,NA_summary,NA_summary,NA_not_audited,reports/evaluation/common_core_v0/llm_r2_recovered_extraction_pg6_bounded_evidence_review_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/case_level_failure_export_v1.csv,not_auditable_from_retained_artifacts,"Recovered-route appendix only; explicit exact and failed rows are retained, but false accept is not independently audited."
