column_name,metric_or_value_type,formula_or_logic,eligibility_filter,denominator,numerator,source_artifacts,script_or_runner_if_any,recompute_evidence,notes
method / route,row_identity,retained row label/route_id; no metric formula,none,route row,route_id / label,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv|table11_bounded_pilot_evidence_reuse_v3.csv,not_applicable,not_recomputed_static_label,
scope,claim_scope,retained engine_scope/track plus draft Table 12 scope label,none,route-specific,scope text,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv|table11_bounded_pilot_evidence_reuse_v3.csv,not_applicable,not_recomputed_static_label,
planned,count,planned rows in route denominator,none,route denominator,planned rows,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv|table11_bounded_pilot_evidence_reuse_v3.csv,reports/evaluation/common_core_v0/15_PROGRAMMATIC_METRIC_AUDIT_V1/common_core_execution_script_inventory_v1.csv,reports/evaluation/common_core_v0/16_STATIC_RECOMPUTE_AUDIT_V1/static_recompute_results_v1.csv,
generated_or_ready,count_or_text,route-specific generated/ready wording; Direct LLM repair keeps preflight-blocked separate from executed,route output or readiness retained,route denominator,generated_or_ready/generated_rows/ready_rows,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv|table11_bounded_pilot_evidence_reuse_v3.csv,reports/evaluation/common_core_v0/15_PROGRAMMATIC_METRIC_AUDIT_V1/common_core_execution_script_inventory_v1.csv,reports/evaluation/common_core_v0/16_STATIC_RECOMPUTE_AUDIT_V1/static_recompute_results_v1.csv,
executed,count_or_text,successful execution returning a result; not ready_after_preflight; Direct LLM repair executed = exact + mismatch = 97 / 96 + 1,execution succeeded,route denominator or bounded subset,successful executed rows,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv|table11_bounded_pilot_evidence_reuse_v3.csv,reports/evaluation/common_core_v0/15_PROGRAMMATIC_METRIC_AUDIT_V1/common_core_execution_script_inventory_v1.csv,reports/evaluation/common_core_v0/16_STATIC_RECOMPUTE_AUDIT_V1/static_recompute_results_v1.csv,"Executed means successful execution returning a result; Direct LLM repair uses executed = exact + mismatch = 97 / 96 + 1, not ready_after_preflight 115."
exact,count_or_text,exact/checker-consistent rows,successful execution and retained checker/result comparison,route denominator or bounded subset,exact rows,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv|table11_bounded_pilot_evidence_reuse_v3.csv,reports/evaluation/common_core_v0/15_PROGRAMMATIC_METRIC_AUDIT_V1/common_core_execution_script_inventory_v1.csv,reports/evaluation/common_core_v0/16_STATIC_RECOMPUTE_AUDIT_V1/static_recompute_results_v1.csv,
timed,count_or_NA,timing_success rows on exact + timing-success subset,exact + timing_success only,timing denominator,timing_success rows,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv|table11_bounded_pilot_evidence_reuse_v3.csv,reports/evaluation/common_core_v0/15_PROGRAMMATIC_METRIC_AUDIT_V1/common_core_execution_script_inventory_v1.csv,reports/evaluation/common_core_v0/16_STATIC_RECOMPUTE_AUDIT_V1/static_recompute_results_v1.csv,
gm_speedup,float_or_NA,GM speedup = exp(mean(log(speedup_ratio))) where speedup_ratio = source_median_runtime / rewrite_median_runtime,exact + timing_success and speedup_ratio > 0,timing denominator,geometric mean over speedup_ratio,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv|table11_bounded_pilot_evidence_reuse_v3.csv,reports/evaluation/common_core_v0/15_PROGRAMMATIC_METRIC_AUDIT_V1/common_core_execution_script_inventory_v1.csv,reports/evaluation/common_core_v0/16_STATIC_RECOMPUTE_AUDIT_V1/static_recompute_results_v1.csv,"For rows with per-case timing arrays, Round 16 recomputed exact/rounded; repair and R-Bot timing are accepted artifact-only where clean lower-level denominator is not retained."
regression_rate_20pct,float_or_NA,Regression@20 = count(speedup_ratio < 0.8) / timing_denominator,exact + timing_success,timing denominator,rows with speedup_ratio < 0.8,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv|table11_bounded_pilot_evidence_reuse_v3.csv,reports/evaluation/common_core_v0/15_PROGRAMMATIC_METRIC_AUDIT_V1/common_core_execution_script_inventory_v1.csv,reports/evaluation/common_core_v0/16_STATIC_RECOMPUTE_AUDIT_V1/static_recompute_results_v1.csv,
placement,static_policy,paper placement/claim-boundary label from Table 11/table3/candidate_failure/draft target,none,not numeric,placement text,reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table3_same_engine_method_evidence_v3.csv|reports/evaluation/common_core_v0/10_HARD_NEGATIVE_FAILURE_ACCOUNTING_V1/candidate_failure_accounting_v1.csv|reports/evaluation/common_core_v0/11_TIMING_OBSERVABILITY_V1/speedup_slice_summary_v1.csv|reports/evaluation/common_core_v0/00_PAPER_EVIDENCE_FREEZE_V1/table6_performance_on_exact_timed_rows_v4.csv|table11_bounded_pilot_evidence_reuse_v3.csv,not_applicable,not_recomputed_static_label,"Placement is a claim-boundary/static policy cell, not a metric."
